metrica_distancia,variavel,pearson_distancia_vs_erro_abs,spearman_distancia_vs_erro_abs
d1,CL,0.5468522204926796,0.6459501966552534
d1,CD,0.3661086471459482,0.3725724394822389
d1,CM,0.4458356454489784,0.5346983833942626
d1,CL_CD,0.4228630939080519,0.4568422472123856
d3,CL,0.5392632988658269,0.5848438748899296
d3,CD,0.3038672039242509,0.31158789319923214
d3,CM,0.5024690565761283,0.44157137379175854
d3,CL_CD,0.3677986938201703,0.3776594772207553
d5,CL,0.510226596661142,0.5826232439991
d5,CD,0.28313689861608254,0.3080535507016846
d5,CM,0.49690780565024334,0.44338044794029513
d5,CL_CD,0.3419380202169893,0.36812734731280994
d10,CL,0.5197352967471683,0.5767526648805181
d10,CD,0.2639148954072393,0.2860414176029238
d10,CM,0.5219625461747952,0.45798458538508335
d10,CL_CD,0.33978695237654066,0.3647735814628501
d20,CL,0.515920025278637,0.5573315106122295
d20,CD,0.26132001774983726,0.2862052159524059
d20,CM,0.5200209744280487,0.4567981334847825
d20,CL_CD,0.34183783308860205,0.36126677148410385
dmean3,CL,0.5428453282971804,0.6201071445025454
dmean3,CD,0.3351615574914255,0.3331395742702099
dmean3,CM,0.47364587167448974,0.47767243575752755
dmean3,CL_CD,0.3930132211745944,0.401061878267028
dmean5,CL,0.5300564968494977,0.5987549606522998
dmean5,CD,0.3130607512011438,0.32069113107526903
dmean5,CM,0.486929477427097,0.46365417625950595
dmean5,CL_CD,0.37118593060398536,0.3948063408930374
dmean10,CL,0.5255071841510037,0.5902474123427084
dmean10,CD,0.2897045680794876,0.3141022557052096
dmean10,CM,0.5050513658432364,0.45446574438971815
dmean10,CL_CD,0.3549637042231839,0.3848548392234567
dmean20,CL,0.5209847422842581,0.5865754500966552
dmean20,CD,0.27513783976940603,0.29698589802948294
dmean20,CM,0.5150490752980977,0.4604071985356904
dmean20,CL_CD,0.3479484065984462,0.3776833678719903
