metrica_distancia,percentil,valor
d1,50.0,1.0468928354176175
d1,60.0,1.1876631940117337
d1,70.0,1.488761486881687
d1,75.0,2.453458479857953
d1,80.0,2.5040122084567007
d1,85.0,3.349322359237544
d1,90.0,3.4131197672740785
d1,95.0,3.4710147462742817
d1,97.5,7.678644009865547
d1,99.0,7.678644009865547
d3,50.0,1.549018756832638
d3,60.0,1.7601915061504156
d3,70.0,2.111081734045684
d3,75.0,2.990402772835278
d3,80.0,3.4485853923099032
d3,85.0,3.676064126098238
d3,90.0,3.796636409639652
d3,95.0,4.672323700607194
d3,97.5,8.826292707162553
d3,99.0,8.826292707162553
d5,50.0,1.5934249405527907
d5,60.0,1.8837617819133203
d5,70.0,2.312907613507519
d5,75.0,3.256212634320602
d5,80.0,3.6988198861116373
d5,85.0,3.800014629807408
d5,90.0,4.268109832364989
d5,95.0,5.37328798779935
d5,97.5,10.539354377721873
d5,99.0,10.539354377721873
d10,50.0,1.9022032084353042
d10,60.0,2.210678865182193
d10,70.0,2.5209681220440245
d10,75.0,4.105713683505537
d10,80.0,4.242702581533556
d10,85.0,4.452919982102806
d10,90.0,4.760439662259792
d10,95.0,6.852880837971807
d10,97.5,11.254012940227723
d10,99.0,11.254012940227723
d20,50.0,2.102874406455468
d20,60.0,2.398649053813894
d20,70.0,2.921340927681051
d20,75.0,4.464100447270543
d20,80.0,4.753071064770975
d20,85.0,5.0994780518046765
d20,90.0,5.7417397970139765
d20,95.0,7.246866425380176
d20,97.5,11.829171422588288
d20,99.0,11.829171422588288
dmean3,50.0,1.372301282233934
dmean3,60.0,1.4535598867692396
dmean3,70.0,1.8363426729602381
dmean3,75.0,2.6399619159271093
dmean3,80.0,2.947553627566036
dmean3,85.0,3.480135989175117
dmean3,90.0,3.5450779941636674
dmean3,95.0,3.7919548640033534
dmean3,97.5,8.374692511167693
dmean3,99.0,8.374692511167693
dmean5,50.0,1.4276931344337451
dmean5,60.0,1.6375527528999327
dmean5,70.0,1.9984217603675691
dmean5,75.0,2.8734461779314295
dmean5,80.0,3.228087648943641
dmean5,85.0,3.6407413068390477
dmean5,90.0,3.8099882265220173
dmean5,95.0,4.225805040958644
dmean5,97.5,9.230963296386683
dmean5,99.0,9.230963296386683
dmean10,50.0,1.5852002044940945
dmean10,60.0,1.8853072987484638
dmean10,70.0,2.2217899218527006
dmean10,75.0,3.4934872228734717
dmean10,80.0,3.70228741888175
dmean10,85.0,3.871609832090047
dmean10,90.0,4.187616901248975
dmean10,95.0,5.36368278493636
dmean10,97.5,10.100952899434935
dmean10,99.0,10.100952899434935
dmean20,50.0,1.8297297768416427
dmean20,60.0,2.111401074561293
dmean20,70.0,2.449529168541599
dmean20,75.0,4.049804798708222
dmean20,80.0,4.111394118050992
dmean20,85.0,4.239091944680017
dmean20,90.0,4.82345757761898
dmean20,95.0,6.192399886406425
dmean20,97.5,10.84725683551505
dmean20,99.0,10.84725683551505
