perfil,Re,Mach,alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
2032c,200000,0.1,0.0,0.7034,0.01454,0.00605,-0.13,0.5668,0.0718
2032c,200000,0.1,1.0,0.8143,0.01383,0.00482,-0.1292,0.4982,0.0878
2032c,200000,0.1,2.0,0.918,0.01274,0.00486,-0.1274,0.4415,1.0
2032c,200000,0.1,3.0,1.0252,0.01404,0.00556,-0.1265,0.3989,1.0
2032c,200000,0.1,4.0,1.1316,0.01548,0.00666,-0.1257,0.3684,1.0
2032c,200000,0.1,5.0,1.2372,0.01694,0.00813,-0.1248,0.3452,1.0
2032c,200000,0.1,6.0,1.3398,0.01847,0.00972,-0.1237,0.3221,1.0
2032c,200000,0.1,7.0,1.4327,0.01903,0.0105,-0.121,0.2732,1.0
2032c,200000,0.1,8.0,1.4812,0.02484,0.015,-0.1135,0.0283,1.0
2032c,200000,0.1,9.0,1.5261,0.02996,0.02101,-0.1043,0.0211,1.0
2032c,200000,0.1,10.0,1.5156,0.03924,0.0312,-0.0941,0.0193,1.0
2032c,200000,0.1,11.0,1.4739,0.05658,0.04925,-0.0934,0.0194,1.0
2032c,200000,0.1,12.0,1.432,0.07604,0.06918,-0.0953,0.0199,1.0
2032c,200000,0.1,13.0,1.4376,0.08654,0.07983,-0.0902,0.0203,1.0
2032c,200000,0.1,14.0,1.1078,0.11307,0.10775,-0.0785,0.0204,1.0
2032c,200000,0.1,15.0,1.3127,0.09189,0.08678,-0.0507,0.0385,1.0
2032c,250000,0.1,0.0,0.704,0.01361,0.00539,-0.1297,0.5423,0.0643
2032c,250000,0.1,1.0,0.8158,0.01289,0.00419,-0.1293,0.4757,0.0762
2032c,250000,0.1,3.0,1.0278,0.01292,0.00495,-0.127,0.3806,1.0
2032c,250000,0.1,4.0,1.1343,0.01419,0.00593,-0.1262,0.3521,1.0
2032c,250000,0.1,5.0,1.2399,0.01548,0.0072,-0.1254,0.3301,1.0
2032c,250000,0.1,6.0,1.342,0.01667,0.00845,-0.1241,0.3033,1.0
2032c,250000,0.1,7.0,1.4385,0.0175,0.00933,-0.1221,0.2501,1.0
2032c,250000,0.1,8.0,1.4884,0.02386,0.01459,-0.1144,0.0211,1.0
2032c,250000,0.1,9.0,1.5288,0.02919,0.02082,-0.1048,0.0168,1.0
2032c,250000,0.1,10.0,1.5092,0.03946,0.03183,-0.0947,0.0162,1.0
2032c,250000,0.1,11.0,1.475,0.05613,0.04912,-0.0939,0.0165,1.0
2032c,250000,0.1,12.0,1.4443,0.07346,0.06686,-0.0941,0.0168,1.0
2032c,300000,0.1,0.0,0.7052,0.01271,0.00469,-0.1298,0.5227,0.0579
2032c,300000,0.1,1.0,0.8171,0.01228,0.00377,-0.1294,0.4584,0.0671
2032c,300000,0.1,2.0,0.9225,0.01102,0.00397,-0.1283,0.4053,1.0
2032c,300000,0.1,3.0,1.0304,0.01213,0.00453,-0.1276,0.3667,1.0
2032c,300000,0.1,4.0,1.1372,0.0133,0.00543,-0.1268,0.3399,1.0
2032c,300000,0.1,5.0,1.243,0.01448,0.0066,-0.126,0.3192,1.0
