perfil,Re,Mach,alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr,Au0,Au1,Au2,Au3,Au4,Au5,Au6,Al0,Al1,Al2,Al3,Al4,Al5,Al6,DeltaTE_upper,DeltaTE_lower,RMSE_upper,RMSE_lower,MaxError_upper,MaxError_lower
2032c,200000,0.1,0.0,0.7034,0.01454,0.00605,-0.13,0.5668,0.0718,0.1581959608,0.5258894021,-0.0520598893,0.5747885601,-0.0011907997,0.3545173484,0.1794280464,-0.0514495151,0.1297256723,0.0203739288,0.2405027382,0.0099169207,0.1834549132,0.0994410562,0.0016,-0.0016,0.0003949368,0.0003110009,0.0009948175,0.0007273224
2032c,200000,0.1,1.0,0.8143,0.01383,0.00482,-0.1292,0.4982,0.0878,0.1581959608,0.5258894021,-0.0520598893,0.5747885601,-0.0011907997,0.3545173484,0.1794280464,-0.0514495151,0.1297256723,0.0203739288,0.2405027382,0.0099169207,0.1834549132,0.0994410562,0.0016,-0.0016,0.0003949368,0.0003110009,0.0009948175,0.0007273224
2032c,200000,0.1,2.0,0.918,0.01274,0.00486,-0.1274,0.4415,1.0,0.1581959608,0.5258894021,-0.0520598893,0.5747885601,-0.0011907997,0.3545173484,0.1794280464,-0.0514495151,0.1297256723,0.0203739288,0.2405027382,0.0099169207,0.1834549132,0.0994410562,0.0016,-0.0016,0.0003949368,0.0003110009,0.0009948175,0.0007273224
2032c,200000,0.1,3.0,1.0252,0.01404,0.00556,-0.1265,0.3989,1.0,0.1581959608,0.5258894021,-0.0520598893,0.5747885601,-0.0011907997,0.3545173484,0.1794280464,-0.0514495151,0.1297256723,0.0203739288,0.2405027382,0.0099169207,0.1834549132,0.0994410562,0.0016,-0.0016,0.0003949368,0.0003110009,0.0009948175,0.0007273224
2032c,200000,0.1,4.0,1.1316,0.01548,0.00666,-0.1257,0.3684,1.0,0.1581959608,0.5258894021,-0.0520598893,0.5747885601,-0.0011907997,0.3545173484,0.1794280464,-0.0514495151,0.1297256723,0.0203739288,0.2405027382,0.0099169207,0.1834549132,0.0994410562,0.0016,-0.0016,0.0003949368,0.0003110009,0.0009948175,0.0007273224
2032c,200000,0.1,5.0,1.2372,0.01694,0.00813,-0.1248,0.3452,1.0,0.1581959608,0.5258894021,-0.0520598893,0.5747885601,-0.0011907997,0.3545173484,0.1794280464,-0.0514495151,0.1297256723,0.0203739288,0.2405027382,0.0099169207,0.1834549132,0.0994410562,0.0016,-0.0016,0.0003949368,0.0003110009,0.0009948175,0.0007273224
2032c,200000,0.1,6.0,1.3398,0.01847,0.00972,-0.1237,0.3221,1.0,0.1581959608,0.5258894021,-0.0520598893,0.5747885601,-0.0011907997,0.3545173484,0.1794280464,-0.0514495151,0.1297256723,0.0203739288,0.2405027382,0.0099169207,0.1834549132,0.0994410562,0.0016,-0.0016,0.0003949368,0.0003110009,0.0009948175,0.0007273224
2032c,200000,0.1,7.0,1.4327,0.01903,0.0105,-0.121,0.2732,1.0,0.1581959608,0.5258894021,-0.0520598893,0.5747885601,-0.0011907997,0.3545173484,0.1794280464,-0.0514495151,0.1297256723,0.0203739288,0.2405027382,0.0099169207,0.1834549132,0.0994410562,0.0016,-0.0016,0.0003949368,0.0003110009,0.0009948175,0.0007273224
2032c,200000,0.1,8.0,1.4812,0.02484,0.015,-0.1135,0.0283,1.0,0.1581959608,0.5258894021,-0.0520598893,0.5747885601,-0.0011907997,0.3545173484,0.1794280464,-0.0514495151,0.1297256723,0.0203739288,0.2405027382,0.0099169207,0.1834549132,0.0994410562,0.0016,-0.0016,0.0003949368,0.0003110009,0.0009948175,0.0007273224
2032c,200000,0.1,9.0,1.5261,0.02996,0.02101,-0.1043,0.0211,1.0,0.1581959608,0.5258894021,-0.0520598893,0.5747885601,-0.0011907997,0.3545173484,0.1794280464,-0.0514495151,0.1297256723,0.0203739288,0.2405027382,0.0099169207,0.1834549132,0.0994410562,0.0016,-0.0016,0.0003949368,0.0003110009,0.0009948175,0.0007273224
2032c,200000,0.1,10.0,1.5156,0.03924,0.0312,-0.0941,0.0193,1.0,0.1581959608,0.5258894021,-0.0520598893,0.5747885601,-0.0011907997,0.3545173484,0.1794280464,-0.0514495151,0.1297256723,0.0203739288,0.2405027382,0.0099169207,0.1834549132,0.0994410562,0.0016,-0.0016,0.0003949368,0.0003110009,0.0009948175,0.0007273224
2032c,200000,0.1,11.0,1.4739,0.05658,0.04925,-0.0934,0.0194,1.0,0.1581959608,0.5258894021,-0.0520598893,0.5747885601,-0.0011907997,0.3545173484,0.1794280464,-0.0514495151,0.1297256723,0.0203739288,0.2405027382,0.0099169207,0.1834549132,0.0994410562,0.0016,-0.0016,0.0003949368,0.0003110009,0.0009948175,0.0007273224
2032c,200000,0.1,12.0,1.432,0.07604,0.06918,-0.0953,0.0199,1.0,0.1581959608,0.5258894021,-0.0520598893,0.5747885601,-0.0011907997,0.3545173484,0.1794280464,-0.0514495151,0.1297256723,0.0203739288,0.2405027382,0.0099169207,0.1834549132,0.0994410562,0.0016,-0.0016,0.0003949368,0.0003110009,0.0009948175,0.0007273224
2032c,250000,0.1,0.0,0.704,0.01361,0.00539,-0.1297,0.5423,0.0643,0.1581959608,0.5258894021,-0.0520598893,0.5747885601,-0.0011907997,0.3545173484,0.1794280464,-0.0514495151,0.1297256723,0.0203739288,0.2405027382,0.0099169207,0.1834549132,0.0994410562,0.0016,-0.0016,0.0003949368,0.0003110009,0.0009948175,0.0007273224
2032c,250000,0.1,1.0,0.8158,0.01289,0.00419,-0.1293,0.4757,0.0762,0.1581959608,0.5258894021,-0.0520598893,0.5747885601,-0.0011907997,0.3545173484,0.1794280464,-0.0514495151,0.1297256723,0.0203739288,0.2405027382,0.0099169207,0.1834549132,0.0994410562,0.0016,-0.0016,0.0003949368,0.0003110009,0.0009948175,0.0007273224
2032c,250000,0.1,3.0,1.0278,0.01292,0.00495,-0.127,0.3806,1.0,0.1581959608,0.5258894021,-0.0520598893,0.5747885601,-0.0011907997,0.3545173484,0.1794280464,-0.0514495151,0.1297256723,0.0203739288,0.2405027382,0.0099169207,0.1834549132,0.0994410562,0.0016,-0.0016,0.0003949368,0.0003110009,0.0009948175,0.0007273224
