perfil,Re,Mach,alpha,resultado_xfoil
2032c,250000,0.1,2,False
a18,200000,0.1,8,False
a18,200000,0.1,9,False
a18,200000,0.1,10,False
a18,200000,0.1,11,False
a18,200000,0.1,12,False
a18,250000,0.1,9,False
a18,250000,0.1,10,False
a18,250000,0.1,11,False
a18,250000,0.1,12,False
a18,300000,0.1,9,False
a18,300000,0.1,10,False
a18,300000,0.1,11,False
a18,300000,0.1,12,False
a18sm,300000,0.1,10,False
a18sm,300000,0.1,11,False
a18sm,300000,0.1,12,False
a63a108c,300000,0.1,11,False
ag03,200000,0.1,12,False
ag04,250000,0.1,12,False
ag08,200000,0.1,10,False
ag08,200000,0.1,11,False
ag08,200000,0.1,12,False
ag08,250000,0.1,12,False
ag08,300000,0.1,10,False
ag08,300000,0.1,11,False
ag08,300000,0.1,12,False
ag09,200000,0.1,9,False
ag09,200000,0.1,10,False
ag09,200000,0.1,11,False
ag09,200000,0.1,12,False
ag09,250000,0.1,10,False
ag09,250000,0.1,11,False
ag09,250000,0.1,12,False
ag09,300000,0.1,10,False
ag09,300000,0.1,11,False
ag09,300000,0.1,12,False
ag10,200000,0.1,11,False
ag10,200000,0.1,12,False
ag10,250000,0.1,6,False
ag10,250000,0.1,11,False
ag10,250000,0.1,12,False
ag10,300000,0.1,10,False
ag12,250000,0.1,12,False
ag12,300000,0.1,11,False
ag13,200000,0.1,1,False
ag13,200000,0.1,12,False
ag13,300000,0.1,12,False
ag14,250000,0.1,10,False
ag14,250000,0.1,11,False
ag14,250000,0.1,12,False
ag16,200000,0.1,11,False
ag16,200000,0.1,12,False
ag16,250000,0.1,10,False
ag16,250000,0.1,11,False
ag16,250000,0.1,12,False
ag16,300000,0.1,12,False
ag17,200000,0.1,12,False
ag17,250000,0.1,10,False
ag17,250000,0.1,11,False
ag17,250000,0.1,12,False
ag17,300000,0.1,12,False
ag18,300000,0.1,10,False
ag18,300000,0.1,11,False
ag18,300000,0.1,12,False
ag19,200000,0.1,12,False
ag19,250000,0.1,12,False
ag19,300000,0.1,12,False
ag24,200000,0.1,7,False
ag24,250000,0.1,2,False
ag27,200000,0.1,11,False
ag54,250000,0.1,12,False
ah21-7,200000,0.1,3,False
ah21-7,200000,0.1,11,False
ah21-7,200000,0.1,12,False
ah21-7,250000,0.1,12,False
ah21-7,300000,0.1,1,False
ah21-9,200000,0.1,9,False
ah21-9,200000,0.1,10,False
ah21-9,200000,0.1,11,False
ah21-9,200000,0.1,12,False
ah21-9,250000,0.1,10,False
ah21-9,250000,0.1,11,False
ah21-9,250000,0.1,12,False
ah21-9,300000,0.1,11,False
ah21-9,300000,0.1,12,False
ah79k132,200000,0.1,3,False
ah79k132,300000,0.1,12,False
ah79k143,200000,0.1,5,False
ah79k143,250000,0.1,0,False
ah79k143,300000,0.1,3,False
ah81k144,200000,0.1,0,False
ah81k144,200000,0.1,3,False
ah81k144,200000,0.1,4,False
ah81k144,200000,0.1,6,False
ah81k144,200000,0.1,7,False
ah81k144,250000,0.1,2,False
ah81k144,300000,0.1,3,False
ah85l120,200000,0.1,1,False
ah85l120,200000,0.1,8,False
ah85l120,200000,0.1,9,False
ah85l120,200000,0.1,10,False
ah85l120,200000,0.1,11,False
ah85l120,200000,0.1,12,False
ah85l120,250000,0.1,8,False
ah85l120,250000,0.1,9,False
ah85l120,250000,0.1,10,False
ah85l120,250000,0.1,11,False
ah85l120,250000,0.1,12,False
ah85l120,300000,0.1,8,False
ah85l120,300000,0.1,9,False
ah85l120,300000,0.1,10,False
ah85l120,300000,0.1,11,False
ah85l120,300000,0.1,12,False
ah88k130,200000,0.1,1,False
ah88k130,200000,0.1,4,False
ah88k130,200000,0.1,5,False
ah88k130,250000,0.1,3,False
ah88k136,300000,0.1,8,False
ah88k136,300000,0.1,9,False
ah93k130,200000,0.1,3,False
ah93k131,200000,0.1,3,False
ah93k131,250000,0.1,0,False
ah93k131,250000,0.1,2,False
ah93k132,200000,0.1,0,False
as5048,250000,0.1,12,False
as6091,200000,0.1,9,False
as6092,200000,0.1,12,False
as6092,300000,0.1,6,False
as6093,200000,0.1,11,False
as6093,200000,0.1,12,False
as6095,250000,0.1,7,False
bacnlf,200000,0.1,8,False
bacnlf,200000,0.1,9,False
bacnlf,200000,0.1,10,False
bacnlf,200000,0.1,11,False
bacnlf,200000,0.1,12,False
bacnlf,250000,0.1,8,False
bacnlf,250000,0.1,9,False
bacnlf,250000,0.1,10,False
bacnlf,250000,0.1,11,False
bacnlf,250000,0.1,12,False
bacnlf,300000,0.1,7,False
bacnlf,300000,0.1,8,False
bacnlf,300000,0.1,9,False
bacnlf,300000,0.1,10,False
bacnlf,300000,0.1,11,False
bacnlf,300000,0.1,12,False
e168,300000,0.1,4,False
e171,250000,0.1,6,False
e207,200000,0.1,0,False
e207,300000,0.1,1,False
e228,250000,0.1,1,False
e230,200000,0.1,10,False
e230,200000,0.1,11,False
e230,200000,0.1,12,False
e230,250000,0.1,10,False
e230,250000,0.1,11,False
e230,250000,0.1,12,False
e230,300000,0.1,1,False
e230,300000,0.1,11,False
e230,300000,0.1,12,False
e376,300000,0.1,2,False
e376,300000,0.1,3,False
e376,300000,0.1,4,False
e376,300000,0.1,5,False
e376,300000,0.1,6,False
e376,300000,0.1,7,False
e376,300000,0.1,8,False
e376,300000,0.1,9,False
e376,300000,0.1,10,False
e376,300000,0.1,11,False
e376,300000,0.1,12,False
e377,250000,0.1,1,False
e377,250000,0.1,2,False
e377,250000,0.1,3,False
e377,250000,0.1,4,False
e377,250000,0.1,5,False
e377,250000,0.1,6,False
e377,250000,0.1,7,False
e377,250000,0.1,8,False
e377,250000,0.1,9,False
e377,250000,0.1,10,False
e377,250000,0.1,11,False
e377,250000,0.1,12,False
e377,300000,0.1,6,False
e423,300000,0.1,11,False
fx61140,250000,0.1,8,False
fx63110,250000,0.1,7,False
fx63110,300000,0.1,4,False
fx63137,300000,0.1,6,False
fx63158,300000,0.1,10,False
fx63158,300000,0.1,12,False
fx66s196,200000,0.1,5,False
fx66s196,200000,0.1,6,False
fx66s196,200000,0.1,7,False
fx66s196,200000,0.1,8,False
fx67k170,200000,0.1,0,False
fx67k170,200000,0.1,6,False
fx67k170,200000,0.1,10,False
fx67k170,250000,0.1,0,False
fx67k170,250000,0.1,1,False
fx67k170,250000,0.1,2,False
fx67k170,250000,0.1,3,False
fx67k170,250000,0.1,4,False
fx67k170,250000,0.1,5,False
fx67k170,250000,0.1,6,False
fx67k170,250000,0.1,7,False
fx67k170,250000,0.1,8,False
fx67k170,300000,0.1,1,False
fx69h083,200000,0.1,10,False
fx69h083,200000,0.1,11,False
fx69h083,200000,0.1,12,False
fx69h083,250000,0.1,9,False
fx69h083,250000,0.1,10,False
fx69h083,250000,0.1,11,False
fx69h083,250000,0.1,12,False
fx69h083,300000,0.1,9,False
fx69h083,300000,0.1,10,False
fx69h083,300000,0.1,11,False
fx69h083,300000,0.1,12,False
fx74cl5140,200000,0.1,0,False
fx74cl5140,200000,0.1,10,False
fx74cl5140,200000,0.1,12,False
fx74cl5140,250000,0.1,12,False
fx74cl5140,300000,0.1,0,False
fx74cl5140,300000,0.1,1,False
fx74cl5140,300000,0.1,2,False
fx74cl5140,300000,0.1,3,False
fx74cl5140,300000,0.1,4,False
fx74cl5140,300000,0.1,5,False
fx74cl5140,300000,0.1,6,False
fx74cl5140,300000,0.1,7,False
fx74cl5140,300000,0.1,8,False
fx74cl5140,300000,0.1,9,False
fx74cl5140,300000,0.1,10,False
fx74cl5140,300000,0.1,11,False
fx74cl5140,300000,0.1,12,False
fx78k140,200000,0.1,1,False
fx78k140,200000,0.1,2,False
fx78k140,200000,0.1,5,False
fx78k140,200000,0.1,8,False
fx78k140,250000,0.1,0,False
fx78k140,250000,0.1,3,False
fx78k140,250000,0.1,5,False
fx78k140,250000,0.1,6,False
fx78k140,300000,0.1,1,False
fx78k140,300000,0.1,4,False
fx78k140,300000,0.1,6,False
goe387,250000,0.1,1,False
hs1404,200000,0.1,7,False
hs1404,200000,0.1,8,False
hs1404,200000,0.1,9,False
hs1404,200000,0.1,10,False
hs1404,200000,0.1,11,False
hs1404,200000,0.1,12,False
hs1404,250000,0.1,7,False
hs1404,250000,0.1,8,False
hs1404,250000,0.1,9,False
hs1404,250000,0.1,10,False
hs1404,250000,0.1,11,False
hs1404,250000,0.1,12,False
hs1404,300000,0.1,7,False
hs1404,300000,0.1,8,False
hs1404,300000,0.1,9,False
hs1404,300000,0.1,10,False
hs1404,300000,0.1,11,False
hs1404,300000,0.1,12,False
hs1430,250000,0.1,1,False
hs1430,300000,0.1,5,False
hs1606,200000,0.1,10,False
hs1606,250000,0.1,10,False
hs1606,250000,0.1,11,False
hs1606,250000,0.1,12,False
hs1606,300000,0.1,10,False
hs1606,300000,0.1,11,False
hs1606,300000,0.1,12,False
hs1708,300000,0.1,2,False
jx-gs-06,200000,0.1,9,False
jx-gs-06,200000,0.1,11,False
jx-gs-06,200000,0.1,12,False
jx-gs-10,200000,0.1,11,False
jx-gs-10,200000,0.1,12,False
jx-gs-10,250000,0.1,10,False
jx-gs-10,250000,0.1,11,False
jx-gs-10,250000,0.1,12,False
jx-gs-15,250000,0.1,3,False
jx-gs-15,300000,0.1,11,False
jx-gs-15,300000,0.1,12,False
kc135winglet,200000,0.1,12,False
l1003,200000,0.1,5,False
l1003,200000,0.1,6,False
l1003,200000,0.1,8,False
l1003,200000,0.1,9,False
l1003,200000,0.1,10,False
l1003,200000,0.1,11,False
l1003,200000,0.1,12,False
l1003,250000,0.1,4,False
l1003,250000,0.1,5,False
l1003,250000,0.1,6,False
l1003,250000,0.1,7,False
l1003,250000,0.1,8,False
l1003,250000,0.1,9,False
l1003,250000,0.1,10,False
l1003,250000,0.1,11,False
l1003,250000,0.1,12,False
l1003,300000,0.1,4,False
l1003,300000,0.1,6,False
l1003,300000,0.1,9,False
l1003,300000,0.1,11,False
l1003,300000,0.1,12,False
la5055,200000,0.1,0,False
la5055,200000,0.1,5,False
la5055,200000,0.1,7,False
la5055,250000,0.1,0,False
la5055,250000,0.1,1,False
la5055,250000,0.1,3,False
la5055,250000,0.1,5,False
la5055,250000,0.1,6,False
la5055,250000,0.1,7,False
la5055,250000,0.1,8,False
la5055,250000,0.1,10,False
la5055,250000,0.1,12,False
la5055,300000,0.1,10,False
lrn1015,200000,0.1,2,False
lrn1015,200000,0.1,3,False
lrn1015,200000,0.1,4,False
lrn1015,200000,0.1,5,False
lrn1015,250000,0.1,1,False
mh114,250000,0.1,3,False
mh114,250000,0.1,12,False
mh20,200000,0.1,12,False
mh20,250000,0.1,10,False
mh20,300000,0.1,8,False
mh20,300000,0.1,11,False
mh20,300000,0.1,12,False
mh22,200000,0.1,9,False
mh22,200000,0.1,10,False
mh22,200000,0.1,11,False
mh22,200000,0.1,12,False
mh22,250000,0.1,9,False
mh22,250000,0.1,10,False
mh22,250000,0.1,11,False
mh22,250000,0.1,12,False
mh22,300000,0.1,8,False
mh22,300000,0.1,9,False
mh22,300000,0.1,10,False
mh22,300000,0.1,11,False
mh22,300000,0.1,12,False
mh27,200000,0.1,0,False
mh27,200000,0.1,11,False
mh27,200000,0.1,12,False
mh27,250000,0.1,1,False
mh27,250000,0.1,7,False
mh30,200000,0.1,11,False
mh30,200000,0.1,12,False
mh30,300000,0.1,11,False
mh30,300000,0.1,12,False
mh32,200000,0.1,11,False
mh32,200000,0.1,12,False
mh33,200000,0.1,10,False
mh33,200000,0.1,11,False
mh33,200000,0.1,12,False
mh33,250000,0.1,12,False
naca0008,200000,0.1,9,False
naca0008,200000,0.1,10,False
