perfil,Re,esperado,existente,ausente,cobertura_pct
2032c,200000,13,13,0,100.0
2032c,250000,13,12,1,92.3076923076923
2032c,300000,13,13,0,100.0
a18,200000,13,8,5,61.53846153846154
a18,250000,13,9,4,69.23076923076923
a18,300000,13,9,4,69.23076923076923
a18sm,200000,13,13,0,100.0
a18sm,250000,13,13,0,100.0
a18sm,300000,13,10,3,76.92307692307693
a63a108c,200000,13,13,0,100.0
a63a108c,250000,13,13,0,100.0
a63a108c,300000,13,12,1,92.3076923076923
ag03,200000,13,12,1,92.3076923076923
ag03,250000,13,13,0,100.0
ag03,300000,13,13,0,100.0
ag04,200000,13,13,0,100.0
ag04,250000,13,12,1,92.3076923076923
ag04,300000,13,13,0,100.0
ag08,200000,13,10,3,76.92307692307693
ag08,250000,13,12,1,92.3076923076923
ag08,300000,13,10,3,76.92307692307693
ag09,200000,13,9,4,69.23076923076923
ag09,250000,13,10,3,76.92307692307693
ag09,300000,13,10,3,76.92307692307693
ag10,200000,13,11,2,84.61538461538461
ag10,250000,13,10,3,76.92307692307693
ag10,300000,13,12,1,92.3076923076923
ag11,200000,13,13,0,100.0
ag11,250000,13,13,0,100.0
ag11,300000,13,13,0,100.0
ag12,200000,13,13,0,100.0
ag12,250000,13,12,1,92.3076923076923
ag12,300000,13,12,1,92.3076923076923
ag13,200000,13,11,2,84.61538461538461
ag13,250000,13,13,0,100.0
ag13,300000,13,12,1,92.3076923076923
ag14,200000,13,13,0,100.0
ag14,250000,13,10,3,76.92307692307693
ag14,300000,13,13,0,100.0
ag16,200000,13,11,2,84.61538461538461
ag16,250000,13,10,3,76.92307692307693
ag16,300000,13,12,1,92.3076923076923
ag17,200000,13,12,1,92.3076923076923
ag17,250000,13,10,3,76.92307692307693
ag17,300000,13,12,1,92.3076923076923
ag18,200000,13,13,0,100.0
ag18,250000,13,13,0,100.0
ag18,300000,13,10,3,76.92307692307693
ag19,200000,13,12,1,92.3076923076923
ag19,250000,13,12,1,92.3076923076923
ag19,300000,13,12,1,92.3076923076923
ag23,200000,13,13,0,100.0
ag23,250000,13,13,0,100.0
ag23,300000,13,13,0,100.0
ag24,200000,13,12,1,92.3076923076923
ag24,250000,13,12,1,92.3076923076923
ag24,300000,13,13,0,100.0
ag25,200000,13,13,0,100.0
ag25,250000,13,13,0,100.0
ag25,300000,13,13,0,100.0
ag26,200000,13,13,0,100.0
ag26,250000,13,13,0,100.0
ag26,300000,13,13,0,100.0
ag27,200000,13,12,1,92.3076923076923
ag27,250000,13,13,0,100.0
ag27,300000,13,13,0,100.0
ag52,200000,13,13,0,100.0
ag52,250000,13,13,0,100.0
ag52,300000,13,13,0,100.0
ag53,200000,13,13,0,100.0
ag53,250000,13,13,0,100.0
ag53,300000,13,13,0,100.0
ag54,200000,13,13,0,100.0
ag54,250000,13,12,1,92.3076923076923
ag54,300000,13,13,0,100.0
ah21-7,200000,13,10,3,76.92307692307693
ah21-7,250000,13,12,1,92.3076923076923
ah21-7,300000,13,12,1,92.3076923076923
ah21-9,200000,13,9,4,69.23076923076923
ah21-9,250000,13,10,3,76.92307692307693
ah21-9,300000,13,11,2,84.61538461538461
ah63k127,200000,13,13,0,100.0
ah63k127,250000,13,13,0,100.0
ah63k127,300000,13,13,0,100.0
ah79k132,200000,13,12,1,92.3076923076923
ah79k132,250000,13,13,0,100.0
ah79k132,300000,13,12,1,92.3076923076923
ah79k135,200000,13,13,0,100.0
ah79k135,250000,13,13,0,100.0
ah79k135,300000,13,13,0,100.0
ah79k143,200000,13,12,1,92.3076923076923
ah79k143,250000,13,12,1,92.3076923076923
ah79k143,300000,13,12,1,92.3076923076923
ah81k144,200000,13,8,5,61.53846153846154
ah81k144,250000,13,12,1,92.3076923076923
ah81k144,300000,13,12,1,92.3076923076923
ah85l120,200000,13,7,6,53.84615384615385
ah85l120,250000,13,8,5,61.53846153846154
ah85l120,300000,13,8,5,61.53846153846154
ah88k130,200000,13,10,3,76.92307692307693
ah88k130,250000,13,12,1,92.3076923076923
ah88k130,300000,13,13,0,100.0
ah88k136,200000,13,13,0,100.0
ah88k136,250000,13,13,0,100.0
ah88k136,300000,13,11,2,84.61538461538461
ah93k130,200000,13,12,1,92.3076923076923
ah93k130,250000,13,13,0,100.0
ah93k130,300000,13,13,0,100.0
ah93k131,200000,13,12,1,92.3076923076923
ah93k131,250000,13,11,2,84.61538461538461
ah93k131,300000,13,13,0,100.0
ah93k132,200000,13,12,1,92.3076923076923
ah93k132,250000,13,13,0,100.0
ah93k132,300000,13,13,0,100.0
as5045,200000,13,13,0,100.0
as5045,250000,13,13,0,100.0
as5045,300000,13,13,0,100.0
as5046,200000,13,13,0,100.0
as5046,250000,13,13,0,100.0
as5046,300000,13,13,0,100.0
as5048,200000,13,13,0,100.0
as5048,250000,13,12,1,92.3076923076923
as5048,300000,13,13,0,100.0
as6091,200000,13,12,1,92.3076923076923
as6091,250000,13,13,0,100.0
as6091,300000,13,13,0,100.0
as6092,200000,13,12,1,92.3076923076923
as6092,250000,13,13,0,100.0
as6092,300000,13,12,1,92.3076923076923
as6093,200000,13,11,2,84.61538461538461
as6093,250000,13,13,0,100.0
as6093,300000,13,13,0,100.0
as6094,200000,13,13,0,100.0
as6094,250000,13,13,0,100.0
as6094,300000,13,13,0,100.0
as6095,200000,13,13,0,100.0
as6095,250000,13,12,1,92.3076923076923
as6095,300000,13,13,0,100.0
bacnlf,200000,13,8,5,61.53846153846154
bacnlf,250000,13,8,5,61.53846153846154
bacnlf,300000,13,7,6,53.84615384615385
clarky,200000,13,13,0,100.0
clarky,250000,13,13,0,100.0
clarky,300000,13,13,0,100.0
clarkyh,200000,13,13,0,100.0
clarkyh,250000,13,13,0,100.0
clarkyh,300000,13,13,0,100.0
clarkz,200000,13,13,0,100.0
clarkz,250000,13,13,0,100.0
clarkz,300000,13,13,0,100.0
e168,200000,13,13,0,100.0
e168,250000,13,13,0,100.0
e168,300000,13,12,1,92.3076923076923
e169,200000,13,13,0,100.0
e169,250000,13,13,0,100.0
e169,300000,13,13,0,100.0
e171,200000,13,13,0,100.0
e171,250000,13,12,1,92.3076923076923
e171,300000,13,13,0,100.0
e174,200000,13,13,0,100.0
e174,250000,13,13,0,100.0
e174,300000,13,13,0,100.0
e176,200000,13,13,0,100.0
e176,250000,13,13,0,100.0
e176,300000,13,13,0,100.0
e193,200000,13,13,0,100.0
e193,250000,13,13,0,100.0
e193,300000,13,13,0,100.0
e197,200000,13,13,0,100.0
e197,250000,13,13,0,100.0
e197,300000,13,13,0,100.0
e201,200000,13,13,0,100.0
e201,250000,13,13,0,100.0
e201,300000,13,13,0,100.0
e205,200000,13,13,0,100.0
e205,250000,13,13,0,100.0
e205,300000,13,13,0,100.0
e207,200000,13,12,1,92.3076923076923
e207,250000,13,13,0,100.0
e207,300000,13,12,1,92.3076923076923
e210,200000,13,13,0,100.0
e210,250000,13,13,0,100.0
e210,300000,13,13,0,100.0
e212,200000,13,13,0,100.0
e212,250000,13,13,0,100.0
e212,300000,13,13,0,100.0
e214,200000,13,13,0,100.0
e214,250000,13,13,0,100.0
e214,300000,13,13,0,100.0
e216,200000,13,13,0,100.0
e216,250000,13,13,0,100.0
e216,300000,13,13,0,100.0
e220,200000,13,13,0,100.0
e220,250000,13,13,0,100.0
e220,300000,13,13,0,100.0
e221,200000,13,13,0,100.0
e221,250000,13,13,0,100.0
e221,300000,13,13,0,100.0
e224,200000,13,13,0,100.0
e224,250000,13,13,0,100.0
e224,300000,13,13,0,100.0
e228,200000,13,13,0,100.0
e228,250000,13,12,1,92.3076923076923
e228,300000,13,13,0,100.0
e230,200000,13,10,3,76.92307692307693
e230,250000,13,10,3,76.92307692307693
e230,300000,13,10,3,76.92307692307693
e231,200000,13,13,0,100.0
e231,250000,13,13,0,100.0
e231,300000,13,13,0,100.0
e374,200000,13,13,0,100.0
e374,250000,13,13,0,100.0
e374,300000,13,13,0,100.0
e376,200000,13,13,0,100.0
e376,250000,13,13,0,100.0
e376,300000,13,2,11,15.384615384615385
e377,200000,13,13,0,100.0
e377,250000,13,1,12,7.6923076923076925
e377,300000,13,12,1,92.3076923076923
e387,200000,13,13,0,100.0
e387,250000,13,13,0,100.0
e387,300000,13,13,0,100.0
e423,200000,13,13,0,100.0
e423,250000,13,13,0,100.0
e423,300000,13,12,1,92.3076923076923
e431,200000,13,13,0,100.0
e431,250000,13,13,0,100.0
e431,300000,13,13,0,100.0
fx60100,200000,13,13,0,100.0
fx60100,250000,13,13,0,100.0
fx60100,300000,13,13,0,100.0
fx60126,200000,13,13,0,100.0
fx60126,250000,13,13,0,100.0
fx60126,300000,13,13,0,100.0
fx61140,200000,13,13,0,100.0
fx61140,250000,13,12,1,92.3076923076923
fx61140,300000,13,13,0,100.0
fx63110,200000,13,13,0,100.0
fx63110,250000,13,12,1,92.3076923076923
fx63110,300000,13,12,1,92.3076923076923
fx63137,200000,13,13,0,100.0
fx63137,250000,13,13,0,100.0
fx63137,300000,13,12,1,92.3076923076923
fx63158,200000,13,13,0,100.0
fx63158,250000,13,13,0,100.0
fx63158,300000,13,11,2,84.61538461538461
fx66s196,200000,13,9,4,69.23076923076923
fx66s196,250000,13,13,0,100.0
fx66s196,300000,13,13,0,100.0
fx67k170,200000,13,10,3,76.92307692307693
fx67k170,250000,13,4,9,30.76923076923077
fx67k170,300000,13,12,1,92.3076923076923
fx68h120,200000,13,13,0,100.0
fx68h120,250000,13,13,0,100.0
fx68h120,300000,13,13,0,100.0
fx69h083,200000,13,10,3,76.92307692307693
fx69h083,250000,13,9,4,69.23076923076923
fx69h083,300000,13,9,4,69.23076923076923
fx71l150,200000,13,13,0,100.0
fx71l150,250000,13,13,0,100.0
fx71l150,300000,13,13,0,100.0
fx73cl2152,200000,13,13,0,100.0
fx73cl2152,250000,13,13,0,100.0
fx73cl2152,300000,13,13,0,100.0
fx74cl5140,200000,13,10,3,76.92307692307693
fx74cl5140,250000,13,12,1,92.3076923076923
fx74cl5140,300000,13,0,13,0.0
fx76mp160,200000,13,13,0,100.0
fx76mp160,250000,13,13,0,100.0
fx76mp160,300000,13,13,0,100.0
fx77w153,200000,13,13,0,100.0
fx77w153,250000,13,13,0,100.0
fx77w153,300000,13,13,0,100.0
