perfil,RMSE_upper,RMSE_lower,MaxError_upper,MaxError_lower
2032c,0.0003949368,0.0003110009,0.0009948175,0.0007273224
a18,0.0003591942,0.0002674617,0.0007052586,0.0006767366
a18sm,0.0001826065,0.0002048767,0.0007369377,0.001163357
a63a108c,0.0011160078,0.0012498291,0.0042516492,0.0045323883
ag03,0.0001565998,0.0002253231,0.0005597929,0.0016008041
ag04,0.0001599037,0.0001901458,0.0006237187,0.0012725307
ag08,0.000156969,0.0001814134,0.0007844208,0.0010783241
ag09,0.0002253184,0.0002397667,0.0016434152,0.0015132185
ag10,0.0003004979,0.0004004814,0.0021800709,0.0022586242
ag11,0.0001794911,0.0004925967,0.0010364379,0.0026269989
ag12,0.0001496136,0.0001252347,0.0007044901,0.0007792143
ag13,0.0001504878,0.0001485915,0.000703808,0.0008154538
ag14,0.000152778,0.0001721355,0.0007009658,0.0009428512
ag16,0.0001546355,0.000104236,0.0007144961,0.0007787274
ag17,0.0001484807,0.0001127536,0.0007068111,0.0007839207
ag18,0.0001432393,0.0001278997,0.0006974555,0.00078828
ag19,0.0001401594,0.0001435831,0.0006892711,0.0007904643
ag23,0.0002032216,0.000273696,0.0007284453,0.0015082098
ag24,0.0001980768,0.0002696265,0.0007115458,0.0015045383
ag25,0.0001728614,0.0001227573,0.0007063001,0.0007908674
ag26,0.0001625192,0.0001374493,0.0007244686,0.0008272673
ag27,0.0002113574,0.000226817,0.0007623757,0.001269748
ag52,0.0001866951,0.0002318664,0.0005393097,0.0015559257
ag53,0.0001889318,0.0002359263,0.0005560685,0.0015514986
ag54,0.0001877258,0.0002371537,0.0005677066,0.0015382824
ah21-7,3.33019e-05,0.0001029659,9.46128e-05,0.0002355202
ah21-9,2.59666e-05,8.02901e-05,7.37424e-05,0.0001836404
ah63k127,0.0007148861,0.0002640034,0.001983766,0.0012858409
ah79k132,0.0006151935,0.0002325013,0.0015880472,0.0008768832
ah79k135,0.0005647011,0.0002590697,0.0013556443,0.0015084336
ah79k143,0.0008355918,0.0003866154,0.0021713155,0.0017003435
ah81k144,0.0004073166,0.0004040897,0.0009748091,0.0014119682
ah85l120,0.0003854905,0.0003854905,0.000895967,0.000895967
ah88k130,0.0004347869,0.0003049266,0.000979138,0.0010511661
ah88k136,0.0010924831,0.0002602129,0.0037005694,0.0007619431
ah93k130,0.0007465282,0.0002834924,0.0017109969,0.0010163307
ah93k131,0.0006820461,0.0002683938,0.0023313604,0.0009284334
ah93k132,0.0009027111,0.000653191,0.0020621307,0.0034168741
as5045,0.0002924189,0.0007101495,0.000707338,0.0032540836
as5046,0.0002487123,0.001032945,0.0005189712,0.0053063183
as5048,0.0004330005,0.0008381654,0.0022104926,0.0026274739
as6091,0.0003651193,0.000690437,0.0019553776,0.0025404893
as6092,0.000356806,0.000558896,0.0019604724,0.0019604724
as6093,0.0003385672,0.0004774075,0.0019082522,0.0019082522
as6094,0.0003835508,0.0008319534,0.0021571937,0.0028139742
as6095,0.0004066715,0.0007837559,0.0022902431,0.0024775252
bacnlf,0.0001535577,0.0002222529,0.0007672836,0.000997118
clarky,0.0005099399,0.0006234755,0.0024902421,0.0033868108
clarkyh,0.000475013,0.0003592541,0.0011315689,0.0008253156
clarkz,0.0002850577,0.0002783463,0.0008386009,0.0007101602
e168,0.0001770267,0.0001770267,0.0006492819,0.0006492819
e169,0.0002070591,0.0002070591,0.0007225684,0.0007225684
e171,0.0001699912,0.0001699912,0.0006052395,0.0006052395
e174,0.0003897061,0.0005091516,0.001724281,0.0020446616
e176,0.0003133238,0.0003189929,0.0016314086,0.0016314086
e193,0.0003809283,0.0004207802,0.0018844577,0.0018844577
e197,0.0003015116,9.95113e-05,0.0012273897,0.0001882268
e201,0.0003839467,0.0003930801,0.0020552179,0.0020552179
e205,0.0003566583,0.0001588576,0.0014010338,0.0006172464
e207,0.0003028839,9.03466e-05,0.0011179289,0.0002373246
e210,0.0005858466,0.00057254,0.0026893455,0.0026893455
