metrica,n,min,p01,p05,p10,p25,mediana,p75,p90,p95,p99,max,media,desvio_padrao
upper_kappa_rms_interior,193,0.9950610532222237,1.057395621933408,1.0850249785531485,1.1056372213289865,1.161191639970392,1.3088598653038834,1.4791177704400187,1.6258782203811897,1.7274785499509693,1.904509468586006,1.990293325585001,1.3401448340939464,0.20870316370736453
upper_kappa_abs_p95_interior,193,1.5523605579777526,1.8029641277874846,1.9556363049652266,2.075885144056282,2.322138147786097,2.5559488343903514,2.993123457432516,3.4594345059729963,3.7520543359674146,4.269600755219128,4.996073477839193,2.684396051174496,0.5588897212244296
upper_kappa_abs_p99_interior,193,3.661380927058111,4.058592316463169,4.357440029831234,4.680380647987058,5.064069673194078,5.602817031853315,6.4190892760145415,7.2797421893516825,7.705661933246176,8.88207300048258,9.259828148675725,5.797046252188383,1.0404013097879357
upper_kappa_abs_max_interior,193,4.338114882559896,5.3089914857975575,6.632444368707732,7.149850474137054,7.8629221327580945,8.518240390782118,9.324173670831206,10.315649839039118,10.950750401208598,12.066075352049744,14.708063880006582,8.660897740423783,1.4224544318375407
upper_kappa_total_variation_interior,193,6.719632408994517,7.046615902893008,8.029090184026659,8.217861011096382,8.652614314858123,9.427214261845378,10.79509641558464,12.634630635072758,13.57956795822984,16.79770065731077,18.635449582229057,9.979584387787412,1.9659055672411865
upper_d2y_rms_interior,193,1.1443891919809364,1.209809667305781,1.2701633315495189,1.306612289350173,1.4051879701677823,1.7046212111263441,2.086767277070192,2.6390361981269526,2.965249681550263,3.6769919611505837,5.239747035406699,1.8353672489470454,0.5875262356870933
upper_curvature_inversions_interior,193,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,3.0,0.6735751295336787,0.6309517990398092
lower_kappa_rms_interior,193,0.6985416153978693,0.7655833248386728,0.8286069155927812,0.8697451121095984,0.9718048134933691,1.1177199554494013,1.3792541100301452,1.5925091286369304,1.7047817103695,2.2045851772978406,2.47729369098941,1.1900043770484359,0.3107103227618032
lower_kappa_abs_p95_interior,193,0.5737754368662152,0.7971365150225106,1.2272841113071544,1.3244785885073111,1.553672596651603,1.8210446667407967,2.2730449855814654,2.9038521887523774,3.2363617315434543,4.170306674170502,5.991013247543466,2.0061005334522517,0.7093047566964279
lower_kappa_abs_p99_interior,193,3.6864786150035833,3.8405388381672085,4.122340536980891,4.444805789082652,4.864072246176899,5.699258623598003,6.7854885035421395,8.204785398541873,9.320961774735524,11.455294496400096,14.89530359266572,6.080429272138803,1.6798726910904747
lower_kappa_abs_max_interior,193,6.2874836241572405,6.424347549722609,6.749453065609311,7.310130334236627,8.059426022552227,9.356751296442827,10.801138807864659,12.92713951073864,14.754524525392208,17.258796480242477,23.462617314150343,9.799308925554568,2.4639496884313985
lower_kappa_total_variation_interior,193,6.6536961541781725,6.917499901258076,7.965014868515836,8.211033301657503,9.00695033354849,10.237463354438367,12.35910019045574,14.578336941056648,16.512865874823625,20.825928009448237,29.12479551298088,11.048789586830038,3.0457301010215425
lower_d2y_rms_interior,193,0.7172569046031156,0.799756633060994,0.8564086445990635,0.9058578860128508,1.0327541098116084,1.2129260267662028,1.4964758715901505,1.8303185428524047,2.202151195495023,2.808902170654167,4.843895707816974,1.3362619511283356,0.48915935336016075
lower_curvature_inversions_interior,193,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,6.0,6.0,1.1398963730569949,0.9927413590015244
camber_abs_max_pct,193,0.0,0.0,0.0,0.9620768514882679,1.7326932669368535,2.4833876682528966,3.8778652316495106,5.387161706635329,6.627581810347786,8.773743400968291,10.217498417120263,2.9048390808607465,1.932631118682757
t_max_pct,193,3.8969522961807073,4.144358422957218,5.610911837797529,6.2609227970321815,8.380489596299467,10.441131076359076,13.456222750150392,15.258342332438012,17.170781728967825,20.89722931082312,28.830809383630392,10.957172934814908,3.789535735848848
