perfil,Au0,Au1,Au2,Au3,Au4,Au5,Au6,Al0,Al1,Al2,Al3,Al4,Al5,Al6,upper_kappa_rms_interior,upper_kappa_abs_p95_interior,upper_kappa_abs_p99_interior,upper_kappa_abs_max_interior,upper_x_kappa_abs_max_interior,upper_kappa_total_variation_interior,upper_d2y_rms_interior,upper_curvature_sign_threshold,upper_curvature_inversions_interior,lower_kappa_rms_interior,lower_kappa_abs_p95_interior,lower_kappa_abs_p99_interior,lower_kappa_abs_max_interior,lower_x_kappa_abs_max_interior,lower_kappa_total_variation_interior,lower_d2y_rms_interior,lower_curvature_sign_threshold,lower_curvature_inversions_interior,t_max,t_max_pct,x_t_max,camber_abs_max,camber_abs_max_pct,x_camber_abs_max,min_thickness,yu_x02,yl_x02,thickness_x02,thickness_pct_x02,camber_x02,camber_pct_x02,yu_x05,yl_x05,thickness_x05,thickness_pct_x05,camber_x05,camber_pct_x05,yu_x10,yl_x10,thickness_x10,thickness_pct_x10,camber_x10,camber_pct_x10,yu_x25,yl_x25,thickness_x25,thickness_pct_x25,camber_x25,camber_pct_x25,yu_x50,yl_x50,thickness_x50,thickness_pct_x50,camber_x50,camber_pct_x50,yu_x75,yl_x75,thickness_x75,thickness_pct_x75,camber_x75,camber_pct_x75,yu_x90,yl_x90,thickness_x90,thickness_pct_x90,camber_x90,camber_pct_x90,yu_x95,yl_x95,thickness_x95,thickness_pct_x95,camber_x95,camber_pct_x95,yu_x98,yl_x98,thickness_x98,thickness_pct_x98,camber_x98,camber_pct_x98,CL,CD,CM
s1223,0.2887228062,0.3573008973,0.4944662351,0.0131090206,0.7394727737,-0.023867878,0.8863980473,-0.1647743471,0.1440983448,-0.1327800258,0.3464983707,0.1148325226,0.22006903,0.6057377337,1.9132723678386494,4.266711600059001,5.905754359336634,8.179258776901614,0.02,13.173115219074635,3.2166391643965424,0.08533423200118001,0,2.199789161731906,3.209178735980079,11.359003218520455,19.02225959457161,0.02,23.10817958577536,2.3284927250131524,0.06418357471960158,3,0.12128043581487709,12.12804358148771,0.20800000000000002,0.08627180882487882,8.627180882487883,0.5005000000000001,0.0,0.041198087138367694,-0.018157900232419713,0.05935598737078741,5.935598737078741,0.01152009345297399,1.152009345297399,0.06593147640075599,-0.019325908409955954,0.08525738481071193,8.525738481071194,0.023302783995400016,2.330278399540002,0.09385725595851649,-0.012630272463994417,0.10648752842251091,10.648752842251092,0.04061349174726103,4.061349174726104,0.13179607374082947,0.01243520941206665,0.11936086432876282,11.936086432876282,0.07211564157644806,7.211564157644807,0.12124110606211383,0.05130237856045029,0.06993872750166354,6.993872750166354,0.08627174231128207,8.627174231128206,0.08406515477826923,0.05674716988458064,0.027317984893688592,2.731798489368859,0.07040616233142494,7.040616233142494,0.05086827707432405,0.039473050091623225,0.011395226982700825,1.1395226982700826,0.04517066358297364,4.517066358297364,0.03258843049744352,0.0243961103574234,0.00819232014002012,0.819232014002012,0.028492270427433457,2.8492270427433457,0.01557617248431118,0.011110134587946017,0.0044660378963651635,0.44660378963651637,0.0133431535361286,1.33431535361286,1.8686,0.02405,-0.2705
e423,0.3280783908,0.3789951647,0.4204687538,0.4671504236,0.4235503462,0.3569623999,0.5968701803,-0.1190523748,0.0814864665,0.0779570308,0.1845264286,0.1366343344,0.1971951677,0.2450091923,1.6745267708407985,3.2031095743558002,6.355678202675846,8.271158173063426,0.02,9.70855888309547,3.2831604382348107,0.064062191487116,0,1.6975470901670437,2.4405410304013713,9.202158792548412,14.861727241119443,0.02,16.04121019355589,1.7259664900851865,0.048810820608027425,1,0.12548370306617596,12.548370306617596,0.2555,0.10148525138564235,10.148525138564235,0.4335,0.0,0.04630858616708375,-0.013327542970808605,0.05963612913789235,5.963612913789236,0.016490521598137572,1.649052159813757,0.07286782256356783,-0.01397980178610504,0.08684762434967287,8.684762434967288,0.029444010388731394,2.9444010388731394,0.10170529862202352,-0.006790591423163054,0.10849589004518657,10.849589004518657,0.04745735359943023,4.745735359943023,0.14823086716482237,0.022761869032168577,0.12546899813265378,12.546899813265377,0.08549636809849548,8.549636809849549,0.15105562498115516,0.04810229595296585,0.10295332902818931,10.29533290281893,0.0995789604670605,9.95789604670605,0.09442328855555047,0.039307803495477876,0.0551154850600726,5.5115485060072595,0.06686554602551417,6.686554602551417,0.046741374300123394,0.020520897958425256,0.026220476341698138,2.622047634169814,0.033631136129274326,3.3631136129274326,0.026101531140605025,0.011231018932562679,0.014870512208042346,1.4870512208042346,0.01866627503658385,1.866627503658385,0.011282813354197738,0.004736185979891334,0.006546627374306404,0.6546627374306404,0.008009499667044536,0.8009499667044536,1.7142,0.02028,-0.2298
s1210,0.2530411771,0.3190092975,0.3466755218,0.2306570834,0.449634677,0.1227328685,0.6369136545,-0.1083029788,-0.0275606387,-0.0317915805,0.1506274029,0.1674660699,0.1286459896,0.5391593481,1.6960427443043735,3.4300422413667446,6.302243683908211,8.86431543936512,0.02,12.329174305378004,2.6877117170399267,0.06860084482733489,0,1.6121202840757491,3.2662854661620586,6.7020352995036205,10.761313712050752,0.02,14.43373015302858,1.7359870787600706,0.06532570932324118,1,0.12049698093214349,12.04969809321435,0.2255,0.07236266813180196,7.236266813180197,0.5125,0.0,0.0361328457940913,-0.013732030569040736,0.04986487636313204,4.986487636313204,0.011200407612525283,1.1200407612525283,0.05760645132581625,-0.018405517280246975,0.07601196860606323,7.601196860606323,0.01960046702278464,1.9600467022784638,0.08126444619247668,-0.019365341954502655,0.10062978814697933,10.062978814697933,0.030949552118987013,3.0949552118987014,0.11525527446591796,-0.004665669151052857,0.11992094361697082,11.992094361697083,0.05529480265743255,5.529480265743255,0.11102793173102524,0.03361538059252434,0.0774125511385009,7.74125511385009,0.07232165616177479,7.232165616177479,0.0722522255259944,0.04548572371640063,0.026766501809593772,2.6766501809593772,0.058868974621197515,5.886897462119752,0.040795090934462666,0.033274780443219486,0.00752031049124318,0.7520310491243181,0.03703493568884107,3.7034935688841073,0.02490006272584239,0.02103504468652434,0.00386501803931805,0.386501803931805,0.022967553706183363,2.296755370618336,0.011484244008019458,0.009751277646189419,0.0017329663618300389,0.1732966361830039,0.010617760827104437,1.0617760827104437,1.7126,0.01819,-0.2397
fx73cl2152,0.2953625048,0.3588682312,0.4919316439,0.0930964245,0.5640091992,0.096579407,0.6425804744,-0.1982885548,0.0043286022,-0.1071971855,0.101353779,0.0844840061,0.0975473174,0.4010313264,1.7613396073195686,3.397840747679392,5.979597253991349,8.215824204335133,0.02,11.685209490096547,3.0421055472015928,0.06795681495358784,0,2.1761920380414423,3.241848565754295,11.431425892677819,17.105451861605193,0.02,20.070731154054247,2.448157046941825,0.0648369713150859,1,0.1527200754635914,15.27200754635914,0.23450000000000001,0.06624509263567765,6.624509263567766,0.454,0.0,0.04203648456771756,-0.024359186348164162,0.06639567091588172,6.639567091588172,0.008838649109776699,0.8838649109776698,0.06706243844948076,-0.03139772387009081,0.09846016231957157,9.846016231957156,0.017832357289694976,1.7832357289694976,0.09522158161296163,-0.03210595482156634,0.12732753643452796,12.732753643452796,0.031557813395697645,3.1557813395697645,0.13412845599515072,-0.018328177212615968,0.1524566332077667,15.24566332077667,0.057900139391267376,5.790013939126737,0.11806291205718374,0.013812757430644713,0.10425015462653903,10.425015462653903,0.06593783474391422,6.593783474391422,0.07495067971233906,0.03051824788015374,0.044432431832185315,4.443243183218532,0.0527344637962464,5.27344637962464,0.04109627710860234,0.024414074457739573,0.01668220265086277,1.668220265086277,0.032755175783170956,3.275517578317096,0.024963684000006373,0.015605963325788197,0.009357720674218176,0.9357720674218176,0.020284823662897286,2.0284823662897287,0.011539594519689687,0.00725264953070267,0.004286944988987017,0.4286944988987017,0.009396122025196178,0.9396122025196179,1.5806,0.0212,-0.2007
fx63137,0.2727736289,0.268467978,0.3972453705,0.1833389486,0.531000934,0.1397623401,0.4947471106,-0.1206289453,-0.0225078917,-0.103395941,-0.0147127121,0.1179207793,0.0621463721,0.3876224949,1.6467031782891568,3.023573201257203,7.229991011433757,10.024217530090702,0.02,12.549250881994649,2.7240570994039706,0.06047146402514406,0,1.4878144119774257,2.8119543359195442,6.8678230391258035,11.381230437874324,0.02,14.698011449864811,1.5852516928947982,0.05623908671839089,1,0.13754636093334952,13.754636093334952,0.297,0.059117019506017894,5.911701950601789,0.548,0.0,0.03783345398998525,-0.015227736156734267,0.05306119014671952,5.306119014671952,0.011302858916625491,1.1302858916625491,0.05850350405972148,-0.02062188863534842,0.07912539269506991,7.912539269506991,0.01894080771218653,1.894080771218653,0.08040115909993488,-0.023430044251498132,0.103831203351433,10.3831203351433,0.028485557424218374,2.8485557424218375,0.11413238892663574,-0.021688877350442507,0.13582126627707825,13.582126627707824,0.04622175578809662,4.622175578809662,0.11494560000743323,0.002366834251002039,0.11257876575643119,11.257876575643118,0.05865621712921763,5.865621712921763,0.07227520220053898,0.02611348159492997,0.04616172060560901,4.616172060560901,0.04919434189773448,4.919434189773448,0.034899669721093284,0.022700119864096965,0.012199549856996318,1.219954985699632,0.028799894792595124,2.8799894792595127,0.020116124838320277,0.014762782267653405,0.005353342570666872,0.5353342570666872,0.01743945355298684,1.743945355298684,0.009036164906272211,0.006944765467621526,0.002091399438650685,0.2091399438650685,0.007990465186946868,0.7990465186946868,1.5056,0.01574,-0.1894
goe222,0.2623170049,0.520024936,0.1934609298,0.6434922483,0.2498888168,0.5408649433,0.420992093,-0.1451365191,-0.1240500107,-0.1648844886,0.0924702142,0.0302130906,0.0902290955,0.1685722642,1.5367452568508257,3.250747601064871,4.552075703029933,6.087985724816209,0.02,6.719632408994517,2.7946735747475704,0.06501495202129742,1,1.4537309367795315,2.5513645951919477,6.609361018911799,10.406284052049422,0.02,11.630232534247503,1.6653993916478793,0.05102729190383896,1,0.18431617347481333,18.431617347481332,0.273,0.07260225583813348,7.260225583813348,0.5225,0.0,0.04018460762941052,-0.0198080277432125,0.05999263537262302,5.999263537262302,0.01018828994309901,1.018828994309901,0.06815770532613409,-0.02980773234628627,0.09796543767242036,9.796543767242035,0.019174986489923912,1.917498648992391,0.10029552204149732,-0.038683172253219565,0.13897869429471688,13.897869429471687,0.030806174894138876,3.080617489413888,0.14427409500636293,-0.0394774212150238,0.18375151622138675,18.375151622138674,0.05239833689566956,5.239833689566956,0.14677293668276495,-0.0019343592782343532,0.1487072959609993,14.87072959609993,0.0724192887022653,7.24192887022653,0.09421012959629327,0.016726837719603677,0.07748329187668959,7.7483291876689595,0.05546848365794847,5.5468483657948475,0.04265242034494015,0.011921941575186057,0.030730478769754092,3.073047876975409,0.027287180960063103,2.72871809600631,0.021640337346232243,0.007113611540602906,0.014526725805629338,1.452672580562934,0.014376974443417574,1.4376974443417574,0.008574562830058427,0.003153907788497909,0.005420655041560519,0.5420655041560519,0.005864235309278168,0.5864235309278167,1.4681,0.01927,-0.1887
as6095,0.1808267066,0.2376160222,0.1877145404,0.2637346955,0.2097965891,0.271304784,0.2521974376,-0.0846956825,0.1340668973,0.1778460679,0.2106176591,0.2685458025,0.247893716,0.2313941433,1.352428746274055,2.7185444907577514,6.216275698744405,9.311050107316845,0.02,9.22105347370434,1.840802331881577,0.05437088981515503,0,1.5158701617496282,2.017906906900882,7.908254098436107,12.939660971425347,0.02,14.578771719626888,1.5436348363701693,0.04035813813801764,1,0.05110881375738065,5.110881375738065,0.0955,0.07809685563441673,7.809685563441674,0.4575,0.0,0.025922053382720252,-0.008241864294253602,0.034163917676973854,3.4163917676973856,0.008840094544233325,0.8840094544233325,0.04129573674726989,-0.005359699362774132,0.046655436110044024,4.665543611004402,0.01796801869224788,1.796801869224788,0.05773885034039331,0.006660259408960649,0.05107859093143266,5.107859093143266,0.03219955487467698,3.2199554874676983,0.0807691914105011,0.04618744413777466,0.034581747272726435,3.4581747272726435,0.06347831777413787,6.347831777413787,0.08133887882132798,0.07373076089395042,0.007608117927377561,0.7608117927377561,0.0775348198576392,7.75348198576392,0.05320333173685464,0.05267139558708133,0.0005319361497733086,0.053193614977330855,0.05293736366196798,5.293736366196798,0.02418034196272922,0.022817974461974793,0.0013623675007544273,0.13623675007544273,0.023499158212352007,2.3499158212352005,0.012444563903097835,0.011516314008959654,0.0009282498941381809,0.09282498941381809,0.011980438956028745,1.1980438956028745,0.005029675085071234,0.004620811231109191,0.0004088638539620432,0.04088638539620432,0.004825243158090213,0.4825243158090213,1.4526,0.01453,-0.174
mh114,0.2516403113,0.3534096772,0.2991754096,0.3559468841,0.3915239285,0.3209343544,0.4270253829,-0.1089120985,0.0122631157,-0.0754132046,0.083674496,0.0344810019,0.0834899648,0.2413184878,1.5153513751356902,3.0757462714061194,5.979495326351568,8.328144440014174,0.02,8.663675344394548,2.5381698647002544,0.06151492542812239,0,1.3019510154081906,1.7682193753523539,6.7854885035421395,11.368562548392347,0.02,13.150708176217208,1.3497723838108884,0.035364387507047075,1,0.13085727690840734,13.085727690840734,0.297,0.06632190630517819,6.632190630517819,0.47800000000000004,0.0,0.036444172862823594,-0.013243030743974928,0.04968720360679852,4.9687203606798525,0.011600571059424334,1.1600571059424334,0.058831914824604495,-0.01685279135367804,0.07568470617828253,7.568470617828253,0.02098956173546323,2.098956173546323,0.08369362399881383,-0.016988293357633282,0.10068191735644712,10.068191735644712,0.03335266532059027,3.3352665320590273,0.12025324497829282,-0.009298190895465087,0.1295514358737579,12.955143587375789,0.055477527041413864,5.547752704141386,0.12266180028023359,0.009758248985945411,0.11290355129428818,11.290355129428818,0.0662100246330895,6.62100246330895,0.07897716017332941,0.019803736167230048,0.05917342400609936,5.917342400609936,0.04939044817027973,4.939044817027973,0.03650042667633262,0.015401767116935139,0.02109865955939748,2.109865955939748,0.025951096896633878,2.5951096896633876,0.019549650247192924,0.00964924472925301,0.009900405517939914,0.9900405517939914,0.014599447488222967,1.4599447488222967,0.008222721734121849,0.004415760667326788,0.003806961066795061,0.3806961066795061,0.006319241200724319,0.6319241200724319,1.4483,0.01481,-0.1758
as6094,0.1691255104,0.2188516074,0.1815103117,0.2530368549,0.2036229304,0.2796709981,0.2524920929,-0.0752371799,0.1907797366,0.1433100066,0.2706561711,0.2074605509,0.2680195394,0.2247254596,1.3020546394156884,2.5386323610698716,6.079191305028366,9.273355568736369,0.02,9.296653430988364,1.714316063130561,0.05077264722139743,0,1.4017576901202973,1.395567981588999,7.297180044554174,12.47795955216833,0.02,14.377233200470751,1.4477002109908523,0.02791135963177998,2,0.04152301901370069,4.152301901370069,0.0775,0.0776917238042673,7.769172380426729,0.448,0.0,0.024198406186042704,-0.006253307544466552,0.030451713730509256,3.0451713730509256,0.008972549320788076,0.8972549320788077,0.038498025525274274,-0.0012839685100993915,0.03978199403537366,3.9781994035373662,0.018607028507587442,1.8607028507587442,0.05385677350997347,0.01307042081423306,0.04078635269574041,4.078635269574041,0.033463597162103266,3.3463597162103267,0.07620197174331665,0.05279307804281616,0.02340889370050049,2.340889370050049,0.0644975248930664,6.44975248930664,0.07872357330422854,0.07500284788039624,0.0037207254238322968,0.3720725423832297,0.07686321059231238,7.686321059231238,0.053094860949764656,0.05156413248633474,0.0015307284634299145,0.15307284634299145,0.0523294967180497,5.2329496718049695,0.024403147171219348,0.022667248954301677,0.001735898216917671,0.1735898216917671,0.023535198062760512,2.353519806276051,0.01253943076768871,0.011420302195705435,0.0011191285719832755,0.11191285719832755,0.011979866481697073,1.1979866481697072,0.005052101669676114,0.00454055720473419,0.0005115444649419236,0.05115444649419236,0.0047963294372051525,0.47963294372051524,1.4385,0.01488,-0.1723
e216,0.1735288969,0.2835662599,0.2008129292,0.2825918637,0.3191495765,0.2301284477,0.5022478205,-0.1058161056,-0.0356445434,-0.0351475567,0.0095076183,0.0995254452,0.0330932601,0.3445868398,1.3824517242150105,2.582552669398681,5.292354982540425,7.998632294661814,0.02,9.642216296752967,1.8707331702626662,0.05165105338797362,0,1.3792541100301452,2.739402739600086,6.345155365183472,10.291854736840392,0.02,13.311420980323902,1.4518042326275482,0.054788054792001724,1,0.10441131076359077,10.441131076359076,0.277,0.051834968460874285,5.1834968460874284,0.5525,0.0,0.025727346417371847,-0.013553782029494357,0.0392811284468662,3.9281128446866203,0.006086782193938745,0.6086782193938745,0.04251755928074504,-0.018503101547862853,0.061020660828607895,6.102066082860789,0.012007228866441094,1.2007228866441095,0.06175076865997551,-0.02050893024986142,0.08225969890983693,8.225969890983693,0.020620919205057042,2.0620919205057042,0.09011162483431093,-0.013943815809127808,0.10405544064343873,10.405544064343873,0.03808390451259156,3.808390451259156,0.09506840652671644,0.007619538102955867,0.08744886842376058,8.744886842376058,0.05134397231483615,5.134397231483615,0.06736327366779998,0.02220136103085197,0.045161912636948014,4.516191263694801,0.04478231734932597,4.4782317349325975,0.0364519206352558,0.019423436815581695,0.017028483819674103,1.7028483819674103,0.027937678725418746,2.7937678725418746,0.021101337908428195,0.012867830731255669,0.008233507177172526,0.8233507177172525,0.01698458431984193,1.698458431984193,0.009338863101165626,0.006125637464449824,0.0032132256367158017,0.3213225636715802,0.007732250282807725,0.7732250282807724,1.372,0.01411,-0.1758
