perfil,Au0,Au1,Au2,Au3,Au4,Au5,Au6,Al0,Al1,Al2,Al3,Al4,Al5,Al6,upper_kappa_rms_interior,upper_kappa_abs_p95_interior,upper_kappa_abs_p99_interior,upper_kappa_abs_max_interior,upper_x_kappa_abs_max_interior,upper_kappa_total_variation_interior,upper_d2y_rms_interior,upper_curvature_sign_threshold,upper_curvature_inversions_interior,lower_kappa_rms_interior,lower_kappa_abs_p95_interior,lower_kappa_abs_p99_interior,lower_kappa_abs_max_interior,lower_x_kappa_abs_max_interior,lower_kappa_total_variation_interior,lower_d2y_rms_interior,lower_curvature_sign_threshold,lower_curvature_inversions_interior,t_max,t_max_pct,x_t_max,camber_abs_max,camber_abs_max_pct,x_camber_abs_max,min_thickness,yu_x02,yl_x02,thickness_x02,thickness_pct_x02,camber_x02,camber_pct_x02,yu_x05,yl_x05,thickness_x05,thickness_pct_x05,camber_x05,camber_pct_x05,yu_x10,yl_x10,thickness_x10,thickness_pct_x10,camber_x10,camber_pct_x10,yu_x25,yl_x25,thickness_x25,thickness_pct_x25,camber_x25,camber_pct_x25,yu_x50,yl_x50,thickness_x50,thickness_pct_x50,camber_x50,camber_pct_x50,yu_x75,yl_x75,thickness_x75,thickness_pct_x75,camber_x75,camber_pct_x75,yu_x90,yl_x90,thickness_x90,thickness_pct_x90,camber_x90,camber_pct_x90,yu_x95,yl_x95,thickness_x95,thickness_pct_x95,camber_x95,camber_pct_x95,yu_x98,yl_x98,thickness_x98,thickness_pct_x98,camber_x98,camber_pct_x98,CL,CD,CM,curvature_inversions_total
la5055,0.2570403779,0.4207349868,0.1027969364,0.9467560714,-0.2848055352,0.422043004,0.0347372954,-0.2547381567,0.1835383534,-0.4378000239,0.4097093484,-0.3841529546,0.1663992378,-0.0657603073,1.7092959146970803,3.4306486457895646,5.8519676401920195,7.75729853862939,0.02,14.166430977445579,2.809765420139276,0.0686129729157913,1,2.47729369098941,1.8077477127441928,14.89530359266572,23.462617314150343,0.02,29.12479551298088,2.7436666586012897,0.03615495425488385,6,0.16004758622894222,16.004758622894222,0.329,0.05941698818644259,5.941698818644259,0.3885,0.0,0.037980757018816924,-0.028842771250444918,0.06682352826926184,6.682352826926184,0.004568992884186003,0.4568992884186003,0.06197777843609905,-0.03338846579523509,0.09536624423133414,9.536624423133414,0.014294656320431979,1.429465632043198,0.08801777213248275,-0.03071517280964482,0.11873294494212758,11.873294494212757,0.028651299661418966,2.8651299661418967,0.12873627013924255,-0.025426062082901,0.15416233222214354,15.416233222214354,0.05165510402817077,5.165510402817077,0.11906704853913563,-0.013015077165631706,0.13208212570476735,13.208212570476736,0.053025985686751965,5.302598568675196,0.04374419894652181,-0.005649780696232024,0.049393979642753834,4.939397964275384,0.019047209125144893,1.9047209125144893,0.014601238605721989,-0.0007920171062075705,0.01539325571192956,1.539325571192956,0.006904610749757209,0.6904610749757208,0.005694341454094307,-0.0010041632755969305,0.006698504729691237,0.6698504729691237,0.002345089089248688,0.2345089089248688,0.0014872531261083568,-0.0008368864601812646,0.0023241395862896213,0.23241395862896214,0.0003251833329635461,0.03251833329635461,,,,7
ag11,0.1464472001,0.1577692722,0.0941842189,0.1619393909,0.0799626662,0.1258540531,0.0934897194,-0.0756163867,0.054529749,-0.1155937784,0.0947663233,-0.0943446712,0.0351475283,-0.025759386,1.3039477737257665,2.6460891876039,6.5279272913709185,10.008530505826222,0.02,10.21825669516614,1.5683780543099293,0.052921783752078,1,0.8192324938037312,0.5737754368662152,4.742249895120122,8.660481376465983,0.02,10.120965851062511,0.8270361449595236,0.011475508737324305,6,0.057586725594421975,5.758672559442197,0.258,0.021861164506011048,2.1861164506011046,0.29,0.0,0.020426970110061258,-0.008550490362882272,0.028977460472943528,2.897746047294353,0.005938239873589493,0.5938239873589493,0.031334318422247764,-0.009827327531788882,0.041161645954036645,4.1161645954036645,0.010753495445229442,1.0753495445229442,0.041398360987134196,-0.008815158720642056,0.05021351970777625,5.0213519707776255,0.01629160113324607,1.629160113324607,0.05052086127339478,-0.007051595995321653,0.05757245726871643,5.757245726871643,0.021734632639036564,2.173463263903656,0.04304881532931531,-0.004513674643980128,0.04756248997329544,4.756248997329544,0.01926757034266759,1.926757034266759,0.02388929221196037,-0.0024149601531612847,0.026304252365121655,2.6304252365121656,0.010737166029399541,1.073716602939954,0.00992581794145994,-0.0008801742035842434,0.010805992145044184,1.0805992145044183,0.004522821868937848,0.45228218689378474,0.004909280596155392,-0.0006561927134580025,0.005565473309613394,0.5565473309613395,0.0021265439413486946,0.21265439413486945,0.0019192298113677726,-0.0003863654797162517,0.002305595291084024,0.2305595291084024,0.0007664321658257605,0.07664321658257606,0.8664,0.01428,-0.0292,7
clarkz,0.2194996243,0.2871248023,0.2151785275,0.3019928732,0.2263840471,0.2708528771,0.2485063241,-0.1618262752,0.0457499054,-0.1766869351,0.1057842157,-0.1442210529,0.029965164,-0.0477996346,1.4894579742118026,3.1706899064049923,6.560422927557237,9.324173670831206,0.02,9.242479569484773,2.251021791073544,0.06341379812809984,0,1.6461269364217421,1.8907598203968994,9.590130143467606,15.746165119891613,0.02,17.21492149954652,1.7719780483335557,0.03781519640793799,6,0.11732725456815835,11.732725456815835,0.3055,0.04037924919182907,4.037924919182907,0.395,0.0,0.03143613139600029,-0.019313240962732334,0.05074937235873262,5.0749372358732625,0.006061445216633977,0.6061445216633977,0.04997189169572167,-0.02411447988506794,0.07408637158078961,7.408637158078961,0.012928705905326866,1.2928705905326865,0.06951405049178787,-0.024422571634300175,0.09393662212608804,9.393662212608804,0.022545739428743848,2.254573942874385,0.0951092793071594,-0.020855475864276128,0.11596475517143554,11.596475517143553,0.03712690172144163,3.712690172144163,0.09103540247920677,-0.013552535623156552,0.10458793810236333,10.458793810236333,0.03874143342802511,3.874143342802511,0.05542870329357376,-0.0070011943886699795,0.06242989768224374,6.242989768224374,0.02421375445245189,2.421375445245189,0.024190267357628095,-0.0026230860584406696,0.026813353416068764,2.6813353416068764,0.010783590649593713,1.0783590649593713,0.012336026178747982,-0.0015777329041579535,0.013913759082905935,1.3913759082905934,0.005379146637295014,0.5379146637295014,0.004965899780419885,-0.0007894893077498963,0.005755389088169782,0.5755389088169782,0.002088205236334994,0.20882052363349943,1.0724,0.01328,-0.0785,6
fx76mp160,0.2628418365,0.3807106623,0.3564606536,0.2571061926,0.6499837416,0.2026105423,0.4317899433,-0.1896640773,-0.0202210616,-0.1651931713,0.1242108502,-0.2071143381,0.1151889335,0.1935865432,1.5354697285977832,3.0156576955831396,5.636033335413454,7.836813287097544,0.02,10.641052174680517,2.642092675300894,0.060313153911662795,2,1.9042241861012208,2.868074938475986,10.216564962750605,15.584629653460413,0.02,18.028482788818124,2.1741595321368536,0.057361498769519716,3,0.16124882620036904,16.124882620036903,0.3145,0.06055224062727594,6.055224062727594,0.486,0.0,0.038271780449214546,-0.02371350658350321,0.06198528703271776,6.1985287032717755,0.007279136932855668,0.7279136932855668,0.062258600658281024,-0.031632691885353656,0.09389129254363468,9.389129254363468,0.015312954386463684,1.5312954386463684,0.08942266520926116,-0.03490714051567617,0.12432980572493733,12.432980572493733,0.027257762346792495,2.7257762346792496,0.12913068854284057,-0.029944767378231808,0.1590754559210724,15.907545592107239,0.049592960582304384,4.959296058230438,0.1349764579270832,-0.013957989216835553,0.14893444714391876,14.893444714391876,0.06050923435512383,6.050923435512383,0.08425492921045868,0.005372765366322406,0.07888216384413628,7.888216384413628,0.044813847288390544,4.481384728839054,0.035046757201009755,0.011850612075362808,0.023196145125646946,2.3196145125646948,0.023448684638186282,2.3448684638186283,0.018756397932985728,0.007942142405316186,0.010814255527669542,1.0814255527669543,0.013349270169150957,1.3349270169150957,0.008080201193539967,0.003620322016576934,0.0044598791769630336,0.44598791769630336,0.00585026160505845,0.585026160505845,1.2743,0.0148,-0.1414,5
jx-gs-04,0.1303689987,0.1632138949,0.0927275131,0.1427000734,0.0476380587,0.1084354989,0.0667940884,-0.0795157761,-0.0468046234,-0.0742848129,0.0095687608,-0.0782432159,-0.0064657513,-0.0457977615,1.1908132293177367,2.4387252615302097,5.733516424342423,8.932504388863226,0.02,9.382272725333094,1.4002427318973703,0.0487745052306042,1,0.8145567572689871,1.3301044940309739,4.373486373663745,7.417853559189978,0.02,7.950795683978713,0.8506343062878664,0.02660208988061948,4,0.06908136719460733,6.9081367194607335,0.233,0.014305673841811174,1.4305673841811175,0.295,0.0,0.018533346494349498,-0.010522697565683057,0.029056044060032555,2.9056044060032553,0.0040053244643332205,0.40053244643332203,0.029073342511941432,-0.015203666690136605,0.04427700920207804,4.427700920207804,0.0069348379109024135,0.6934837910902414,0.039383434243166815,-0.018814447094254692,0.05819788133742151,5.819788133742151,0.010284493574456061,1.0284493574456062,0.048630669970285034,-0.020326727963287355,0.06895739793357239,6.895739793357239,0.01415197100349884,1.415197100349884,0.037490715884125184,-0.014039831645543439,0.051530547529668624,5.153054752966862,0.011725442119290871,1.1725442119290872,0.01888703735556726,-0.0075937096466840385,0.026480747002251295,2.6480747002251297,0.00564666385444161,0.564666385444161,0.007665895939184925,-0.0032523938741064818,0.010918289813291408,1.0918289813291409,0.0022067510325392216,0.22067510325392217,0.0037057532625803372,-0.001829580754302879,0.0055353340168832164,0.5535334016883217,0.0009380862541387291,0.09380862541387291,0.0014100134099289726,-0.0008256710732957776,0.00223568448322475,0.22356844832247502,0.0002921711683165975,0.02921711683165975,0.7757,0.01294,-0.0111,5
fx71l150,0.1973032731,0.1532027723,0.2430173997,0.1764975999,0.2333497891,0.0191469958,0.1203575123,-0.1973032731,-0.1532027723,-0.2430173997,-0.1764975999,-0.2333497891,-0.0191469958,-0.1203575123,1.5096664822686292,2.570838253929039,7.738194995273199,11.679542577928643,0.02,13.541023398196549,1.9929189464789097,0.05141676507858078,2,1.5096664822686292,2.570838253929039,7.738194995273199,11.679542577928643,0.02,13.541023398196549,1.9929189464789097,0.05141676507858078,2,0.15101415958540673,15.101415958540674,0.342,0.0,0.0,0.0,0.0,0.026716504621824975,-0.026716504621824975,0.05343300924364995,5.343300924364995,0.0,0.0,0.04002549139148413,-0.04002549139148413,0.08005098278296827,8.005098278296826,0.0,0.0,0.052910469158915834,-0.052910469158915834,0.10582093831783167,10.582093831783167,0.0,0.0,0.07230338723602293,-0.07230338723602293,0.14460677447204587,14.460677447204587,0.0,0.0,0.06644162712584067,-0.06644162712584067,0.13288325425168135,13.288325425168136,0.0,0.0,0.028027843731448815,-0.028027843731448815,0.05605568746289763,5.605568746289763,0.0,0.0,0.009163215602656262,-0.009163215602656262,0.018326431205312525,1.8326431205312526,0.0,0.0,0.004895088019332397,-0.004895088019332397,0.009790176038664795,0.9790176038664795,0.0,0.0,0.0021781505853341442,-0.0021781505853341442,0.0043563011706682885,0.43563011706682886,0.0,0.0,0.64,0.01345,0.0093,4
s4180,0.2133986472,0.2581967103,0.2316186542,0.2387807348,0.188836646,0.2108662555,0.1232086079,-0.1293705523,0.056556237,-0.1186837491,0.1183834348,-0.0484662493,0.0617582915,0.0882029718,1.49234859029527,3.0554393287543284,6.745264001489754,9.735442892422764,0.02,10.432853697721283,2.180540076455791,0.06110878657508657,1,1.4306792183214008,1.5901667344337267,8.206932769878991,13.892999348075065,0.02,14.972165570752814,1.4833602336553637,0.03180333468867454,3,0.09790945469043662,9.790945469043661,0.2555,0.043117117959204324,4.3117117959204325,0.379,0.0,0.03026350046135139,-0.015121367075107372,0.04538486753645876,4.538486753645876,0.007571066693122009,0.7571066693122009,0.04766990889043273,-0.01812973123510784,0.06579964012554057,6.579964012554057,0.014770088827662446,1.4770088827662446,0.06585857792449022,-0.01671342068440782,0.08257199860889804,8.257199860889804,0.024572578620041204,2.4572578620041203,0.08896988777051698,-0.008923547138845824,0.09789343490936281,9.78934349093628,0.04002317031583558,4.002317031583558,0.07862933079246984,0.0029231038089073667,0.07570622698356247,7.570622698356247,0.0407762173006886,4.07762173006886,0.041851357133218,0.007624789840216475,0.034226567293001525,3.4226567293001526,0.024738073486717235,2.4738073486717234,0.015420667635849806,0.006220536889273707,0.009200130746576099,0.9200130746576098,0.010820602262561756,1.0820602262561756,0.007106321024679269,0.003798177507504605,0.0033081435171746637,0.33081435171746637,0.005452249266091937,0.5452249266091936,0.0026352006514326247,0.0016746424304385859,0.0009605582209940389,0.09605582209940389,0.002154921540935605,0.2154921540935605,1.1162,0.01312,-0.0804,4
ag10,0.1217765552,0.1184664954,0.0815396224,0.0830524043,0.0843953427,0.0733816792,0.0772893678,-0.0997209449,0.0513286548,-0.0942491454,0.113037221,-0.0977829147,0.0509457344,-0.0211059309,1.1626220797305968,2.2587742990060904,5.941728613334664,9.417081986097466,0.02,9.43003948948793,1.315320353272574,0.04517548598012181,0,1.1200953250468726,1.190238670141417,6.449824006198164,11.207623184994903,0.02,12.515124338169693,1.1423321259204386,0.023804773402828338,4,0.046449181623456196,4.644918162345619,0.153,0.016657859395677568,1.6657859395677568,0.3245,0.0,0.016795926457124074,-0.011541214072853386,0.02833714052997746,2.8337140529977463,0.002627356192135344,0.2627356192135344,0.02542594474831803,-0.013602421628165473,0.039028366376483506,3.9028366376483508,0.005911761560076279,0.591176156007628,0.03302306670931449,-0.012111048700055263,0.045134115409369756,4.513411540936976,0.010456009004629615,1.0456009004629614,0.03828824427153625,-0.00582612109230652,0.04411436536384277,4.411436536384277,0.016231061589614865,1.6231061589614866,0.030384751458780983,-0.0007011241169915072,0.03108587557577249,3.1085875575772492,0.014841813670894738,1.484181367089474,0.01712520304566075,-0.0005694352078237135,0.017694638253484465,1.7694638253484465,0.00827788391891852,0.8277883918918519,0.007275991907153225,-0.00011895089754203332,0.007394942804695258,0.7394942804695258,0.0035785205048055957,0.35785205048055957,0.0037336114503734898,-0.0003138869006595365,0.0040474983510330265,0.40474983510330265,0.0017098622748569765,0.17098622748569764,0.001522655240135368,-0.00027114249427053676,0.0017937977344059048,0.17937977344059047,0.0006257563729324155,0.06257563729324155,,,,4
sg6051,0.1621488459,0.2366332,0.1936331904,0.2819834847,0.2537743054,0.2547945448,0.1934883893,-0.1135159583,-0.0408388278,-0.1517965657,0.0212297185,-0.0960652908,-0.0336329125,-0.0412873179,1.2306572734328483,2.351870587340379,5.500199173357746,8.50874422480441,0.02,8.931185271893902,1.6192913752144251,0.04703741174680758,1,1.0745694144080462,1.4960340052028736,5.947486385595101,10.100174898967543,0.02,10.478799697095363,1.1611779349781712,0.029920680104057473,3,0.11640873956219869,11.640873956219869,0.35050000000000003,0.032545158845363194,3.2545158845363193,0.4805,0.0,0.023619104073283943,-0.014666479423257966,0.03828558349654191,3.828558349654191,0.004476312325012988,0.4476312325012988,0.03837816433676494,-0.020716658391854312,0.05909482272861925,5.909482272861926,0.008830752972455315,0.8830752972455315,0.055071146732101076,-0.025484695515807246,0.08055584224790832,8.055584224790833,0.014793225608146915,1.4793225608146914,0.0814629312524231,-0.030109901538345342,0.11157283279076843,11.157283279076843,0.02567651485703888,2.567651485703888,0.08648239565084256,-0.02151685715966562,0.10799925281050818,10.799925281050818,0.032482769245588475,3.2482769245588474,0.0530542243837134,-0.010874563900816047,0.06392878828452944,6.392878828452944,0.021089830241448677,2.1089830241448677,0.0211019955485842,-0.004097287321955741,0.025199282870539942,2.519928287053994,0.00850235411331423,0.850235411331423,0.01022198926594731,-0.002000965934459495,0.012222955200406805,1.2222955200406804,0.004110511665743908,0.4110511665743908,0.0039694056505299915,-0.0008068293041655497,0.004776234954695541,0.4776234954695541,0.0015812881731822209,0.1581288173182221,1.045,0.01164,-0.0849,4
clarky,0.1814046165,0.3120493583,0.1403673074,0.3399715518,0.1846096464,0.2710186022,0.2335530082,-0.1583914601,-0.0049798582,-0.163621125,0.0761034681,-0.1451863645,0.0163419101,-0.0560220097,1.3593914490180234,3.015372714343642,5.490435538896334,7.980983285387781,0.02,8.056868791953793,1.918531880437228,0.06030745428687285,0,1.5455823464051988,2.1424620895453,8.825645191775351,14.225303890702856,0.02,15.291071926893764,1.7092790651352852,0.042849241790906004,4,0.11723627462659209,11.72362746265921,0.294,0.03482053432309694,3.482053432309694,0.428,0.0,0.027077246368774413,-0.019644774793247173,0.046722021162021586,4.6722021162021585,0.00371623578776362,0.371623578776362,0.04478344988119251,-0.026008443484063525,0.07079189336525604,7.079189336525604,0.009387503198564493,0.9387503198564493,0.06431311989100359,-0.028776071592586223,0.09308919148358982,9.308919148358981,0.017768524149208684,1.7768524149208684,0.0889322237919342,-0.02744694475752868,0.11637916854946288,11.637916854946289,0.030742639517202762,3.074263951720276,0.08610931338350919,-0.017988598406924905,0.1040979117904341,10.40979117904341,0.03406035748829214,3.4060357488292143,0.05275431503081768,-0.009231965117656553,0.06198628014847423,6.198628014847423,0.021761174956580562,2.1761174956580565,0.02309594447090921,-0.0035443478381401564,0.02664029230904937,2.6640292309049367,0.009775798316384527,0.9775798316384526,0.01174369260749587,-0.0020308961507171357,0.013774588758213005,1.3774588758213004,0.004856398228389367,0.4856398228389367,0.004699525246317739,-0.0009631508443975826,0.005662676090715322,0.5662676090715322,0.0018681872009600783,0.18681872009600783,1.0156,0.0132,-0.0725,4
