perfil,distancia_treino,vizinho_treino
s1221,2.7029862033442775,fx63137
fx63158,2.5132189196491077,e431
ah79k143,2.488282993364444,ah88k136
goe387,2.216828038129567,clarkz
s1014,1.945819109495302,s1016
as6093,1.701009034883217,as6092
ah81k144,1.6278089251017505,ah63k127
e214,1.4975698234951043,e212
e230,1.4458613576711667,sd8020
clarky,1.2469305281904977,clarkz
fx69h083,1.2308544813855984,mh30
mh70,1.176700490846964,sd8040
s4110,1.0678827202252432,sa7024
s2027,1.0095610787367089,e197
s2091,1.0088866985807687,sd7032
naca1412,0.9336649221589699,naca2412
e201,0.8201535987233214,e207
mh44,0.8192817365572327,mh60
e205,0.7997613159386057,e193
rg15,0.7448666787460441,s2048
s3021,0.7338990288430671,sa7036
s8064,0.7126783353421016,s8065
mh27,0.706201192835364,mh26
mh32,0.6717658427677997,sa7036
ag04,0.48791215489025996,ag03
ag25,0.4566734360749269,ag26
ag54,0.34295992716295615,ag53
ag19,0.271481489802326,ag14
ag24,0.2588353709138047,ag23
