perfil,distancia_treino,percentil_distancia,vizinho_treino,CL_real,CL_pred,erro_CL,CD_real,CD_pred,erro_CD,CM_real,CM_pred,erro_CM,CL_CD_real,CL_CD_pred,erro_CL_CD
s4096,21.34240470087907,100.0,s4095,0.8482,0.8286147,0.019585299999999917,0.01799,0.011189601,0.006800398999999999,-0.0588,-0.051835146,0.0069648539999999995,47.148415786548085,74.05221151317191,26.903795726623827
hs1430,13.880143166892932,96.66666666666667,hs1712,0.5861,0.86774707,0.28164707,0.03064,0.022328185,0.008311815,-0.0139,-0.059306975,0.045406975,19.12859007832898,38.86330527985145,19.734715201522473
npl9510,3.669417041272414,93.33333333333333,a63a108c,0.7432,0.8941158,0.15091580000000004,0.02891,0.015564213,0.013345787000000001,-0.0691,-0.070411935,0.0013119350000000002,25.707367692839846,57.446900784511236,31.73953309167139
fx68h120,3.418952036769789,90.0,s2027,0.7819,0.7308974,0.05100260000000001,0.01401,0.0215903,0.0075803,-0.0331,-0.024907699,0.008192300999999999,55.81013561741614,33.85304511748332,21.957090499932818
fx73cl2152,3.4131376604458508,86.66666666666667,s1210,1.4695,1.5953393,0.1258393,0.01988,0.017933208,0.0019467919999999993,-0.2009,-0.23836672,0.03746672000000001,73.9185110663984,88.96006224876218,15.04155118236379
lrn1015,3.3495113865498567,83.33333333333334,ah63k127,1.0433,0.94501,0.09828999999999988,0.01602,0.018764937,0.0027449369999999994,-0.0907,-0.082752906,0.007947094000000002,65.12484394506866,50.36041421295473,14.764429732113932
s1221,2.550731286639855,80.0,fx63110,1.2406,1.2903541,0.049754100000000134,0.01663,0.016263647,0.0003663529999999998,-0.1629,-0.17441572,0.011515720000000007,74.60012026458207,79.33977538986183,4.739655125279754
ah79k143,2.5058751469164076,76.66666666666667,ah88k136,0.9932,1.0614874,0.06828740000000011,0.01461,0.015693951,0.0010839510000000014,-0.0881,-0.11425932,0.02615932,67.98083504449008,67.63672194465244,0.34411309983764227
fx63137,2.456357345921953,73.33333333333333,s1210,1.4207,1.2701815,0.1505185,0.01468,0.016245956,0.0015659559999999986,-0.1946,-0.18062769,0.013972309999999988,96.77792915531336,78.18447249272374,18.593456662589617
sg6051,2.1618531942719965,70.0,sg6050,0.9418,0.8983661,0.043433900000000025,0.0112,0.012655129,0.0014551289999999995,-0.0869,-0.06477959,0.022120410000000007,84.08928571428571,70.98830047485094,13.100985239434763
e214,1.5504954028551814,66.66666666666666,e212,1.1051,1.174616,0.06951600000000013,0.01158,0.0121887205,0.0006087204999999998,-0.1302,-0.13594481,0.005744809999999989,95.43177892918825,96.36909797053761,0.9373190413493546
e230,1.4887614868816867,63.33333333333333,sd8020,0.5242,0.60214305,0.07794305000000001,0.01201,0.013325863,0.0013158630000000004,0.0189,0.0051973765,0.0137026235,43.64696086594505,45.18604536156495,1.5390844956199032
s8064,1.400582209798756,60.0,s8066,0.7479,0.6618358,0.08606420000000004,0.01086,0.0134605095,0.0026005095000000006,-0.0408,-0.019897604,0.020902396000000004,68.86740331491713,49.16870345806746,19.698699856849665
e374,1.2857857017111534,56.666666666666664,e220,0.8309,0.79038835,0.04051165000000001,0.01065,0.012118416,0.0014684160000000002,-0.0527,-0.04410255,0.00859745,78.01877934272301,65.22208430540756,12.796695037315445
rg8,1.187663194011734,53.333333333333336,e212,0.875,1.0159463,0.14094629999999997,0.01111,0.012838359,0.0017283590000000005,-0.077,-0.09876552,0.021765519999999997,78.75787578757875,79.13365719092292,0.3757814033441633
mh33,1.1086989743232811,50.0,mh43,0.6727,0.70821804,0.03551804000000003,0.01196,0.010888027,0.0010719730000000004,-0.0231,-0.037433803,0.014333803000000003,56.24581939799331,65.04558080173754,8.799761403744235
s2091,1.0468928354203149,46.666666666666664,sd7032,0.9621,0.9661117,0.0040117000000000624,0.01141,0.010793555,0.0006164450000000002,-0.076,-0.07825567,0.0022556700000000013,84.32077125328658,89.50820188529174,5.18743063200516
e228,1.0114853954932914,43.333333333333336,sd8020,0.6048,0.60955435,0.004754350000000018,0.01097,0.01140523,0.00043523,-0.0027,0.004195286,0.0068952860000000005,55.132178669097534,53.445160685054134,1.6870179840434005
sa7026,0.8598209769380463,40.0,e387,0.9891,0.9687831,0.02031689999999997,0.01036,0.011740117,0.0013801170000000001,-0.0948,-0.069966,0.024833999999999995,95.47297297297298,82.51903281713462,12.953940155838367
e201,0.8178167567227863,36.666666666666664,e207,0.9184,0.88221383,0.03618617000000002,0.01165,0.011689349,3.934899999999929e-05,-0.0786,-0.069685005,0.008914995000000009,78.83261802575107,75.4715964079779,3.3610216177731758
s8065,0.7287582540762145,33.33333333333333,s8066,0.7276,0.7154242,0.01217580000000007,0.01108,0.012254888,0.0011748880000000007,-0.0384,-0.03075037,0.0076496299999999975,65.66787003610109,58.37868122499365,7.289188811107444
ah93k131,0.7229948910547606,30.0,ah93k130,0.9168,0.90732044,0.009479559999999942,0.01522,0.01717328,0.00195328,-0.0663,-0.068935476,0.0026354759999999977,60.236530880420496,52.83326423373986,7.403266646680635
