perfil,Au0,Au1,Au2,Au3,Au4,Au5,Au6,Al0,Al1,Al2,Al3,Al4,Al5,Al6,DeltaTE_upper,DeltaTE_lower,distancia_treino_mais_proximo,perfil_treino_mais_proximo
s4096,0.1702012009,0.2612278387,0.095938377,0.3092247895,0.0654498575,0.210210602,0.1181209585,-0.1114610568,-0.0837833649,-0.0886372893,-0.0486550815,-0.0577074658,-0.0567785586,-0.0191191436,0.0,-0.0620349569,21.34240470087907,s4095
hs1430,0.4926402929,0.4732452176,0.3761443106,0.5003305698,0.4489069445,0.464125403,0.6930944651,-0.4480787901,-0.272936531,-0.3142988491,-0.2320448958,-0.3626224516,-0.2172895031,-0.4215751678,0.020262716,-0.020262716,13.880143166892932,hs1712
npl9510,0.1721496837,-0.0105160843,0.2870590118,-0.0662443339,0.3042596224,0.1215223244,0.2378845318,-0.1921260407,-0.1287142558,-0.2351074352,-0.1285387225,-0.1236973431,0.0443795916,0.0964526063,0.0024416273,-0.0024416273,3.669417041272414,a63a108c
fx68h120,0.1586002327,0.4250186827,-0.1049132638,0.5125191797,-0.0141781083,0.3755050547,-0.0201132744,-0.1213294681,-0.1531908781,0.0147013155,-0.1910330915,-0.0011349258,-0.1163387204,-0.1246711416,6.01286e-05,6.01286e-05,3.418952036769789,s2027
fx73cl2152,0.2953625048,0.3588682312,0.4919316439,0.0930964245,0.5640091992,0.096579407,0.6425804744,-0.1982885548,0.0043286022,-0.1071971855,0.101353779,0.0844840061,0.0975473174,0.4010313264,-0.0004731214,-0.0004731214,3.4131376604458508,s1210
lrn1015,0.2944312369,0.2305612086,0.4469717576,0.0721670016,0.7823999781,-0.0635433411,0.3830079859,-0.1035664053,-0.0181202796,-0.189413094,0.0743827322,-0.2201227704,-0.0103338679,0.0605964627,-0.0001698498,-0.0001698498,3.3495113865498567,ah63k127
s1221,0.2415097814,0.315963179,0.3181498029,0.0654957588,0.4289417167,0.0024707301,0.4891742173,-0.1124595211,-0.0371225481,-0.1242927652,0.19016735,0.0020487026,0.1119370459,0.3793494477,-0.000359899,-0.000359784,2.550731286639855,fx63110
ah79k143,0.1631382148,0.1982418818,0.4444868595,-0.1541513707,0.9369072667,-0.2690467208,0.3748571364,-0.1259714133,-0.0802438812,-0.1076669023,-0.1603318719,-0.007946408,-0.3711342886,0.1170281088,-0.0001902384,-0.0001902384,2.5058751469164076,ah88k136
fx63137,0.2727736289,0.268467978,0.3972453705,0.1833389486,0.531000934,0.1397623401,0.4947471106,-0.1206289453,-0.0225078917,-0.103395941,-0.0147127121,0.1179207793,0.0621463721,0.3876224949,-0.0003045943,-0.0003045943,2.456357345921953,s1210
sg6051,0.1621488459,0.2366332,0.1936331904,0.2819834847,0.2537743054,0.2547945448,0.1934883893,-0.1135159583,-0.0408388278,-0.1517965657,0.0212297185,-0.0960652908,-0.0336329125,-0.0412873179,0.005002366,-0.005002366,2.1618531942719965,sg6050
e214,0.1702499699,0.274134257,0.1844160694,0.3223858133,0.2152983316,0.2740057122,0.3499433852,-0.0903811713,-0.0600525198,-0.0210634575,-0.1083458629,0.0900592186,-0.015452962,0.1796251118,-0.0,-0.0,1.5504954028551814,e212
e230,0.1257616879,0.1464932803,0.0902546425,0.1518182152,0.0383478652,0.1278013018,-0.0522244965,-0.1212916609,-0.1765779008,-0.0961263281,-0.1723047416,-0.1245623531,-0.128360193,-0.1892287855,-0.0,-0.0,1.4887614868816867,sd8020
s8064,0.1439811068,0.1775884859,0.1749707839,0.2186617526,0.1798483382,0.3251686444,0.0631791637,-0.1143785579,-0.1360654169,-0.125428616,-0.1231247178,-0.1805798906,-0.0982123603,-0.0749499846,0.0,0.0,1.400582209798756,s8066
e374,0.1283571811,0.2414864012,0.1073620353,0.3441030511,0.0936852581,0.2088233932,0.1521197847,-0.107507495,-0.0738132323,-0.1064102134,-0.0471272427,-0.1234545704,-0.0730436853,-0.0856989295,0.0,0.0,1.2857857017111534,e220
rg8,0.145354246,0.2402487647,0.1226298328,0.2562555254,0.1705693121,0.1960888928,0.2805586759,-0.110178332,-0.1143632778,-0.0348969198,-0.1873189156,0.0416788691,-0.0697876343,0.1033697676,0.0,0.0,1.187663194011734,e212
mh33,0.1132156596,0.1541950271,0.0677106611,0.1890812198,0.0481832058,0.1817306009,0.0998997568,-0.0785958211,-0.0918509271,-0.0247366755,-0.1210645554,0.0169102433,-0.1156754487,-0.016239564,-0.0,-0.0,1.1086989743232811,mh43
s2091,0.1985689864,0.2680399293,0.1896764918,0.277151607,0.1826785228,0.2343301069,0.1119163937,-0.108898262,-0.0045673211,-0.0729585882,0.0315160761,-0.0148556091,0.0290074806,0.0522653661,3.7e-09,-3.7e-09,1.0468928354203149,sd7032
e228,0.1216444774,0.1873518711,0.0698724667,0.2168263598,0.0405897196,0.1672791047,0.0143241009,-0.1166956123,-0.1608038053,-0.079687157,-0.1610455068,-0.08355252,-0.1184298754,-0.1117121359,0.0,0.0,1.0114853954932914,sd8020
sa7026,0.1400391836,0.268304204,0.1163110046,0.3293645154,0.1383934133,0.3211957607,0.1560143751,-0.0839722897,-0.009703529,-0.0635117477,0.0393985357,-0.0225785833,0.0380674657,0.0477014913,-9.75552e-05,-9.75552e-05,0.8598209769380463,e387
