conjunto,feature,min_treino,max_treino,min_conjunto,max_conjunto,linhas_fora_faixa,percentual_fora_faixa
validacao,Au0,0.1023577963,0.3984621752,0.1204785613,0.344627764,0,0.0
validacao,Au1,0.0204400842,0.6996523787,0.1272508577,0.5367222434,0,0.0
validacao,Au2,-0.1110028143,0.5547370662,0.0177553977,0.3106489776,0,0.0
validacao,Au3,-0.2684172175,0.9467560714,0.0710307933,0.5245630476,0,0.0
validacao,Au4,-0.2848055352,1.0653918059,0.0323392907,0.6721534625,0,0.0
validacao,Au5,-0.30260263,0.5635153474,-0.1100706123,0.3934455239,0,0.0
validacao,Au6,-0.0100322623,0.8863980473,-0.0475679788,0.5656133342,39,3.5747021081576533
validacao,Al0,-0.2592519048,-0.0514495151,-0.2837153836,-0.047864799,67,6.14115490375802
validacao,Al1,-0.3149685802,0.2922026774,-0.1906564581,0.4465494075,28,2.566452795600367
validacao,Al2,-0.4378000239,0.4401552682,-0.2095000979,0.2958055997,0,0.0
validacao,Al3,-0.408504886,0.4097093484,-0.264603038,0.3938402187,0,0.0
validacao,Al4,-0.4805413454,0.3090097851,-0.215208272,0.3151398264,37,3.3913840513290556
validacao,Al5,-0.301321948,0.3137969392,-0.2596865572,0.2714422443,0,0.0
validacao,Al6,-0.2458453991,0.6057377337,-0.1823908017,0.263369279,0,0.0
validacao,DeltaTE_upper,-0.0006020825,0.0193921563,-0.0002199434,0.0135068006,0,0.0
validacao,DeltaTE_lower,-0.0193921563,4.04704e-05,-0.0135068006,4.1e-09,0,0.0
validacao,Re,200000.0,300000.0,200000.0,300000.0,0,0.0
validacao,alpha,0.0,12.0,0.0,12.0,0,0.0
teste,Au0,0.1023577963,0.3984621752,0.1132156596,0.4926402929,37,3.306523681858802
teste,Au1,0.0204400842,0.6996523787,-0.0105160843,0.4732452176,31,2.7703306523681857
teste,Au2,-0.1110028143,0.5547370662,-0.1049132638,0.4919316439,0,0.0
teste,Au3,-0.2684172175,0.9467560714,-0.1541513707,0.5125191797,0,0.0
teste,Au4,-0.2848055352,1.0653918059,-0.0141781083,0.9369072667,0,0.0
teste,Au5,-0.30260263,0.5635153474,-0.2690467208,0.464125403,0,0.0
teste,Au6,-0.0100322623,0.8863980473,-0.0522244965,0.6930944651,108,9.651474530831099
teste,Al0,-0.2592519048,-0.0514495151,-0.4480787901,-0.0701460286,37,3.306523681858802
teste,Al1,-0.3149685802,0.2922026774,-0.272936531,0.0043286022,0,0.0
teste,Al2,-0.4378000239,0.4401552682,-0.3142988491,0.0147013155,0,0.0
teste,Al3,-0.408504886,0.4097093484,-0.2320448958,0.19016735,0,0.0
teste,Al4,-0.4805413454,0.3090097851,-0.3626224516,0.1179207793,0,0.0
teste,Al5,-0.301321948,0.3137969392,-0.3711342886,0.1119370459,36,3.2171581769436997
teste,Al6,-0.2458453991,0.6057377337,-0.4215751678,0.4010313264,37,3.306523681858802
teste,DeltaTE_upper,-0.0006020825,0.0193921563,-0.0004731214,0.020262716,37,3.306523681858802
teste,DeltaTE_lower,-0.0193921563,4.04704e-05,-0.0620349569,6.01286e-05,115,10.277033065236818
teste,Re,200000.0,300000.0,200000.0,300000.0,0,0.0
teste,alpha,0.0,12.0,0.0,12.0,0,0.0
