perfil,linhas,media_features_fora,max_features_fora,conjunto
hs1430,37,5.0,5,teste
e376,28,2.0,2,validacao
fx68h120,39,2.0,2,teste
as6093,37,1.0,1,validacao
hs1620,39,1.0,1,validacao
mh61,39,1.0,1,validacao
ah79k143,36,1.0,1,teste
e230,30,1.0,1,teste
mh60,39,1.0,1,teste
npl9510,31,1.0,1,teste
s4096,39,1.0,1,teste
ag11,39,0.0,0,validacao
ag18,36,0.0,0,validacao
ah79k135,39,0.0,0,validacao
clarky,39,0.0,0,validacao
e205,39,0.0,0,validacao
e231,39,0.0,0,validacao
e431,39,0.0,0,validacao
fx60126,39,0.0,0,validacao
fx61140,38,0.0,0,validacao
hs1708,38,0.0,0,validacao
mh30,35,0.0,0,validacao
mh32,37,0.0,0,validacao
mh44,39,0.0,0,validacao
mh70,39,0.0,0,validacao
naca0010,38,0.0,0,validacao
naca0015,38,0.0,0,validacao
naca1412,39,0.0,0,validacao
naca4412,39,0.0,0,validacao
naca4415,38,0.0,0,validacao
s1091,26,0.0,0,validacao
s2048,39,0.0,0,validacao
s4110,39,0.0,0,validacao
s4180,39,0.0,0,validacao
sg6040,39,0.0,0,validacao
usa45,39,0.0,0,validacao
ag04,38,0.0,0,teste
ag19,36,0.0,0,teste
ag24,37,0.0,0,teste
ag25,39,0.0,0,teste
ag54,38,0.0,0,teste
ah93k131,36,0.0,0,teste
e174,39,0.0,0,teste
e201,39,0.0,0,teste
e214,39,0.0,0,teste
e228,38,0.0,0,teste
e374,39,0.0,0,teste
fx63137,38,0.0,0,teste
fx73cl2152,39,0.0,0,teste
jx-gs-15,36,0.0,0,teste
lrn1015,34,0.0,0,teste
mh33,35,0.0,0,teste
rg8,36,0.0,0,teste
s1221,39,0.0,0,teste
s2091,39,0.0,0,teste
s8064,38,0.0,0,teste
s8065,38,0.0,0,teste
sa7026,39,0.0,0,teste
sg6051,39,0.0,0,teste
