CL,CD,CM
0.7034,0.01454,-0.13
0.8143,0.01383,-0.1292
0.918,0.01274,-0.1274
1.0252,0.01404,-0.1265
1.1316,0.01548,-0.1257
1.2372,0.01694,-0.1248
1.3398,0.01847,-0.1237
1.4327,0.01903,-0.121
1.4812,0.02484,-0.1135
1.5261,0.02996,-0.1043
1.5156,0.03924,-0.0941
1.4739,0.05658,-0.0934
1.432,0.07604,-0.0953
0.704,0.01361,-0.1297
0.8158,0.01289,-0.1293
1.0278,0.01292,-0.127
1.1343,0.01419,-0.1262
1.2399,0.01548,-0.1254
1.342,0.01667,-0.1241
1.4385,0.0175,-0.1221
1.4884,0.02386,-0.1144
1.5288,0.02919,-0.1048
1.5092,0.03946,-0.0947
1.475,0.05613,-0.0939
1.4443,0.07346,-0.0941
0.7052,0.01271,-0.1298
0.8171,0.01228,-0.1294
0.9225,0.01102,-0.1283
1.0304,0.01213,-0.1276
1.1372,0.0133,-0.1268
1.243,0.01448,-0.126
1.3456,0.01552,-0.1248
1.4438,0.01655,-0.1232
1.4949,0.02309,-0.1154
1.5175,0.02963,-0.1037
1.4888,0.04138,-0.0946
1.4611,0.05737,-0.0936
1.4504,0.07048,-0.0899
0.6005,0.00968,-0.1242
0.713,0.00948,-0.1223
0.8216,0.0099,-0.1201
0.926,0.01068,-0.1175
1.0202,0.01218,-0.1132
1.0911,0.01663,-0.1068
1.1554,0.02294,-0.0984
1.2311,0.03074,-0.092
0.6035,0.00822,-0.123
0.7137,0.00839,-0.1212
0.8215,0.00898,-0.1194
0.9252,0.00988,-0.117
1.0166,0.01186,-0.1128
1.0904,0.01665,-0.1074
1.161,0.02215,-0.0999
1.2389,0.02846,-0.0935
1.3105,0.04031,-0.0861
0.6041,0.00737,-0.1222
0.7135,0.00772,-0.1206
0.8214,0.0084,-0.119
0.9245,0.00942,-0.1168
1.0164,0.01161,-0.1131
1.0929,0.01637,-0.108
1.1715,0.02078,-0.1018
1.2442,0.02689,-0.0949
1.3122,0.03854,-0.0879
0.4705,0.0105,-0.1199
0.6053,0.00992,-0.1231
0.7221,0.00974,-0.1222
