parametro,candidato,viz_mean,viz_median,viz_min,viz_max,viz_std,train_mean,train_std,train_min,train_max,z_global_candidato,z_local_vs_10_vizinhos,diff_vs_media_vizinhos,diff_norm_global_std,fora_intervalo_10_vizinhos,dist_fora_intervalo_vizinhos,dist_fora_intervalo_norm,posicao_relativa_range_treino,score_extremidade
Au6,0.5530857249551885,0.37346583224,0.38913510394999995,0.2382460768,0.5022478205,0.08529796862481019,0.19254452960148147,0.13745759680205036,-0.0100322623,0.8863980473,2.6229266605971175,2.105793322057418,0.17961989271518847,1.3067294707171049,True,0.05083790445518843,0.36984426934510556,0.6281782099787095,2.2398443378752133
Al3,0.1903116367395236,0.03730485294,0.03143924345,-0.0509900393,0.1241635705,0.0530998748648183,-0.03518824684518518,0.13893781006014033,-0.408504886,0.4097093484,1.6230274788921701,2.881490477878684,0.1530067837995236,1.101260943535049,True,0.06614806623952359,0.47609837963395907,0.7318578650475792,1.8640915979835608
Au3,0.1088974898235183,0.28394570159,0.2770440288,0.0906275394,0.4620070612,0.10696268035240702,0.25043900963925925,0.15277124910121762,-0.2684172175,0.9467560714,-0.9264931762256099,-1.636535389630805,-0.1750482117664817,-1.1458190778456268,False,0.0,0.0,0.31050279887658777,1.3774423719020292
Al5,0.1267177077319133,0.04988321399,0.05468935145,-0.0191857525,0.1063401531,0.0414873624128836,-0.022703189568148145,0.10787669607127581,-0.301321948,0.3137969392,1.3851082091106752,1.8519975547554424,0.07683449374191328,0.7122436683743775,True,0.02037755463191329,0.1888967253729158,0.6958649208128449,1.200193264681733
Al4,-0.0927911650613465,-0.008359976039999998,-0.00292271075,-0.0974211579,0.0995254452,0.054617767980330384,-0.05672207661037037,0.11294807605478302,-0.4805413454,0.3090097851,-0.3193422120221119,-1.5458557195481313,-0.08443118902134651,-0.747522153280371,False,0.0,0.0,0.4911020519888338,0.827357706285899
Au5,0.3041097997865785,0.25235168711,0.2451904729,0.1209600197,0.3508317369,0.07461618308106639,0.19283679378666668,0.1188993247702334,-0.30260263,0.5635153474,0.9358590237155757,0.6936580047299676,0.05175811267657848,0.435310400429929,False,0.0,0.0,0.7004962899025244,0.669275156358823
Au4,0.1704721813319897,0.28542782974,0.28421700605,0.1578608954,0.3959333602,0.07973322515207668,0.2015459445985185,0.19140490716412517,-0.2848055352,1.0653918059,-0.16234569806449,-1.4417533993984726,-0.11495564840801034,-0.6005888256012089,False,0.0,0.0,0.3371934625208763,0.6411752501173313
Al6,0.2070270240810233,0.17304718438,0.17745020979999998,0.0515668515,0.3445868398,0.08988709941297825,0.011961608687407407,0.13024187976906546,-0.2458453991,0.6057377337,1.4977165235904946,0.37802799203594245,0.03397983970102331,0.2608979520356559,False,0.0,0.0,0.5318006025929396,0.6353270829332796
Al1,0.0264770405830094,-0.006339885029999999,-0.00258756625,-0.0687326091,0.0823083278,0.04211034288286856,-0.06046167348296297,0.09117538185681723,-0.3149685802,0.2922026774,0.9535327661418719,0.7793079648933486,0.032816925613009404,0.35993186915899567,False,0.0,0.0,0.5623547170738298,0.5983150606944636
Au0,0.2059220587052724,0.19071587512,0.18024838794999998,0.1333383349,0.2516403113,0.03252046141715413,0.17356859640222225,0.052879156117108396,0.1023577963,0.3984621752,0.6118377197888485,0.46758818671777297,0.015206183585272398,0.28756479304617016,False,0.0,0.0,0.34975592995282245,0.4405242229933823
Au1,0.2814915805584815,0.26501487967,0.2736200575,0.110642101,0.3788135332,0.07878686169807658,0.24107703208370368,0.09102433547280724,0.0204400842,0.6996523787,0.4439971823452788,0.2091300571359573,0.01647670088848152,0.18101423979528858,False,0.0,0.0,0.384344480322833,0.2920135353816083
Al0,-0.1086293449753579,-0.11586032563,-0.11800040495,-0.1510210238,-0.0660879997,0.022406805559542976,-0.11628775886296297,0.039898058652903155,-0.2592519048,-0.0514495151,0.19194953704966336,0.3227135896469836,0.007230980654642102,0.18123640344380376,False,0.0,0.0,0.7248355519014616,0.2292237877062196
Al2,-0.0751250191434262,-0.09462607634,-0.09877016825,-0.1413282917,-0.0351475567,0.036259419692234056,-0.08217773751999999,0.09830977663764599,-0.4378000239,0.4401552682,0.07173974570778419,0.5378204439590214,0.0195010571965738,0.19836335574692188,False,0.0,0.0,0.41309051613446474,0.21629829217386792
Au2,0.2118807458934271,0.21961339998999999,0.2017799625,0.1589580571,0.3164281462,0.04851543820584048,0.1699878748177778,0.10460331730090051,-0.1110028143,0.5547370662,0.4004927583237233,-0.15938543240122702,-0.007732654096572894,-0.07392360296116847,False,0.0,0.0,0.4849995766378414,0.1740467925420993
