neighbor_rank,distance_cst_std,perfil,alpha_target,Re_target,CL_pred_no_alpha_candidato,CD_pred_no_alpha_candidato,CM_pred_no_alpha_candidato,CL_CD_pred_no_alpha_candidato,alpha_real_mais_proximo,Re_real_mais_proximo,delta_alpha,delta_Re,CL_real,CD_real,CM_real,CL_CD_real,CL_pred_no_ponto_real,CD_pred_no_ponto_real,CM_pred_no_ponto_real,CL_CD_pred_no_ponto_real,erro_CL_abs_ponto_real,erro_CD_abs_ponto_real,erro_CM_abs_ponto_real,erro_CL_pct_ponto_real,erro_CD_pct_ponto_real,erro_CM_pct_ponto_real
1,2.2490851277676143,sg6043,3.929259622786166,250000.0,1.1578468084335327,0.01118625421077013,-0.1673121154308319,103.50621276948608,4.0,250000.0,0.0707403772138342,0.0,1.1641,0.01099,-0.1678,105.92356687898089,1.1578468084335327,0.01118625421077013,-0.1673121154308319,103.50621276948608,0.006253191566467198,0.0001962542107701304,0.00048788456916809553,0.5371696217221199,1.785752600274162,0.2907536169058972
2,2.853685083163484,sg6042,3.929259622786166,250000.0,0.9485593438148499,0.010159490630030632,-0.11111171543598175,93.36682106984628,4.0,250000.0,0.0707403772138342,0.0,0.94,0.00972,-0.1114,96.70781893004116,0.9485593438148499,0.010159490630030632,-0.11111171543598175,93.36682106984628,0.008559343814849907,0.00043949063003063255,0.00028828456401824853,0.9105684909414795,4.5215085394098,0.2587832711115337
3,2.9947848347334434,hs1712,3.929259622786166,250000.0,1.1351090669631958,0.013168029487133026,-0.15231400728225708,86.20189285514232,4.0,250000.0,0.0707403772138342,0.0,1.1319,0.01303,-0.1527,86.86876438986953,1.1351090669631958,0.013168029487133026,-0.15231400728225708,86.20189285514232,0.0032090669631958946,0.0001380294871330262,0.0003859927177429223,0.2835115260355062,1.0593206994092572,0.2527784661053846
4,2.998528497643009,mh114,3.929259622786166,250000.0,1.2456305027008057,0.012865917757153511,-0.18332833051681519,96.8162960631572,4.0,250000.0,0.0707403772138342,0.0,1.2673,0.01285,-0.1836,98.62256809338521,1.2456305027008057,0.012865917757153511,-0.18332833051681519,96.8162960631572,0.02166949729919443,1.5917757153510737e-05,0.00027166948318482764,1.709894839358828,0.12387359652537538,0.14796812809631135
5,3.146890933855369,e216,3.929259622786166,250000.0,1.1970651149749756,0.011141352355480194,-0.18651826679706573,107.44343027497598,4.0,250000.0,0.0707403772138342,0.0,1.2014,0.01105,-0.1871,108.72398190045249,1.1970651149749756,0.011141352355480194,-0.18651826679706573,107.44343027497598,0.0043348850250244375,9.13523554801933e-05,0.0005817332029342537,0.36081946271220555,0.8267181491420207,0.31092100637854286
6,3.267121703064043,fx63110,3.929259622786166,250000.0,1.0714824199676514,0.011846440844237804,-0.14432381093502045,90.44762338798394,4.0,250000.0,0.0707403772138342,0.0,1.0794,0.01093,-0.1425,98.75571820677034,1.0714824199676514,0.011846440844237804,-0.14432381093502045,90.44762338798394,0.007917580032348548,0.0009164408442378039,0.001823810935020459,0.7335167715720352,8.384637184243402,1.2798673228213748
7,3.513548795444111,a18sm,3.929259622786166,250000.0,0.9159722924232483,0.010322303511202335,-0.11374806612730026,88.7371981873217,4.0,250000.0,0.0707403772138342,0.0,0.9316,0.00991,-0.1151,94.00605449041372,0.9159722924232483,0.010322303511202335,-0.11374806612730026,88.7371981873217,0.015627707576751693,0.00041230351120233495,0.0013519338726997315,1.6775126209480133,4.160479426865136,1.1745733038225297
8,3.7160952400746905,e210,3.929259622786166,250000.0,0.983739972114563,0.011281531304121017,-0.12016323953866959,87.19915280962024,4.0,250000.0,0.0707403772138342,0.0,0.9736,0.01256,-0.1198,77.51592356687898,0.983739972114563,0.011281531304121017,-0.12016323953866959,87.19915280962024,0.010139972114562967,0.0012784686958789825,0.0003632395386695825,1.0414926165327616,10.17889089075623,0.3032049571532408
9,3.8054484818626153,kc135winglet,3.929259622786166,250000.0,0.916530966758728,0.011660139076411724,-0.10523569583892822,78.60377657182971,4.0,250000.0,0.0707403772138342,0.0,0.9021,0.0139,-0.1023,64.89928057553958,0.916530966758728,0.011660139076411724,-0.10523569583892822,78.60377657182971,0.014430966758728014,0.002239860923588275,0.0029356958389282206,1.5997080987393875,16.114107363944424,2.869692902178124
10,3.8168046282511146,s1020,3.929259622786166,250000.0,1.0866185426712036,0.012152542360126972,-0.15246470272541046,89.41491504168272,4.0,250000.0,0.0707403772138342,0.0,1.082,0.01264,-0.153,85.60126582278481,1.0866185426712036,0.012152542360126972,-0.15246470272541046,89.41491504168272,0.0046185426712035405,0.000487457639873028,0.0005352972745895357,0.42685237256964326,3.8564686698815507,0.34986749973172265
