neighbor_rank,distance_cst_std,perfil,Au0,Au1,Au2,Au3,Au4,Au5,Au6,Al0,Al1,Al2,Al3,Al4,Al5,Al6
1,2.2490851277676143,sg6043,0.2000294294,0.2636738551,0.2398608014,0.2714961939,0.3598437707,0.2479676425,0.4377355581,-0.1277234331,0.0823083278,-0.1243490167,0.1241635705,0.0001002731,0.0868283789,0.2001497292
2,2.853685083163484,sg6042,0.1758140293,0.2339796608,0.1812565248,0.2543169317,0.2603365626,0.2424133033,0.3083539225,-0.1270887114,0.0286039693,-0.1413282917,0.0662129488,-0.0915224954,0.0455421137,0.0860153403
3,2.9947848347334434,hs1712,0.2247388399,0.3101625975,0.1896228872,0.3611223082,0.2331704861,0.3414566821,0.4416136494,-0.1510210238,0.0089634946,-0.07051612,0.035946488,-0.0345591564,0.0126852181,0.0572419507
4,2.998528497643009,mh114,0.2516403113,0.3534096772,0.2991754096,0.3559468841,0.3915239285,0.3209343544,0.4270253829,-0.1089120985,0.0122631157,-0.0754132046,0.083674496,0.0344810019,0.0834899648,0.2413184878
5,3.146890933855369,e216,0.1735288969,0.2835662599,0.2008129292,0.2825918637,0.3191495765,0.2301284477,0.5022478205,-0.1058161056,-0.0356445434,-0.0351475567,0.0095076183,0.0995254452,0.0330932601,0.3445868398
6,3.267121703064043,fx63110,0.221821747,0.2046735465,0.3164281462,0.1426198725,0.3959333602,0.1209600197,0.351244825,-0.0992476453,-0.0271676304,-0.1000221134,0.0269319989,0.0099788052,0.0920327747,0.2535704484
7,3.513548795444111,a18sm,0.1333383349,0.1838026549,0.1589580571,0.2322534935,0.1578608954,0.2209657468,0.2382460768,-0.1081593377,0.0046739877,-0.0403964053,0.0938477755,-0.0100171803,0.1063401531,0.0515668515
8,3.7160952400746905,e210,0.1804556916,0.3274249106,0.2027469958,0.3864748677,0.1680257053,0.3041098561,0.3434198089,-0.1351930689,-0.0588178423,-0.129911986,-0.0509900393,0.0117803988,-0.0191857525,0.1293908673
9,3.8054484818626153,kc135winglet,0.1657503866,0.110642101,0.2142681608,0.0906275394,0.2865848769,0.1437490816,0.2457501142,-0.0660879997,-0.0098491202,-0.0975182231,0.0207132847,-0.0974211579,0.0638365892,0.2118806384
10,3.8168046282511146,s1020,0.1800410843,0.3788135332,0.1930040878,0.4620070612,0.2818491352,0.3508317369,0.4390211641,-0.1293538323,-0.0687326091,-0.1316578459,-0.036959612,-0.0059456946,-0.0058305602,0.1547506904
