  
       XFOIL         Version 6.99
  
 Calculated polar for: CST_OPTIMIZED                                   
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.100     Re =     0.250 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.5735   0.01285   0.00455  -0.1288   0.5305   0.2086
   0.250   0.6004   0.01288   0.00461  -0.1285   0.5162   0.2426
   0.500   0.6276   0.01291   0.00469  -0.1283   0.5034   0.2890
   0.750   0.6553   0.01290   0.00479  -0.1282   0.4918   0.3589
   1.000   0.6702   0.01197   0.00509  -0.1253   0.4818   0.8119
   1.250   0.7048   0.01192   0.00506  -0.1262   0.4706   1.0000
   1.500   0.7319   0.01213   0.00512  -0.1259   0.4604   1.0000
   1.750   0.7597   0.01235   0.00522  -0.1257   0.4510   1.0000
   2.000   0.7871   0.01259   0.00531  -0.1254   0.4417   1.0000
   2.250   0.8141   0.01280   0.00544  -0.1251   0.4326   1.0000
   2.500   0.8416   0.01304   0.00556  -0.1249   0.4242   1.0000
   2.750   0.8685   0.01325   0.00572  -0.1245   0.4158   1.0000
   3.000   0.8952   0.01349   0.00586  -0.1241   0.4076   1.0000
   3.250   0.9223   0.01373   0.00604  -0.1238   0.3997   1.0000
   3.500   0.9481   0.01394   0.00619  -0.1233   0.3917   1.0000
   3.750   0.9756   0.01422   0.00641  -0.1231   0.3843   1.0000
   4.000   1.0008   0.01442   0.00659  -0.1224   0.3766   1.0000
   4.250   1.0283   0.01473   0.00681  -0.1223   0.3694   1.0000
   4.500   1.0526   0.01492   0.00703  -0.1214   0.3617   1.0000
   4.750   1.0807   0.01527   0.00725  -0.1214   0.3547   1.0000
   5.000   1.1038   0.01545   0.00750  -0.1203   0.3473   1.0000
   5.250   1.1290   0.01573   0.00771  -0.1197   0.3404   1.0000
   5.500   1.1541   0.01600   0.00801  -0.1190   0.3333   1.0000
   5.750   1.1775   0.01624   0.00825  -0.1180   0.3261   1.0000
   6.000   1.2031   0.01658   0.00854  -0.1175   0.3193   1.0000
   6.250   1.2257   0.01681   0.00883  -0.1164   0.3121   1.0000
   6.500   1.2513   0.01720   0.00912  -0.1159   0.3052   1.0000
   6.750   1.2722   0.01739   0.00943  -0.1144   0.2979   1.0000
   7.000   1.2952   0.01772   0.00972  -0.1135   0.2911   1.0000
   7.250   1.3175   0.01802   0.01009  -0.1123   0.2839   1.0000
   7.500   1.3385   0.01831   0.01038  -0.1109   0.2768   1.0000
   7.750   1.3606   0.01867   0.01076  -0.1098   0.2698   1.0000
   8.000   1.3804   0.01895   0.01110  -0.1082   0.2623   1.0000
   8.250   1.4016   0.01935   0.01149  -0.1069   0.2552   1.0000
   8.500   1.4208   0.01965   0.01186  -0.1052   0.2476   1.0000
   8.750   1.4409   0.02009   0.01229  -0.1038   0.2405   1.0000
   9.000   1.4594   0.02040   0.01271  -0.1020   0.2327   1.0000
   9.250   1.4780   0.02088   0.01316  -0.1004   0.2254   1.0000
   9.500   1.4956   0.02124   0.01363  -0.0985   0.2173   1.0000
   9.750   1.5128   0.02176   0.01415  -0.0966   0.2099   1.0000
  10.000   1.5298   0.02217   0.01466  -0.0947   0.2017   1.0000
  10.250   1.5457   0.02274   0.01525  -0.0927   0.1941   1.0000
  10.500   1.5611   0.02326   0.01584  -0.0906   0.1858   1.0000
  10.750   1.5761   0.02388   0.01651  -0.0884   0.1779   1.0000
  11.000   1.5892   0.02454   0.01720  -0.0861   0.1698   1.0000
  11.250   1.6033   0.02522   0.01798  -0.0839   0.1617   1.0000
  11.500   1.6128   0.02613   0.01885  -0.0812   0.1540   1.0000
  11.750   1.6263   0.02683   0.01970  -0.0790   0.1457   1.0000
  12.000   1.6342   0.02788   0.02075  -0.0761   0.1386   1.0000
