alpha,CL,CD,CDp,CM,CL_CD
0.25,0.5759,0.01287,0.00492,-0.1252,44.74747474747475
0.5,0.5906,0.01204,0.0052,-0.1219,49.053156146179404
0.75,0.6269,0.012,0.00514,-0.1233,52.24166666666667
1.0,0.6563,0.01224,0.0052,-0.1235,53.619281045751634
1.25,0.6839,0.01243,0.00527,-0.1232,55.02011263073209
1.5,0.7131,0.01268,0.00537,-0.1233,56.23817034700315
1.75,0.74,0.01286,0.00546,-0.1229,57.54276827371695
2.0,0.7705,0.01316,0.00559,-0.1233,58.548632218844986
2.25,0.7965,0.01332,0.00572,-0.1228,59.7972972972973
2.5,0.825,0.01357,0.00586,-0.1228,60.79587324981576
2.75,0.8527,0.01379,0.00603,-0.1226,61.8346627991298
3.0,0.8795,0.014,0.00618,-0.1222,62.82142857142857
3.25,0.9093,0.01431,0.00638,-0.1225,63.542976939203356
3.5,0.9345,0.01448,0.00657,-0.1218,64.53729281767956
3.75,0.9621,0.01474,0.00674,-0.1216,65.27137042062415
4.0,0.9897,0.01501,0.00698,-0.1215,65.93604263824118
4.25,1.0149,0.01521,0.00719,-0.1208,66.7258382642998
4.5,1.0448,0.01557,0.00742,-0.1212,67.10340398201669
4.75,1.0686,0.01576,0.00767,-0.1202,67.80456852791879
5.0,1.0935,0.01598,0.00788,-0.1194,68.42928660826031
5.25,1.1222,0.01634,0.00818,-0.1196,68.6780905752754
5.5,1.1455,0.01654,0.00844,-0.1185,69.25634824667473
5.75,1.1701,0.0168,0.00866,-0.1178,69.64880952380952
6.0,1.1963,0.01713,0.009,-0.1174,69.83654407472271
6.25,1.219,0.01735,0.00927,-0.1162,70.25936599423632
6.5,1.2447,0.01769,0.00954,-0.1158,70.36178631995477
6.75,1.2674,0.01796,0.0099,-0.1146,70.56792873051225
7.0,1.2893,0.0182,0.01016,-0.1134,70.84065934065933
7.25,1.3143,0.01859,0.01051,-0.1128,70.69930069930071
7.5,1.3343,0.0188,0.01084,-0.1112,70.97340425531915
7.75,1.3563,0.01911,0.01112,-0.11,70.97331240188385
8.0,1.3775,0.01943,0.01152,-0.1086,70.8955223880597
8.25,1.3971,0.01969,0.01182,-0.107,70.95479939055359
8.5,1.4186,0.02009,0.01222,-0.1058,70.61224489795919
8.75,1.4374,0.02037,0.01261,-0.104,70.5645557191949
9.0,1.4578,0.02082,0.01299,-0.1027,70.01921229586935
9.25,1.4758,0.0211,0.01344,-0.1007,69.9431279620853
9.5,1.4937,0.02151,0.01383,-0.0989,69.442119944212
9.75,1.5117,0.02189,0.01434,-0.0971,69.05893101873002
10.0,1.5282,0.02234,0.01479,-0.0951,68.40644583706357
10.25,1.5455,0.02278,0.01535,-0.0932,67.84460052677788
10.5,1.5607,0.02333,0.01589,-0.0911,66.89669952850407
10.75,1.5769,0.02382,0.01651,-0.0891,66.20067170445004
11.0,1.59,0.02453,0.01719,-0.0867,64.81858948226662
11.25,1.6055,0.02506,0.01787,-0.0846,64.06624102154828
11.5,1.6172,0.02586,0.01868,-0.0821,62.53673627223511
11.75,1.6298,0.02657,0.01949,-0.0798,61.33985698155814
12.0,1.6404,0.02748,0.02047,-0.0772,59.69432314410481
