alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr,CL_CD,CL_ML,CD_ML,CM_ML,CL_CD_ML,erro_CL_pct,erro_CD_pct,erro_CM_pct,erro_CL_CD_pct
0.0,0.5591,0.01345,0.00532,-0.1345,0.4033,0.5226,41.56877323420075,0.8744021654129028,0.008027414791285992,-0.1880641132593155,108.92699432475989,56.39459227560415,40.31661865214876,39.82461952365463,162.04043528313727
0.25,0.5735,0.01289,0.00562,-0.1309,0.3985,0.8413,44.49185415050427,0.8744021654129028,0.008027414791285992,-0.1880641132593155,108.92699432475989,52.467683594228916,37.72370216224987,43.67006360528305,144.82457835155273
0.5,0.6001,0.01272,0.00552,-0.13,0.3931,1.0,47.17767295597484,0.988883912563324,0.007902209646999836,-0.18984825909137726,125.14017682873866,64.78652100705283,37.87571032232833,46.037122377982506,165.25296604925109
0.75,0.6321,0.01296,0.00559,-0.1307,0.3881,1.0,48.77314814814815,0.988883912563324,0.007902209646999836,-0.18984825909137726,125.14017682873866,56.44421967462806,39.0261601311741,45.25498017702926,156.57596767923636
1.0,0.6634,0.01319,0.00572,-0.1312,0.3828,1.0,50.29567854435178,0.988883912563324,0.007902209646999836,-0.18984825909137726,125.14017682873866,49.06299556275611,40.089388574679035,44.701416990378995,148.8090039751376
1.25,0.6923,0.01336,0.00581,-0.1312,0.3772,1.0,51.8188622754491,0.988883912563324,0.007902209646999836,-0.18984825909137726,125.14017682873866,42.84037448552996,40.85172419910303,44.701416990378995,141.4954156336774
1.5,0.7233,0.0136,0.00593,-0.1317,0.3725,1.0,53.183823529411775,1.1034659147262573,0.0078281220048666,-0.1889776885509491,140.96176759128852,52.559921847954826,42.44027937598088,43.491031549695585,165.0463209237555
1.75,0.7558,0.0139,0.00613,-0.1325,0.3679,1.0,54.37410071942447,1.1034659147262573,0.0078281220048666,-0.1889776885509491,140.96176759128852,45.999724097149674,43.68257550455683,42.62467060448988,159.24431986225326
2.0,0.7839,0.01408,0.00629,-0.1324,0.3628,1.0,55.67471590909091,1.1034659147262573,0.0078281220048666,-0.1889776885509491,140.96176759128852,40.76615827608844,44.402542579072446,42.732393165369416,153.1881219141909
2.25,0.8128,0.01429,0.00643,-0.1324,0.358,1.0,56.87893631910426,1.1034659147262573,0.0078281220048666,-0.1889776885509491,140.96176759128852,35.76106234328954,45.21958009190623,42.732393165369416,147.82771393694796
2.5,0.8455,0.01465,0.00665,-0.1333,0.3536,1.0,57.713310580204784,1.2030253410339355,0.00796302780508995,-0.1863563358783722,151.07637075748553,42.285670140027854,45.644861398703405,39.80220245939399,161.77041177967627
2.75,0.8726,0.01482,0.00687,-0.133,0.3491,1.0,58.87989203778678,1.2030253410339355,0.00796302780508995,-0.1863563358783722,151.07637075748553,37.866759229192695,46.268368386707486,40.117545773212164,156.58398058972443
3.0,0.9008,0.01504,0.00706,-0.1328,0.3445,1.0,59.8936170212766,1.2030253410339355,0.00796302780508995,-0.1863563358783722,151.07637075748553,33.550770541067436,47.05433640232746,40.328566173473035,152.24118741036662
3.25,0.9297,0.01528,0.00724,-0.1329,0.3402,1.0,60.84424083769633,1.2030253410339355,0.00796302780508995,-0.1863563358783722,151.07637075748553,29.399305263411378,47.885943683966296,40.22297658267284,148.30019846986974
3.5,0.9599,0.01562,0.00753,-0.1333,0.3359,1.0,61.45326504481434,1.3799083232879639,0.008570398204028606,-0.18267415463924408,161.00865915883855,43.75542486591978,45.13189370020098,37.03987594842016,162.00179769361998
3.75,0.987,0.01583,0.00779,-0.1329,0.3313,1.0,62.34996841440303,1.3799083232879639,0.008570398204028606,-0.18267415463924408,161.00865915883855,39.80834075865896,45.85977129482877,37.45233607166598,158.23374614837024
4.0,1.0147,0.01606,0.00802,-0.1327,0.327,1.0,63.18181818181817,1.3799083232879639,0.008570398204028606,-0.18267415463924408,161.00865915883855,35.991753551588054,46.635129489236576,37.65949859777246,154.8338490283776
4.25,1.0441,0.01637,0.00824,-0.1329,0.3229,1.0,63.78130726939524,1.3799083232879639,0.008570398204028606,-0.18267415463924408,161.00865915883855,32.16246751153758,47.64570431259251,37.45233607166598,152.4386313983514
4.5,1.0716,0.01666,0.00859,-0.1327,0.3185,1.0,64.3217286914766,1.507140040397644,0.010098719969391823,-0.17912667989730835,149.2407003031701,40.643900746327354,39.383433557071896,34.986194346125345,132.02221603684336
4.75,1.0985,0.01691,0.0089,-0.1323,0.314,1.0,64.96156120638675,1.507140040397644,0.010098719969391823,-0.17912667989730835,149.2407003031701,37.199821611073645,40.27959805208857,35.394315870981366,129.73693601516672
5.0,1.1255,0.01715,0.00912,-0.132,0.3098,1.0,65.6268221574344,1.507140040397644,0.010098719969391823,-0.17912667989730835,149.2407003031701,33.90848870703191,41.11533545544126,35.702030225233585,127.4080862016319
5.25,1.1557,0.01757,0.00947,-0.1324,0.3058,1.0,65.77689243027889,1.507140040397644,0.010098719969391823,-0.17912667989730835,149.2407003031701,30.409279259119504,42.522936998339084,35.292054303102994,126.88925364079762
5.5,1.1802,0.01778,0.00982,-0.1315,0.3012,1.0,66.37795275590551,1.6162625551223755,0.01173357293009758,-0.17540784180164337,137.7468367692614,36.94819141860495,34.006901405525426,33.389993765508265,107.51895930837719
5.75,1.2057,0.018,0.0101,-0.1308,0.2965,1.0,66.98333333333333,1.6162625551223755,0.01173357293009758,-0.17540784180164337,137.7468367692614,34.05180020920424,34.81348372168011,34.10385458841236,105.64344877222402
6.0,1.2327,0.01828,0.01033,-0.1305,0.2924,1.0,67.4343544857768,1.6162625551223755,0.01173357293009758,-0.17540784180164337,137.7468367692614,31.11564493570014,35.81196427736554,34.41213931160411,104.26804381780633
6.25,1.259,0.01863,0.01075,-0.1301,0.2878,1.0,67.57917337627482,1.6162625551223755,0.01173357293009758,-0.17540784180164337,137.7468367692614,28.376692225764543,37.01785866828997,34.82539723416093,103.83030730828752
6.5,1.2828,0.01883,0.01107,-0.1291,0.2826,1.0,68.12533191715347,1.6387451887130737,0.014170168898999691,-0.17160733044147491,115.64754099922952,27.74752016784174,24.746845995753098,32.9258949972695,69.75703126095198
6.75,1.307,0.019,0.01122,-0.1282,0.2777,1.0,68.78947368421052,1.6387451887130737,0.014170168898999691,-0.17160733044147491,115.64754099922952,25.382187353716432,25.42016368947531,33.85907210723471,68.11807796368485
7.0,1.3305,0.01925,0.01153,-0.1271,0.272,1.0,69.11688311688312,1.6387451887130737,0.014170168898999691,-0.17160733044147491,115.64754099922952,23.167620346717303,26.388732992209395,35.01756919077492,67.32169592147075
7.25,1.3512,0.01931,0.01168,-0.1255,0.2656,1.0,69.97410668047644,1.6387451887130737,0.014170168898999691,-0.17160733044147491,115.64754099922952,21.280727406236956,26.61745779906944,36.7389087183067,65.2719076891002
7.5,1.3748,0.01953,0.01182,-0.1245,0.2598,1.0,70.39426523297492,1.6545604467391968,0.017186960205435753,-0.16877320408821106,96.26835850913915,20.349174188187135,11.997131564589074,35.56080649655507,36.75596753589521
7.75,1.3943,0.01962,0.01211,-0.1226,0.2533,1.0,71.0652395514781,1.6545604467391968,0.017186960205435753,-0.16877320408821106,96.26835850913915,18.666029315010878,12.400814447320315,37.66166728239075,35.464763246740986
8.0,1.4152,0.01975,0.01225,-0.121,0.2473,1.0,71.65569620253164,1.6545604467391968,0.017186960205435753,-0.16877320408821106,96.26835850913915,16.913542025098696,12.977416681337962,39.48198684976121,34.348507670682466
8.25,1.4365,0.01998,0.01259,-0.1196,0.2407,1.0,71.89689689689689,1.6545604467391968,0.017186960205435753,-0.16877320408821106,96.26835850913915,15.179982369592526,13.979178150972212,41.11471913730022,33.897793457194595
8.5,1.4557,0.02009,0.01279,-0.1177,0.234,1.0,72.45893479342956,1.6917641162872314,0.02057899720966816,-0.16380946338176727,82.20828736457716,16.216536119202544,2.4340329002894934,39.17541493778018,13.455003994940938
8.75,1.4757,0.02032,0.01308,-0.116,0.2271,1.0,72.62303149606299,1.6917641162872314,0.02057899720966816,-0.16380946338176727,82.20828736457716,14.641466171120921,1.2745925672645582,41.215054639454536,13.198644660039838
9.0,1.4942,0.02048,0.01333,-0.114,0.2192,1.0,72.95898437499999,1.6917641162872314,0.02057899720966816,-0.16380946338176727,82.20828736457716,13.222066409264588,0.48338481283280177,43.69251173839234,12.677400965502649
