alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr,CL_CD
0.0,0.5591,0.01345,0.00532,-0.1345,0.4033,0.5226,41.56877323420075
0.25,0.5735,0.01289,0.00562,-0.1309,0.3985,0.8413,44.49185415050427
0.5,0.6001,0.01272,0.00552,-0.13,0.3931,1.0,47.17767295597484
0.75,0.6321,0.01296,0.00559,-0.1307,0.3881,1.0,48.77314814814815
1.0,0.6634,0.01319,0.00572,-0.1312,0.3828,1.0,50.29567854435178
1.25,0.6923,0.01336,0.00581,-0.1312,0.3772,1.0,51.8188622754491
1.5,0.7233,0.0136,0.00593,-0.1317,0.3725,1.0,53.183823529411775
1.75,0.7558,0.0139,0.00613,-0.1325,0.3679,1.0,54.37410071942447
2.0,0.7839,0.01408,0.00629,-0.1324,0.3628,1.0,55.67471590909091
2.25,0.8128,0.01429,0.00643,-0.1324,0.358,1.0,56.87893631910426
2.5,0.8455,0.01465,0.00665,-0.1333,0.3536,1.0,57.713310580204784
2.75,0.8726,0.01482,0.00687,-0.133,0.3491,1.0,58.87989203778678
3.0,0.9008,0.01504,0.00706,-0.1328,0.3445,1.0,59.8936170212766
3.25,0.9297,0.01528,0.00724,-0.1329,0.3402,1.0,60.84424083769633
3.5,0.9599,0.01562,0.00753,-0.1333,0.3359,1.0,61.45326504481434
3.75,0.987,0.01583,0.00779,-0.1329,0.3313,1.0,62.34996841440303
4.0,1.0147,0.01606,0.00802,-0.1327,0.327,1.0,63.18181818181817
4.25,1.0441,0.01637,0.00824,-0.1329,0.3229,1.0,63.78130726939524
4.5,1.0716,0.01666,0.00859,-0.1327,0.3185,1.0,64.3217286914766
4.75,1.0985,0.01691,0.0089,-0.1323,0.314,1.0,64.96156120638675
5.0,1.1255,0.01715,0.00912,-0.132,0.3098,1.0,65.6268221574344
5.25,1.1557,0.01757,0.00947,-0.1324,0.3058,1.0,65.77689243027889
5.5,1.1802,0.01778,0.00982,-0.1315,0.3012,1.0,66.37795275590551
5.75,1.2057,0.018,0.0101,-0.1308,0.2965,1.0,66.98333333333333
6.0,1.2327,0.01828,0.01033,-0.1305,0.2924,1.0,67.4343544857768
6.25,1.259,0.01863,0.01075,-0.1301,0.2878,1.0,67.57917337627482
6.5,1.2828,0.01883,0.01107,-0.1291,0.2826,1.0,68.12533191715347
6.75,1.307,0.019,0.01122,-0.1282,0.2777,1.0,68.78947368421052
7.0,1.3305,0.01925,0.01153,-0.1271,0.272,1.0,69.11688311688312
7.25,1.3512,0.01931,0.01168,-0.1255,0.2656,1.0,69.97410668047644
7.5,1.3748,0.01953,0.01182,-0.1245,0.2598,1.0,70.39426523297492
7.75,1.3943,0.01962,0.01211,-0.1226,0.2533,1.0,71.0652395514781
8.0,1.4152,0.01975,0.01225,-0.121,0.2473,1.0,71.65569620253164
8.25,1.4365,0.01998,0.01259,-0.1196,0.2407,1.0,71.89689689689689
8.5,1.4557,0.02009,0.01279,-0.1177,0.234,1.0,72.45893479342956
8.75,1.4757,0.02032,0.01308,-0.116,0.2271,1.0,72.62303149606299
9.0,1.4942,0.02048,0.01333,-0.114,0.2192,1.0,72.95898437499999
9.25,1.5135,0.02072,0.01368,-0.1122,0.2108,1.0,73.0453667953668
9.5,1.5314,0.02099,0.01395,-0.1102,0.2019,1.0,72.95855169128156
9.75,1.551,0.02125,0.01436,-0.1085,0.1905,1.0,72.98823529411764
10.0,1.5698,0.02162,0.01479,-0.1067,0.1774,1.0,72.60869565217392
10.25,1.5876,0.02214,0.01533,-0.1049,0.1612,1.0,71.70731707317073
10.5,1.6048,0.02287,0.01607,-0.1031,0.1404,1.0,70.17052907739397
10.75,1.6179,0.02402,0.01713,-0.1007,0.1174,1.0,67.35636969192339
11.0,1.6284,0.02539,0.01844,-0.098,0.0984,1.0,64.13548641197322
11.25,1.6365,0.0268,0.01985,-0.0949,0.086,1.0,61.0634328358209
11.5,1.6429,0.02822,0.02133,-0.0915,0.0775,1.0,58.21757618710135
11.75,1.645,0.02985,0.02297,-0.0876,0.0712,1.0,55.108877721943045
12.0,1.6519,0.03113,0.0244,-0.0844,0.066,1.0,53.06456794089303
