  
       XFOIL         Version 6.99
  
 Calculated polar for: Candidato_14                                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.100     Re =     0.250 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.5591   0.01345   0.00532  -0.1345   0.4033   0.5226
   0.250   0.5735   0.01289   0.00562  -0.1309   0.3985   0.8413
   0.500   0.6001   0.01272   0.00552  -0.1300   0.3931   1.0000
   0.750   0.6321   0.01296   0.00559  -0.1307   0.3881   1.0000
   1.000   0.6634   0.01319   0.00572  -0.1312   0.3828   1.0000
   1.250   0.6923   0.01336   0.00581  -0.1312   0.3772   1.0000
   1.500   0.7233   0.01360   0.00593  -0.1317   0.3725   1.0000
   1.750   0.7558   0.01390   0.00613  -0.1325   0.3679   1.0000
   2.000   0.7839   0.01408   0.00629  -0.1324   0.3628   1.0000
   2.250   0.8128   0.01429   0.00643  -0.1324   0.3580   1.0000
   2.500   0.8455   0.01465   0.00665  -0.1333   0.3536   1.0000
   2.750   0.8726   0.01482   0.00687  -0.1330   0.3491   1.0000
   3.000   0.9008   0.01504   0.00706  -0.1328   0.3445   1.0000
   3.250   0.9297   0.01528   0.00724  -0.1329   0.3402   1.0000
   3.500   0.9599   0.01562   0.00753  -0.1333   0.3359   1.0000
   3.750   0.9870   0.01583   0.00779  -0.1329   0.3313   1.0000
   4.000   1.0147   0.01606   0.00802  -0.1327   0.3270   1.0000
   4.250   1.0441   0.01637   0.00824  -0.1329   0.3229   1.0000
   4.500   1.0716   0.01666   0.00859  -0.1327   0.3185   1.0000
   4.750   1.0985   0.01691   0.00890  -0.1323   0.3140   1.0000
   5.000   1.1255   0.01715   0.00912  -0.1320   0.3098   1.0000
   5.250   1.1557   0.01757   0.00947  -0.1324   0.3058   1.0000
   5.500   1.1802   0.01778   0.00982  -0.1315   0.3012   1.0000
   5.750   1.2057   0.01800   0.01010  -0.1308   0.2965   1.0000
   6.000   1.2327   0.01828   0.01033  -0.1305   0.2924   1.0000
   6.250   1.2590   0.01863   0.01075  -0.1301   0.2878   1.0000
   6.500   1.2828   0.01883   0.01107  -0.1291   0.2826   1.0000
   6.750   1.3070   0.01900   0.01122  -0.1282   0.2777   1.0000
   7.000   1.3305   0.01925   0.01153  -0.1271   0.2720   1.0000
   7.250   1.3512   0.01931   0.01168  -0.1255   0.2656   1.0000
   7.500   1.3748   0.01953   0.01182  -0.1245   0.2598   1.0000
   7.750   1.3943   0.01962   0.01211  -0.1226   0.2533   1.0000
   8.000   1.4152   0.01975   0.01225  -0.1210   0.2473   1.0000
   8.250   1.4365   0.01998   0.01259  -0.1196   0.2407   1.0000
   8.500   1.4557   0.02009   0.01279  -0.1177   0.2340   1.0000
   8.750   1.4757   0.02032   0.01308  -0.1160   0.2271   1.0000
   9.000   1.4942   0.02048   0.01333  -0.1140   0.2192   1.0000
   9.250   1.5135   0.02072   0.01368  -0.1122   0.2108   1.0000
   9.500   1.5314   0.02099   0.01395  -0.1102   0.2019   1.0000
   9.750   1.5510   0.02125   0.01436  -0.1085   0.1905   1.0000
  10.000   1.5698   0.02162   0.01479  -0.1067   0.1774   1.0000
  10.250   1.5876   0.02214   0.01533  -0.1049   0.1612   1.0000
  10.500   1.6048   0.02287   0.01607  -0.1031   0.1404   1.0000
  10.750   1.6179   0.02402   0.01713  -0.1007   0.1174   1.0000
  11.000   1.6284   0.02539   0.01844  -0.0980   0.0984   1.0000
  11.250   1.6365   0.02680   0.01985  -0.0949   0.0860   1.0000
  11.500   1.6429   0.02822   0.02133  -0.0915   0.0775   1.0000
  11.750   1.6450   0.02985   0.02297  -0.0876   0.0712   1.0000
  12.000   1.6519   0.03113   0.02440  -0.0844   0.0660   1.0000
