rank_xfoil,candidate_id,origin_seed,Au0,Au1,Au2,Au3,Au4,Au5,Au6,Al0,Al1,Al2,Al3,Al4,Al5,Al6,Re,alpha_pred_opt,CL_pred_opt,CD_pred_opt,CM_pred_opt,CL_CD_pred_opt,distance_soft_penalty,optimization_score,fps_min_distance_to_selected,distance_to_train,max_thickness,upper_curvature_inversions,lower_curvature_inversions,upper_kappa_abs_p99,lower_kappa_abs_p99,upper_kappa_total_variation,lower_kappa_total_variation,xfoil_converged,alpha_xfoil_opt,CL_xfoil_opt,CD_xfoil_opt,CM_xfoil_opt,CL_CD_xfoil_opt,n_xfoil_points,xfoil_polar_sufficient,alpha_pred_at_xfoil_opt,CL_pred_at_xfoil_opt,CD_pred_at_xfoil_opt,CM_pred_at_xfoil_opt,CL_CD_pred_at_xfoil_opt,delta_alpha_opt_deg,erro_CL_CD_max_pct,erro_CL_no_alpha_xfoil_pct,erro_CD_no_alpha_xfoil_pct
1,18,42,0.15715503862581331,0.2188402811497278,0.24432272817024067,0.28022214103460585,0.2201895221267205,0.21855701773443365,0.342696402573838,-0.08967781390841806,-0.035864029000004446,-0.05278486970774671,-0.06807498728767963,-0.04369195525421621,0.034010529866528694,0.07648377344526056,250000.0,6.0,1.0890008211135864,0.012133067473769188,-0.09818047285079956,89.75478158906866,0.0,-0.012133067473769188,3.2143850965598486,1.8167352412433158,0.11146709479422842,0,1,5.232985076809391,5.189341544378505,9.471267451746742,9.749597717098426,True,6.0,1.1076,0.01213,-0.102,91.31079967023906,49.0,True,6.0,1.0890008211135864,0.012133067473769188,-0.09818047285079956,89.75478158906866,0.0,1.704089863181387,1.6792324743963067,0.025288324560492747
2,8,42,0.14478723295172802,0.22078930732331106,0.0820316686857663,0.34180336644936027,0.013549091948327485,0.40318499066204344,-0.008974358823983786,-0.08893922491561779,0.05285966384131478,-0.08691725813566932,-0.12642983364486957,-0.06731415932027784,-0.12098100084771797,-0.05806863343535146,250000.0,6.0,0.8286755681037903,0.012261593714356422,-0.03750104457139969,67.5830228442115,0.0,-0.012261593714356422,3.9696708276173505,2.319077169148466,0.0979942764857667,1,3,5.625296717491742,5.641502249992409,12.43014517891012,13.076409473039096,True,6.0,0.8605,0.01249,-0.029,68.8951160928743,49.0,True,6.0,0.8286755681037903,0.012261593714356422,-0.03750104457139969,67.5830228442115,0.0,1.9044793347819213,3.698365124486898,1.8287132557532182
3,13,42,0.15110153703880747,0.2292178573945621,0.07711424703007147,0.29004258078317846,0.07879465592649332,0.1660300221550249,0.07000946228322025,-0.11221652235399052,-0.1536636662233535,-0.05597756174881855,-0.07361958038555629,-0.043985007610314424,-0.20482040369122756,-0.11920630767978038,250000.0,6.0,0.7671021223068237,0.01212448813021183,-0.0077086458913981915,63.26882537790249,0.0,-0.01212448813021183,3.3987312088100694,1.6912385043790223,0.10364245268300915,1,3,5.838330671006205,5.224356015843202,9.5470123542651,10.277472882717374,True,6.0,0.8388,0.01329,-0.0219,63.11512415349887,49.0,True,6.0,0.7671021223068237,0.01212448813021183,-0.0077086458913981915,63.26882537790249,0.0,0.24352518744922486,8.547672590984295,8.769841006682991
4,1,42,0.154344086767031,0.2363177658798788,0.10233044815935768,0.10873644607456218,0.22284021226096995,0.07961362968760097,-0.019328249532806763,-0.11281789798882161,-0.027427788206842475,-0.051933804892772294,0.01081239249535209,-0.05401170925954065,0.031619422930592944,-0.04510210633565692,250000.0,6.0,0.930425763130188,0.011428391560912132,-0.024025803431868553,81.41353559432366,0.0,-0.011428391560912132,,1.6772634338599848,0.08016016141905591,1,2,5.830468171775235,6.725939943191677,10.538615861367122,11.893895224585924,True,6.0,0.8314,0.01356,-0.0177,61.31268436578171,48.0,True,6.0,0.930425763130188,0.011428391560912132,-0.024025803431868553,81.41353559432366,0.0,32.78416438044609,11.910724456361313,15.719826246960672
5,17,42,0.16868779563400033,0.21974520147433155,0.12265109350968059,0.23014962007944406,0.053932006840637814,0.1021284066497036,-0.004558995261236487,-0.10207362696961275,-0.27871855055895683,-0.17325685711985378,-0.03849279899980285,-0.05532092913990553,0.031774775337589135,-0.11572666596278436,250000.0,6.0,0.7781479358673096,0.012265856377780437,-0.010171188041567802,63.44016364621081,0.0,-0.012265856377780437,3.2171147051294455,2.4530241874549685,0.13236007175974568,1,2,6.416109420854203,2.8183006155507364,10.544194216700458,7.512567391983165,True,6.0,0.7103,0.01389,-0.0037,51.137508999280065,49.0,True,6.0,0.7781479358673096,0.012265856377780437,-0.010171188041567802,63.44016364621081,0.0,24.057985787113623,9.552011244165778,11.692898648089
6,20,42,0.16872524578834647,0.24730235157407443,0.1797166317318194,0.058238618101997375,0.16313057154698202,-0.11488280768924358,0.3731220084263583,-0.11114629055080189,0.09518624190865185,-0.04900274476048747,0.07490182101761468,-0.04585221435730583,0.07828749207815748,-0.13837111535152175,250000.0,6.0,1.060692548751831,0.012255845591425896,-0.06314770132303238,86.54584792532668,0.0,-0.012255845591425896,3.0753477254800576,2.951162836795666,0.06861855431885926,2,2,5.81711308935195,7.840776566682941,14.124947765435184,16.782576952733425,True,6.0,0.9828,0.01483,-0.0402,66.27107215104517,49.0,True,6.0,1.060692548751831,0.012255845591425896,-0.06314770132303238,86.54584792532668,0.0,30.593704185245706,7.92557476107357,17.357750563547565
7,6,42,0.15071850923761826,0.2576044854853261,-0.057136820375685377,0.17273785029521363,0.1545310855953257,-0.3045628181320804,0.22351596389887296,-0.10375628647075022,-0.011289933702934317,-0.06953698215632613,-0.017453019167834948,-0.03527339270367312,-0.019253194164600154,-0.08936582352967168,250000.0,6.0,0.977923572063446,0.012233104556798935,-0.038671307265758514,79.94075155026236,0.0,-0.012233104556798935,4.065915000869152,4.110657967850239,0.07061120430992064,2,2,6.323625901492251,6.2056208339741925,16.524769867296193,11.333468081523913,True,6.0,0.73,0.01512,0.0153,48.28042328042328,48.0,True,6.0,0.977923572063446,0.012233104556798935,-0.038671307265758514,79.94075155026236,0.0,65.57591279999548,33.96213315937617,19.09322383069487
8,14,42,0.16034723288080482,0.19896728039626438,0.09497844935796428,0.0299342660293776,-0.17056545167045833,0.26848640908941956,0.33685675679026517,-0.13581894494590893,0.0004713630977599692,-0.07768682406215524,0.043970545607612405,-0.035660487435538776,0.04744899707590902,0.17623927972090758,250000.0,6.0,1.1717803478240967,0.012272102758288383,-0.10750998556613922,95.48325750716965,0.0,-0.012272102758288383,3.370314403999222,2.79250349031178,0.07247657589098333,2,1,6.662236847281814,8.220730309595968,14.903013599070896,14.884391642156002,True,6.0,0.9834,0.01521,-0.0687,64.65483234714004,48.0,True,6.0,1.1717803478240967,0.012272102758288383,-0.10750998556613922,95.48325750716965,0.0,47.68154837136977,19.156024793989896,19.315563719340016
9,16,42,0.1534974119411301,0.20930050708292244,-0.007523146671741282,0.12125225989410071,0.25343542174887523,0.0459818186026595,0.24508995464953362,-0.12089072948486748,-0.0034026566095802513,-0.0850786111997961,0.2137146675617047,-0.09598771188303705,0.030186837365213944,0.1988991421215306,250000.0,6.0,1.1312596797943115,0.012280970811843872,-0.09752115607261658,92.11484149960809,0.0,-0.012280970811843872,3.3306210554053286,2.8242147852297146,0.06631430782497925,2,3,6.8124282558495795,7.372464497169267,13.152104229855105,15.631280186920801,True,6.0,1.0266,0.01612,-0.0824,63.684863523573206,49.0,True,6.0,1.1312596797943115,0.012280970811843872,-0.09752115607261658,92.11484149960809,0.0,44.64165643616621,10.194786654423492,23.815317544392848
10,5,42,0.1558053978111194,0.22495851582712054,0.08688305758564595,0.41505903534027433,0.0242737570079406,0.41783035386737655,-0.010201652256386695,-0.09946148612668124,-0.39407986281919294,-0.10567771300824272,-0.06099260362819187,-0.08581785002087794,0.062261626928232866,-0.04447900810562519,250000.0,6.0,0.7641952633857727,0.012101571075618267,-0.03404464200139046,63.14843408435132,0.0,-0.012101571075618267,4.221151018645783,4.14590552732542,0.1466280638682389,1,2,5.951232555530317,3.2483010638288707,13.120419572100145,7.235208744191985,True,6.0,0.8311,0.01618,-0.0607,51.36588380716934,45.0,True,6.0,0.7641952633857727,0.012101571075618267,-0.03404464200139046,63.14843408435132,0.0,22.938474730454157,8.050142776347883,25.206606454769673
