  
       XFOIL         Version 6.99
  
 Calculated polar for: CST_OPTIMIZED                                   
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.100     Re =     0.250 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.3761   0.01238   0.00580  -0.0737   0.4791   0.9003
   0.250   0.4174   0.01230   0.00580  -0.0760   0.4754   1.0000
   0.500   0.4453   0.01245   0.00589  -0.0759   0.4721   1.0000
   0.750   0.4734   0.01260   0.00597  -0.0758   0.4693   1.0000
   1.000   0.5017   0.01275   0.00603  -0.0758   0.4670   1.0000
   1.250   0.5301   0.01294   0.00612  -0.0757   0.4649   1.0000
   1.500   0.5582   0.01320   0.00631  -0.0756   0.4626   1.0000
   1.750   0.5855   0.01339   0.00655  -0.0754   0.4594   1.0000
   2.000   0.6131   0.01359   0.00675  -0.0752   0.4562   1.0000
   2.250   0.6410   0.01377   0.00692  -0.0751   0.4536   1.0000
   2.500   0.6690   0.01396   0.00707  -0.0750   0.4514   1.0000
   2.750   0.6972   0.01417   0.00723  -0.0748   0.4494   1.0000
   3.000   0.7252   0.01449   0.00751  -0.0747   0.4474   1.0000
   3.250   0.7517   0.01477   0.00790  -0.0744   0.4442   1.0000
   3.500   0.7788   0.01502   0.00821  -0.0742   0.4411   1.0000
   3.750   0.8062   0.01527   0.00848  -0.0739   0.4385   1.0000
   4.000   0.8339   0.01550   0.00874  -0.0737   0.4364   1.0000
   4.250   0.8617   0.01574   0.00897  -0.0736   0.4345   1.0000
   4.500   0.8897   0.01606   0.00927  -0.0735   0.4327   1.0000
   4.750   0.9151   0.01647   0.00984  -0.0730   0.4296   1.0000
   5.000   0.9412   0.01684   0.01033  -0.0726   0.4264   1.0000
   5.250   0.9686   0.01692   0.01045  -0.0723   0.4227   1.0000
   5.500   0.9987   0.01648   0.00987  -0.0722   0.4180   1.0000
   5.750   1.0241   0.01646   0.00998  -0.0715   0.4113   1.0000
   6.000   1.0521   0.01620   0.00972  -0.0711   0.4058   1.0000
   6.250   1.0803   0.01605   0.00952  -0.0708   0.4008   1.0000
   6.500   1.1058   0.01592   0.00955  -0.0701   0.3934   1.0000
   6.750   1.1342   0.01563   0.00917  -0.0697   0.3874   1.0000
   7.000   1.1593   0.01548   0.00922  -0.0689   0.3783   1.0000
   7.250   1.1858   0.01523   0.00901  -0.0683   0.3692   1.0000
   7.500   1.2115   0.01495   0.00879  -0.0675   0.3556   1.0000
   7.750   1.2366   0.01475   0.00871  -0.0666   0.3325   1.0000
   8.000   1.2504   0.01562   0.00904  -0.0645   0.2163   1.0000
   8.250   1.2429   0.01942   0.01205  -0.0608   0.0925   1.0000
   8.500   1.2548   0.02111   0.01374  -0.0590   0.0759   1.0000
   8.750   1.2651   0.02287   0.01553  -0.0572   0.0672   1.0000
   9.000   1.2791   0.02419   0.01697  -0.0558   0.0617   1.0000
   9.250   1.2876   0.02594   0.01877  -0.0541   0.0574   1.0000
   9.500   1.2903   0.02810   0.02102  -0.0522   0.0546   1.0000
   9.750   1.2985   0.02987   0.02293  -0.0511   0.0521   1.0000
  10.000   1.2998   0.03213   0.02529  -0.0499   0.0500   1.0000
  10.250   1.2952   0.03486   0.02808  -0.0490   0.0485   1.0000
  10.500   1.2844   0.03814   0.03141  -0.0486   0.0474   1.0000
  10.750   1.2746   0.04131   0.03459  -0.0480   0.0463   1.0000
  11.000   1.2704   0.04385   0.03713  -0.0467   0.0449   1.0000
  11.250   1.2738   0.04603   0.03940  -0.0462   0.0439   1.0000
  11.500   1.2777   0.04815   0.04160  -0.0456   0.0426   1.0000
  12.000   1.2873   0.05236   0.04591  -0.0446   0.0398   1.0000
