alpha,CL,CD,CDp,CM,CL_CD
0.0,0.1177,0.0091,0.00241,-0.0026,12.934065934065933
0.25,0.1429,0.00929,0.00243,-0.0018,15.382131324004305
0.5,0.1685,0.00944,0.00247,-0.001,17.84957627118644
0.75,0.1938,0.00965,0.00254,-0.0002,20.082901554404145
1.0,0.2194,0.00981,0.00261,0.0006,22.364933741080534
1.25,0.2447,0.01004,0.00272,0.0014,24.372509960159363
1.5,0.2704,0.01019,0.00282,0.0022,26.535819430814524
1.75,0.2957,0.01047,0.00297,0.003,28.24259789875836
2.0,0.3216,0.01061,0.00311,0.0037,30.311027332704995
2.25,0.3472,0.01082,0.00325,0.0045,32.08872458410352
2.5,0.3726,0.01111,0.00348,0.0052,33.537353735373536
2.75,0.3984,0.01128,0.00366,0.0059,35.31914893617021
3.0,0.424,0.01151,0.00383,0.0067,36.8375325803649
3.25,0.4495,0.01182,0.00411,0.0074,38.02876480541455
3.5,0.4753,0.01203,0.00437,0.0081,39.509559434746464
3.75,0.5009,0.01229,0.00459,0.0089,40.756712774613504
4.0,0.5262,0.01266,0.00492,0.0096,41.56398104265403
4.25,0.552,0.01286,0.00521,0.0103,42.92379471228616
4.5,0.5776,0.01313,0.0055,0.011,43.990860624524
4.75,0.6029,0.01354,0.00584,0.0117,44.527326440177255
5.0,0.6284,0.01383,0.00625,0.0125,45.43745480838756
5.25,0.654,0.01408,0.00656,0.0132,46.44886363636363
5.5,0.6795,0.0144,0.00689,0.0139,47.1875
5.75,0.7046,0.01487,0.00739,0.0146,47.383994620040355
6.0,0.73,0.01512,0.00779,0.0153,48.28042328042328
6.25,0.7555,0.0154,0.00812,0.016,49.05844155844155
6.5,0.7805,0.01589,0.00858,0.0166,49.11894273127753
6.75,0.8058,0.01596,0.00886,0.0174,50.48872180451128
7.0,0.8313,0.01595,0.00876,0.018,52.1191222570533
7.25,0.8566,0.01599,0.00902,0.0187,53.57098186366479
7.5,0.882,0.01604,0.00905,0.0193,54.98753117206983
7.75,0.9074,0.01615,0.00935,0.0199,56.18575851393188
8.0,0.9325,0.01624,0.00941,0.0206,57.41995073891625
8.25,0.9585,0.01621,0.00963,0.0211,59.13016656384948
8.5,0.9841,0.01629,0.00985,0.0216,60.41129527317373
8.75,1.0096,0.01642,0.01004,0.022,61.48599269183922
9.0,1.0325,0.01711,0.01066,0.0226,60.3448275862069
9.5,1.0675,0.02074,0.01418,0.024,51.47058823529411
9.75,1.0876,0.02203,0.01564,0.0247,49.36904221516114
10.0,1.1019,0.0242,0.01787,0.0252,45.533057851239676
10.25,1.1204,0.02566,0.01953,0.0257,43.66328916601715
10.5,1.1369,0.02734,0.02136,0.0261,41.583760058522316
10.75,1.1509,0.02926,0.0234,0.0262,39.33356117566644
11.0,1.1577,0.03213,0.02633,0.0265,36.03174603174603
11.25,1.1681,0.03437,0.02878,0.0263,33.98603433226651
11.5,1.1757,0.03699,0.03161,0.0254,31.784266017842658
11.75,1.1768,0.04011,0.03491,0.0239,29.339316878583897
12.0,1.1709,0.04351,0.03846,0.0225,26.911054929901173
