alpha,CL,CD,CDp,CM,CL_CD
0.0,0.7547,0.01964,0.01084,-0.1775,38.426680244399186
0.25,0.7837,0.01967,0.01096,-0.1774,39.84239959328927
0.5,0.8127,0.01968,0.01111,-0.1774,41.295731707317074
0.75,0.8418,0.01964,0.01128,-0.1775,42.86150712830957
1.0,0.8704,0.01963,0.0116,-0.1774,44.34029546612327
1.25,0.8983,0.01985,0.01193,-0.177,45.2544080604534
1.5,0.9269,0.02033,0.01243,-0.1768,45.592720118052135
1.75,0.953,0.02066,0.01293,-0.1761,46.127783155856726
2.0,0.9793,0.02102,0.01341,-0.1754,46.588962892483345
2.25,1.0057,0.02135,0.01385,-0.1747,47.105386416861826
2.5,1.0322,0.02165,0.01421,-0.1741,47.67667436489607
2.75,1.0586,0.02188,0.01452,-0.1734,48.38208409506399
3.0,1.0848,0.02207,0.01478,-0.1727,49.15269596737653
3.25,1.1111,0.02223,0.01501,-0.172,49.98200629779577
3.5,1.1369,0.0223,0.01518,-0.1712,50.98206278026906
3.75,1.1625,0.02233,0.01534,-0.1703,52.06000895656069
4.0,1.1896,0.02297,0.01599,-0.1701,51.7892903787549
4.25,1.214,0.02377,0.01695,-0.1693,51.07278081615482
4.5,1.2389,0.02451,0.0178,-0.1687,50.54671562627498
4.75,1.2644,0.0251,0.01844,-0.168,50.37450199203187
5.0,1.2903,0.02554,0.0189,-0.1674,50.52075176194205
5.25,1.3168,0.02582,0.01919,-0.1669,50.9992254066615
5.5,1.3434,0.02602,0.01938,-0.1663,51.62951575710991
5.75,1.3702,0.02627,0.01962,-0.1657,52.15835553863723
6.0,1.3968,0.02666,0.01999,-0.1652,52.39309827456864
6.25,1.423,0.02732,0.02066,-0.1647,52.08638360175696
6.5,1.4362,0.02902,0.02275,-0.1623,49.49000689179876
6.75,1.4613,0.02891,0.02268,-0.1613,50.54652369422345
7.0,1.4926,0.0276,0.02124,-0.161,54.07971014492753
7.25,1.5234,0.02649,0.01998,-0.1607,57.508493771234434
7.5,1.5534,0.02588,0.01921,-0.1604,60.02318392581143
7.75,1.572,0.02641,0.02,-0.1585,59.52290798939796
8.0,1.5957,0.02619,0.01985,-0.1572,60.92783505154638
8.25,1.6223,0.02547,0.01907,-0.1562,63.69454259913624
8.5,1.6505,0.02465,0.01811,-0.1555,66.95740365111563
8.75,1.6706,0.0247,0.01834,-0.1537,67.63562753036437
9.0,1.6927,0.02442,0.01814,-0.152,69.31613431613432
9.25,1.7169,0.02382,0.01749,-0.1506,72.07808564231738
9.5,1.7383,0.0237,0.01747,-0.149,73.34599156118144
9.75,1.759,0.02353,0.01743,-0.1471,74.75563110922226
10.0,1.7801,0.02313,0.01699,-0.1452,76.96065715520967
10.25,1.8004,0.02305,0.01709,-0.1434,78.10845986984815
10.5,1.8206,0.02298,0.01709,-0.1416,79.22541340295909
10.75,1.8383,0.02319,0.01722,-0.1395,79.27123760241484
11.25,1.8279,0.02966,0.02296,-0.1311,61.628455832771415
11.5,1.8231,0.03262,0.02594,-0.127,55.88902513795217
11.75,1.8208,0.03572,0.02913,-0.1239,50.97424412094065
12.0,1.8097,0.03913,0.03264,-0.1199,46.24840276003067
