  
       XFOIL         Version 6.99
  
 Calculated polar for: CST_OPTIMIZED                                   
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.100     Re =     0.250 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   1.1151   0.02247   0.01355  -0.2489   0.3840   0.2580
   0.250   1.1455   0.02264   0.01366  -0.2492   0.3818   0.2649
   0.500   1.1762   0.02273   0.01375  -0.2496   0.3799   0.2708
   0.750   1.2049   0.02294   0.01398  -0.2495   0.3781   0.2768
   1.000   1.2354   0.02316   0.01412  -0.2498   0.3765   0.2840
   1.250   1.2667   0.02336   0.01426  -0.2503   0.3749   0.2902
   1.500   1.2962   0.02386   0.01476  -0.2505   0.3731   0.2964
   1.750   1.3250   0.02436   0.01527  -0.2505   0.3715   0.3038
   2.000   1.3535   0.02458   0.01555  -0.2505   0.3701   0.3100
   2.250   1.3804   0.02489   0.01598  -0.2501   0.3684   0.3160
   2.500   1.4078   0.02523   0.01636  -0.2498   0.3666   0.3237
   2.750   1.4360   0.02549   0.01666  -0.2497   0.3647   0.3304
   3.000   1.4632   0.02575   0.01697  -0.2494   0.3629   0.3367
   3.250   1.4913   0.02602   0.01723  -0.2493   0.3612   0.3448
   3.500   1.5200   0.02626   0.01748  -0.2493   0.3598   0.3519
   3.750   1.5481   0.02656   0.01779  -0.2492   0.3585   0.3592
   4.250   1.6056   0.02750   0.01870  -0.2494   0.3557   0.3750
   4.500   1.6317   0.02834   0.01959  -0.2491   0.3542   0.3837
   4.750   1.6562   0.02879   0.02018  -0.2484   0.3530   0.3910
   5.000   1.6800   0.02934   0.02087  -0.2476   0.3516   0.3991
   5.250   1.7041   0.02993   0.02156  -0.2468   0.3501   0.4082
   5.500   1.7281   0.03051   0.02228  -0.2461   0.3486   0.4168
   5.750   1.7522   0.03108   0.02291  -0.2454   0.3470   0.4265
   6.000   1.7769   0.03153   0.02347  -0.2448   0.3454   0.4356
   6.250   1.8020   0.03197   0.02398  -0.2442   0.3440   0.4469
   6.500   1.8276   0.03239   0.02446  -0.2437   0.3427   0.4584
   6.750   1.8539   0.03285   0.02498  -0.2434   0.3416   0.4702
   7.000   1.8803   0.03337   0.02553  -0.2432   0.3405   0.4842
   7.250   1.9074   0.03396   0.02617  -0.2431   0.3395   0.5001
   7.500   1.9337   0.03490   0.02717  -0.2430   0.3383   0.5179
   7.750   1.9537   0.03620   0.02866  -0.2420   0.3371   0.5370
   8.000   1.9695   0.03731   0.03004  -0.2401   0.3359   0.5609
   8.250   1.9842   0.03862   0.03167  -0.2382   0.3345   0.5991
   8.500   1.9957   0.03993   0.03345  -0.2356   0.3330   0.7490
   8.750   1.9965   0.04104   0.03485  -0.2310   0.3317   1.0000
   9.000   2.0084   0.04244   0.03635  -0.2287   0.3302   1.0000
   9.250   2.0207   0.04373   0.03773  -0.2265   0.3288   1.0000
   9.500   2.0334   0.04488   0.03896  -0.2243   0.3274   1.0000
   9.750   2.0450   0.04614   0.04030  -0.2220   0.3263   1.0000
  10.000   2.0571   0.04728   0.04150  -0.2197   0.3253   1.0000
  10.250   2.0941   0.04633   0.04043  -0.2206   0.3238   1.0000
  10.500   2.1569   0.04406   0.03778  -0.2252   0.3209   1.0000
  10.750   2.1375   0.04651   0.04056  -0.2182   0.3195   1.0000
  11.000   2.0945   0.05050   0.04491  -0.2088   0.3180   1.0000
