rank_xfoil,candidate_id,origin_seed,Au0,Au1,Au2,Au3,Au4,Au5,Au6,Al0,Al1,Al2,Al3,Al4,Al5,Al6,Re,alpha_pred_opt,CL_pred_opt,CD_pred_opt,CM_pred_opt,CL_CD_pred_opt,distance_soft_penalty,optimization_score,fps_min_distance_to_selected,distance_to_train,max_thickness,xfoil_converged,alpha_xfoil_opt,CL_xfoil_opt,CD_xfoil_opt,CM_xfoil_opt,CL_CD_xfoil_opt,n_xfoil_points,xfoil_polar_sufficient,alpha_pred_at_xfoil_opt,CL_pred_at_xfoil_opt,CD_pred_at_xfoil_opt,CM_pred_at_xfoil_opt,CL_CD_pred_at_xfoil_opt,delta_alpha_opt_deg,erro_CL_CD_max_pct,erro_CL_no_alpha_xfoil_pct,erro_CD_no_alpha_xfoil_pct
1,5,42,0.17991050661830965,0.29229687067648624,0.6066705621935803,0.1543369240239065,0.8596708879263677,-0.13091454776500222,0.650457357383591,-0.157271289075832,0.09049177981091491,-0.1239047209837068,0.2341159453333933,0.040298493584520964,0.21520990075756777,0.42354852793981596,250000.0,6.0,1.6569634675979614,0.016073528677225113,-0.21562549471855164,103.08647844985926,0.0,103.08647844985926,5.924530340757102,4.013590175771986,0.1416624472136665,True,6.0,1.7271,0.01909,-0.2546,90.47145102147722,49.0,True,6.0,1.6569634675979614,0.016073528677225113,-0.21562549471855164,103.08647844985926,0.0,13.943655469157145,4.060942180651882,15.801316515321563
2,10,42,0.27037439011855946,0.2747756298691332,0.37902798927563375,0.12407690099225488,0.30520021520928886,0.09271613941096044,0.9764139618508935,-0.06939470887337776,-0.010318256535464573,-0.07903235675933384,0.24086382876539672,0.1335230777194005,0.2642718115586154,0.6695035221052091,250000.0,6.0,1.707055926322937,0.01639857329428196,-0.2150372862815857,104.09783190822903,0.0,104.09783190822903,5.189451731441748,3.400608542712532,0.10980238213617563,True,6.0,1.7096,0.02338,-0.2472,73.12232677502138,48.0,True,6.0,1.707055926322937,0.01639857329428196,-0.2150372862815857,104.09783190822903,0.0,42.361213735048835,0.1488110480266142,29.86067880974355
3,15,42,0.40729645506308465,0.3061299871439372,0.4208026331821717,0.16281625285338786,0.2725966328952931,0.13763817067765763,0.5958282257629626,-0.08710168345243424,-0.03270621689875369,0.16704021832604454,0.24674323074519852,0.0036685685140242855,0.13823716602891434,0.2770385192104203,250000.0,6.0,1.5719327926635742,0.0154868857935071,-0.19968637824058533,101.50089654064664,0.0,101.50089654064664,4.850050689423069,3.915019168300712,0.12003709889131015,True,6.0,1.5098,0.02018,-0.1456,74.81665014866205,49.0,True,6.0,1.5719327926635742,0.0154868857935071,-0.19968637824058533,101.50089654064664,0.0,35.66618705724261,4.115299553819988,23.256264650609022
4,4,42,0.18045378042920673,0.3045500565423489,0.19060819992113928,0.5253771667133782,0.2539126881699078,0.44717378986734957,0.37856804648142683,-0.16502382483457914,0.0019463054834306104,0.29323706179155096,0.07193905909649316,-0.057843919012839404,0.07709853550278613,0.21499970137227725,250000.0,6.0,1.4057239294052124,0.013648641295731068,-0.1495938003063202,102.99368991731693,0.0,102.99368991731693,6.221753241477674,4.25161775663053,0.09383092236085913,True,6.0,1.4749,0.01704,-0.197,86.55516431924883,46.0,True,6.0,1.4057239294052124,0.013648641295731068,-0.1495938003063202,102.99368991731693,0.0,18.99196394271343,4.690221072261692,19.902339813784813
5,8,42,0.39561538625753456,0.3246661875526705,0.33639336666397995,0.5318277689778389,-0.02551004348352337,0.42395345630607095,0.8010032713634407,-0.092127885095067,0.0031383006900825017,-0.051627844838495106,0.1009086298644874,-0.016376846093551747,0.23444997648119184,0.22789150978883335,250000.0,6.0,1.5788289308547974,0.015355810523033142,-0.1928129643201828,102.81638526905584,0.0,102.81638526905584,5.442978902302598,3.9550728740595855,0.14021831111627225,True,6.0,1.4299,0.01836,-0.1536,77.88126361655773,48.0,True,6.0,1.5788289308547974,0.015355810523033142,-0.1928129643201828,102.81638526905584,0.0,32.016842684094364,10.415338894663781,16.362687783043896
6,17,42,0.17644569122956988,0.2560304039373402,0.39296264149988125,0.23735007827226448,0.3667392680177021,0.3973640378688632,0.787590062464826,-0.10893992717737061,0.04022113839390805,-0.20106532353977416,0.24610363648417774,0.29019753574840984,0.09260175346766861,0.3649814882594946,250000.0,6.0,1.606183409690857,0.015744658187031746,-0.20796801149845123,102.01449854362713,0.0,102.01449854362713,4.68309570521096,4.015339762426318,0.11536502824905598,True,6.0,1.429,0.0198,-0.2142,72.17171717171716,47.0,True,6.0,1.606183409690857,0.015744658187031746,-0.20796801149845123,102.01449854362713,0.0,41.34969007444488,12.399118942677179,20.48152430792048
7,11,42,0.28822904673561406,0.2738111403541255,0.34252303279857466,0.2032005740781316,0.287798384203954,0.4509519289031084,0.5724279329754123,-0.10547013413039874,0.1857077746414583,0.15111604425464162,0.015253565947838332,0.20133442757163067,0.1238693276454543,0.28466782107617544,250000.0,6.0,1.6742448806762695,0.01623746193945408,-0.2139497697353363,103.11001109158316,0.0,103.11001109158316,5.086028934984472,3.334889402496638,0.07492732112567078,True,6.0,1.4215,0.01885,-0.1684,75.41114058355438,49.0,True,6.0,1.6742448806762695,0.01623746193945408,-0.2139497697353363,103.11001109158316,0.0,36.73047548901459,17.780153406702045,13.859618358333796
8,18,42,0.30249563008293,0.2558964040343762,0.34027696296538174,0.15275068590279195,0.3238199334086645,-0.05100537035643862,0.5678794696325371,-0.09188404568331332,0.06843297097470702,-0.17820041633025302,0.3912910157440238,0.05242997145756327,0.10471884472170129,0.25407045120356636,250000.0,6.0,1.5807240009307861,0.015118387527763844,-0.2051466852426529,104.55638857172426,0.0,104.55638857172426,4.660544494626086,4.139662310455512,0.10338132563305918,True,6.0,1.4021,0.01642,-0.1394,85.38976857490864,48.0,True,6.0,1.5807240009307861,0.015118387527763844,-0.2051466852426529,104.55638857172426,0.0,22.446038110527947,12.739747587959934,7.926994349793892
9,16,42,0.2752687327099645,0.277647829895986,0.3933174930313146,-0.08604045581477587,0.7531202510664837,-0.0978473871614782,0.8659499824811846,-0.11916039578212045,-0.069457308036762,0.003923003397736432,-0.012267181759462776,0.05116606855007448,0.2594371669283761,0.2927093906871274,250000.0,6.0,1.6946502923965454,0.016381366178393364,-0.21969746053218842,103.44987554406477,0.0,103.44987554406477,4.747761706982029,4.231225834808651,0.12170850292246535,True,6.0,1.3482,0.02017,-0.1647,66.84184432325236,49.0,True,6.0,1.6946502923965454,0.016381366178393364,-0.21969746053218842,103.44987554406477,0.0,54.76813452928247,25.697247618791376,18.783509279160317
10,20,42,0.26798263701075736,0.27074527673909066,0.5681187581310329,0.34382290818654637,0.33960400537427926,0.06512137626743218,0.9246237559794269,-0.2372403129544593,-0.02329955370683206,-0.21989362886848987,0.14315528278423093,-0.015408010117041973,0.07918058131457413,0.3260470976772312,250000.0,6.0,1.5308681726455688,0.015049017034471035,-0.17343783378601074,101.72545948609049,0.0,101.72545948609049,4.59466413776012,3.5850682607434723,0.17737463543476062,True,6.0,1.3437,0.03024,-0.1755,44.43452380952381,49.0,True,6.0,1.5308681726455688,0.015049017034471035,-0.17343783378601074,101.72545948609049,0.0,128.93338504572273,13.929312543392793,50.23473202886563
