alpha,CL,CD,CDp,CM,CL_CD
0.0,0.4739,0.02442,0.01534,-0.136,19.406224406224407
0.25,0.4947,0.02447,0.01518,-0.1345,20.21659174499387
0.5,0.5166,0.0244,0.01501,-0.1333,21.17213114754098
0.75,0.5388,0.02438,0.01502,-0.1321,22.10008203445447
1.0,0.5612,0.02442,0.01496,-0.1308,22.98116298116298
1.25,0.5838,0.02441,0.01488,-0.1297,23.91642769356821
1.5,0.6088,0.02447,0.01489,-0.129,24.879444217409073
1.75,0.6319,0.02456,0.01494,-0.1278,25.72882736156352
2.0,0.6549,0.02452,0.01495,-0.1268,26.708809135399676
2.25,0.6782,0.02464,0.01502,-0.1258,27.52435064935065
2.5,0.7077,0.02467,0.01496,-0.1258,28.686663964329142
2.75,0.7302,0.02479,0.01514,-0.1246,29.45542557482856
3.0,0.7536,0.02484,0.01525,-0.1237,30.33816425120773
3.25,0.7776,0.02498,0.01538,-0.1228,31.128903122498
3.5,0.8016,0.02511,0.0155,-0.122,31.923536439665472
3.75,0.8346,0.02515,0.01554,-0.1227,33.18489065606362
4.0,0.8568,0.02487,0.01623,-0.1218,34.45114595898673
4.25,0.8797,0.02508,0.01658,-0.1206,35.07575757575758
4.75,0.9287,0.02552,0.01716,-0.1192,36.391065830721
5.0,0.9815,0.02548,0.01741,-0.1239,38.52040816326531
5.25,1.0051,0.02584,0.01775,-0.1231,38.89705882352942
5.5,1.0287,0.02621,0.01807,-0.1223,39.24837848149561
5.75,1.0519,0.02658,0.01836,-0.1215,39.574868322046655
6.0,1.077,0.02695,0.01862,-0.121,39.96289424860853
6.25,1.1125,0.02733,0.01885,-0.1221,40.706183680936704
6.5,1.1338,0.02773,0.01929,-0.121,40.887125856473126
6.75,1.1559,0.02814,0.0197,-0.12,41.07675906183369
7.0,1.1787,0.02854,0.02006,-0.1191,41.29992992291521
7.25,1.2018,0.02894,0.0204,-0.1183,41.52729785763649
7.5,1.2314,0.02936,0.02068,-0.1185,41.94141689373297
7.75,1.258,0.02984,0.02117,-0.1183,42.158176943699736
8.0,1.2784,0.03031,0.02171,-0.1171,42.17749917518971
8.25,1.3001,0.03077,0.02218,-0.1161,42.25219369515762
8.5,1.3218,0.03122,0.0226,-0.1151,42.33824471492633
8.75,1.3445,0.03167,0.02298,-0.1143,42.45342595516262
9.0,1.3783,0.03222,0.02342,-0.1153,42.77777777777778
9.25,1.395,0.03278,0.02409,-0.1136,42.55643685173887
9.5,1.4145,0.03334,0.02473,-0.1123,42.42651469706059
9.75,1.4346,0.03388,0.0253,-0.1111,42.34356552538371
10.0,1.455,0.0344,0.02579,-0.1101,42.29651162790698
10.25,1.4761,0.0349,0.02623,-0.1091,42.29512893982808
10.5,1.5066,0.03559,0.02686,-0.1097,42.332115762854734
10.75,1.521,0.0363,0.02772,-0.1077,41.90082644628099
11.0,1.5377,0.03701,0.02853,-0.1062,41.548230208051876
11.25,1.5556,0.03768,0.02925,-0.1048,41.28450106157113
11.5,1.5732,0.0383,0.02988,-0.1034,41.07571801566579
11.75,1.5922,0.03888,0.03043,-0.1023,40.951646090534986
12.0,1.622,0.03966,0.03109,-0.1028,40.89762985375694
