  
       XFOIL         Version 6.99
  
 Calculated polar for: CST_OPTIMIZED                                   
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.100     Re =     0.250 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.7778   0.02108   0.01537  -0.1751   0.6378   0.1009
   0.250   0.8243   0.01857   0.01169  -0.1781   0.5832   0.0805
   0.500   0.8563   0.01772   0.01018  -0.1787   0.5571   0.0827
   0.750   0.8819   0.01765   0.01001  -0.1785   0.5385   0.0871
   1.000   0.9108   0.01736   0.00944  -0.1786   0.5242   0.0914
   1.250   0.9404   0.01705   0.00880  -0.1788   0.5120   0.0968
   1.500   0.9666   0.01710   0.00881  -0.1784   0.5004   0.1019
   1.750   0.9946   0.01708   0.00860  -0.1783   0.4905   0.1079
   2.000   1.0220   0.01702   0.00845  -0.1782   0.4809   0.1139
   2.250   1.0493   0.01709   0.00845  -0.1779   0.4721   0.1205
   2.500   1.0760   0.01710   0.00839  -0.1776   0.4635   0.1273
   2.750   1.1038   0.01723   0.00846  -0.1775   0.4555   0.1348
   3.000   1.1291   0.01728   0.00850  -0.1770   0.4473   0.1426
   3.250   1.1581   0.01748   0.00861  -0.1771   0.4398   0.1516
   3.500   1.1818   0.01753   0.00874  -0.1763   0.4320   0.1606
   3.750   1.2085   0.01771   0.00886  -0.1760   0.4247   0.1709
   4.000   1.2341   0.01786   0.00905  -0.1755   0.4174   0.1834
   4.250   1.2584   0.01799   0.00922  -0.1748   0.4101   0.1968
   4.500   1.2856   0.01821   0.00941  -0.1747   0.4029   0.2158
   4.750   1.3085   0.01833   0.00963  -0.1737   0.3954   0.2434
   5.000   1.3325   0.01767   0.00993  -0.1730   0.3886   1.0000
   5.250   1.3553   0.01795   0.01018  -0.1719   0.3814   1.0000
   5.500   1.3771   0.01824   0.01041  -0.1707   0.3740   1.0000
   5.750   1.4011   0.01859   0.01068  -0.1699   0.3671   1.0000
   6.000   1.4215   0.01885   0.01099  -0.1684   0.3595   1.0000
   6.250   1.4450   0.01924   0.01126  -0.1676   0.3524   1.0000
   6.500   1.4643   0.01951   0.01161  -0.1659   0.3447   1.0000
   6.750   1.4848   0.01986   0.01193  -0.1645   0.3374   1.0000
   7.000   1.5055   0.02021   0.01230  -0.1632   0.3297   1.0000
   7.250   1.5249   0.02056   0.01265  -0.1616   0.3218   1.0000
   7.500   1.5451   0.02095   0.01304  -0.1602   0.3140   1.0000
   7.750   1.5637   0.02132   0.01345  -0.1585   0.3056   1.0000
   8.000   1.5829   0.02175   0.01389  -0.1570   0.2975   1.0000
   8.250   1.6007   0.02217   0.01432  -0.1552   0.2886   1.0000
   8.500   1.6192   0.02263   0.01481  -0.1536   0.2798   1.0000
   8.750   1.6364   0.02314   0.01531  -0.1518   0.2707   1.0000
   9.000   1.6541   0.02362   0.01586  -0.1501   0.2609   1.0000
   9.250   1.6701   0.02425   0.01645  -0.1482   0.2516   1.0000
   9.500   1.6867   0.02480   0.01706  -0.1464   0.2411   1.0000
   9.750   1.7028   0.02545   0.01774  -0.1445   0.2309   1.0000
  10.000   1.7168   0.02624   0.01849  -0.1424   0.2209   1.0000
  10.250   1.7321   0.02695   0.01925  -0.1405   0.2102   1.0000
  10.500   1.7462   0.02778   0.02012  -0.1385   0.2001   1.0000
  10.750   1.7577   0.02880   0.02109  -0.1361   0.1907   1.0000
  11.000   1.7714   0.02966   0.02203  -0.1341   0.1808   1.0000
  11.250   1.7826   0.03075   0.02314  -0.1318   0.1722   1.0000
  11.500   1.7922   0.03191   0.02431  -0.1294   0.1634   1.0000
  11.750   1.8030   0.03300   0.02547  -0.1272   0.1543   1.0000
  12.000   1.8092   0.03445   0.02688  -0.1245   0.1465   1.0000
