  
       XFOIL         Version 6.99
  
 Calculated polar for: CST_OPTIMIZED                                   
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.100     Re =     0.250 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.4609   0.00966   0.00383  -0.1048   0.7313   0.8756
   0.250   0.4851   0.00968   0.00383  -0.1039   0.7233   0.8890
   0.500   0.5113   0.00970   0.00380  -0.1035   0.7163   0.9016
   0.750   0.5363   0.00972   0.00382  -0.1028   0.7086   0.9158
   1.000   0.5653   0.00975   0.00381  -0.1030   0.7019   0.9314
   1.250   0.5993   0.00980   0.00386  -0.1044   0.6948   0.9485
   1.500   0.6402   0.00988   0.00390  -0.1073   0.6879   0.9664
   1.750   0.6831   0.00997   0.00398  -0.1109   0.6810   0.9903
   2.000   0.7123   0.01011   0.00407  -0.1117   0.6742   1.0000
   2.250   0.7391   0.01029   0.00421  -0.1118   0.6681   1.0000
   2.500   0.7656   0.01044   0.00435  -0.1118   0.6612   1.0000
   2.750   0.7945   0.01063   0.00448  -0.1122   0.6556   1.0000
   3.000   0.8199   0.01078   0.00467  -0.1119   0.6485   1.0000
   3.250   0.8480   0.01097   0.00484  -0.1121   0.6427   1.0000
   3.500   0.8741   0.01115   0.00507  -0.1119   0.6363   1.0000
   3.750   0.9011   0.01133   0.00525  -0.1118   0.6299   1.0000
   4.000   0.9283   0.01154   0.00548  -0.1118   0.6241   1.0000
   4.250   0.9537   0.01168   0.00568  -0.1113   0.6159   1.0000
   4.500   0.9774   0.01173   0.00574  -0.1103   0.6037   1.0000
   4.750   1.0000   0.01173   0.00574  -0.1091   0.5889   1.0000
   5.000   1.0225   0.01177   0.00580  -0.1078   0.5745   1.0000
   5.250   1.0443   0.01181   0.00585  -0.1064   0.5586   1.0000
   5.500   1.0656   0.01188   0.00592  -0.1050   0.5413   1.0000
   5.750   1.0871   0.01200   0.00605  -0.1036   0.5244   1.0000
   6.000   1.1076   0.01213   0.00625  -0.1020   0.5040   1.0000
   6.250   1.1265   0.01232   0.00643  -0.1002   0.4786   1.0000
   6.500   1.1418   0.01264   0.00666  -0.0976   0.4383   1.0000
   6.750   1.1473   0.01342   0.00706  -0.0934   0.3562   1.0000
   7.000   1.1344   0.01540   0.00816  -0.0865   0.2112   1.0000
   7.250   1.1228   0.01740   0.00951  -0.0801   0.1139   1.0000
   7.500   1.1241   0.01872   0.01065  -0.0758   0.0838   1.0000
   7.750   1.1295   0.01983   0.01172  -0.0722   0.0711   1.0000
   8.000   1.1354   0.02093   0.01282  -0.0688   0.0627   1.0000
   8.250   1.1423   0.02201   0.01397  -0.0657   0.0576   1.0000
   8.500   1.1496   0.02311   0.01512  -0.0628   0.0530   1.0000
   8.750   1.1477   0.02488   0.01689  -0.0589   0.0494   1.0000
   9.000   1.1594   0.02584   0.01797  -0.0569   0.0467   1.0000
   9.250   1.1683   0.02707   0.01928  -0.0546   0.0439   1.0000
   9.500   1.1762   0.02846   0.02071  -0.0524   0.0417   1.0000
   9.750   1.1829   0.03034   0.02259  -0.0502   0.0395   1.0000
  10.000   1.1968   0.03196   0.02430  -0.0486   0.0378   1.0000
  10.250   1.2111   0.03318   0.02565  -0.0472   0.0359   1.0000
  10.500   1.2262   0.03455   0.02712  -0.0460   0.0341   1.0000
  10.750   1.2428   0.03603   0.02870  -0.0449   0.0327   1.0000
  11.000   1.2615   0.03767   0.03041  -0.0441   0.0314   1.0000
  11.250   1.3031   0.04143   0.03434  -0.0457   0.0294   1.0000
  11.500   1.3081   0.04283   0.03597  -0.0434   0.0287   1.0000
  11.750   1.3169   0.04491   0.03830  -0.0417   0.0278   1.0000
  12.000   1.3253   0.04754   0.04122  -0.0401   0.0272   1.0000
