feature,coeficiente,abs_coeficiente
alpha,0.010195823542486285,0.010195823542486285
Au3,0.0038603316201819295,0.0038603316201819295
Au1,-0.002817767577452513,0.002817767577452513
DeltaTE_upper,0.002651637625359102,0.002651637625359102
DeltaTE_lower,0.00257721837489726,0.00257721837489726
Au5,-0.0015238660765441317,0.0015238660765441317
Re,-0.0014277795317518631,0.0014277795317518631
Au4,0.0012587863375833888,0.0012587863375833888
Al1,0.0011238060189569339,0.0011238060189569339
Al3,0.00107125275725168,0.00107125275725168
Au0,-0.000927248009561944,0.000927248009561944
Al4,-0.0008956506351108323,0.0008956506351108323
Al2,0.0007798704014958563,0.0007798704014958563
Al6,0.0007513965075982143,0.0007513965075982143
Al0,-0.0007392490118445502,0.0007392490118445502
Al5,-0.0005393846085389674,0.0005393846085389674
Au6,-0.00022397772164423942,0.00022397772164423942
Au2,9.169903320613567e-05,9.169903320613567e-05
