feature,coeficiente,abs_coeficiente
alpha,0.2908617688861571,0.2908617688861571
DeltaTE_lower,-0.10654870860062678,0.10654870860062678
DeltaTE_upper,-0.09307088831869592,0.09307088831869592
Al4,0.07737552838972546,0.07737552838972546
Au1,0.05757783485489783,0.05757783485489783
Au6,0.049132386424464436,0.049132386424464436
Al5,0.04658106682327306,0.04658106682327306
Au5,0.0447874860739495,0.0447874860739495
Au2,0.03938908400490488,0.03938908400490488
Al3,0.024780910181091895,0.024780910181091895
Au4,0.02149178464706935,0.02149178464706935
Al0,0.021172552572783315,0.021172552572783315
Al1,0.01753164135871047,0.01753164135871047
Al6,0.017384641259692895,0.017384641259692895
Au3,-0.016673863918580757,0.016673863918580757
Au0,0.015789414070934857,0.015789414070934857
Al2,-0.015788133562629095,0.015788133562629095
Re,0.00538496183164039,0.00538496183164039
