feature,coeficiente,abs_coeficiente
Al4,-0.020120852456263022,0.020120852456263022
Au4,-0.018518236874242228,0.018518236874242228
DeltaTE_lower,0.015105269026027558,0.015105269026027558
alpha,0.01499974994856379,0.01499974994856379
Al5,-0.012961751850845473,0.012961751850845473
Au6,-0.012817413029110342,0.012817413029110342
DeltaTE_upper,0.012277282500705707,0.012277282500705707
Au5,-0.011414719732037738,0.011414719732037738
Au3,-0.010125332669632461,0.010125332669632461
Al3,-0.008249304418080446,0.008249304418080446
Al6,-0.007601635427023426,0.007601635427023426
Al2,0.006641731888946317,0.006641731888946317
Au2,-0.005813938004556554,0.005813938004556554
Au0,0.004758965453975685,0.004758965453975685
Al0,-0.0016688173526229555,0.0016688173526229555
Al1,0.0016419652121565543,0.0016419652121565543
Au1,0.001348172581367376,0.001348172581367376
Re,-0.00039855248673772287,0.00039855248673772287
