real,previsto
-0.0378,-0.05402585835888775
-0.042,-0.04996716660124251
-0.0368,-0.045908474843597266
-0.0337,-0.04184978308595202
-0.0317,-0.037791091328306776
-0.0303,-0.03373239957066153
-0.029,-0.02967370781301629
-0.0265,-0.025615016055371045
-0.0226,-0.021556324297725804
-0.0183,-0.017497632540080563
-0.0139,-0.013438940782435321
-0.0439,-0.00938024902479008
-0.0414,-0.005321557267144832
-0.0414,-0.054512546335819284
-0.0395,-0.05045385457817404
-0.0356,-0.0463951628205288
-0.0333,-0.042336471062883546
-0.0319,-0.038277779305238305
-0.0308,-0.03421908754759306
-0.0297,-0.030160395789947822
-0.0276,-0.02610170403230258
-0.024,-0.02204301227465734
-0.019,-0.017984320517012098
-0.0144,-0.013925628759366857
-0.0328,-0.009866937001721615
-0.042,-0.05499923431275082
-0.0379,-0.05094054255510558
-0.035,-0.04688185079746033
-0.0332,-0.04282315903981508
-0.0321,-0.03876446728216984
-0.0312,-0.0347057755245246
-0.0302,-0.030647083766879357
-0.0282,-0.026588392009234116
-0.0248,-0.022529700251588868
-0.0204,-0.018471008493943626
-0.0153,-0.014412316736298385
-0.0215,-0.010353624978653143
-0.0349,-0.006294933221007895
-0.0511,-0.07074522245375198
-0.06,-0.06668653069610674
-0.055,-0.06262783893846148
-0.0508,-0.05856914718081624
-0.0485,-0.054510455423171
-0.0471,-0.050451763665525756
-0.0455,-0.046393071907880515
-0.043,-0.04233438015023527
-0.0391,-0.038275688392590025
-0.0335,-0.034216996634944784
-0.0304,-0.030158304877299542
-0.065,-0.0260996131196543
-0.0563,-0.07123191043068351
-0.0581,-0.06717321867303827
-0.0536,-0.06311452691539302
-0.0505,-0.059055835157747774
-0.0489,-0.05499714340010253
-0.0478,-0.050938451642457284
-0.0464,-0.04687975988481205
-0.0443,-0.0428210681271668
-0.0406,-0.03876237636952156
-0.035,-0.03470368461187632
-0.0309,-0.030644992854231078
-0.0579,-0.026586301096585836
-0.0582,-0.07171859840761503
-0.0564,-0.06765990664996979
-0.0528,-0.06360121489232455
-0.0505,-0.05954252313467931
-0.0493,-0.05548383137703407
-0.0483,-0.05142513961938882
-0.047,-0.04736644786174358
-0.0451,-0.04330775610409834
-0.0411,-0.03924906434645309
-0.037,-0.03519037258880785
-0.0228,-0.031131680831162606
-0.0277,-0.027072989073517364
-0.0694,-0.0732474091721449
-0.0664,-0.06918871741449965
-0.0637,-0.06513002565685441
-0.0617,-0.061071333899209164
-0.0599,-0.05701264214156392
-0.0582,-0.05295395038391868
-0.0565,-0.04889525862627344
-0.0498,-0.04077787511098295
-0.0439,-0.03671918335333771
-0.0373,-0.03266049159569247
-0.028,-0.028601799838047226
-0.0314,-0.024543108080401985
-0.0668,-0.07373409714907643
-0.0646,-0.06967540539143119
-0.0613,-0.0615580218761407
-0.0601,-0.05749933011849546
-0.0588,-0.05344063836085021
-0.0575,-0.049381946603204975
-0.0558,-0.04532325484555974
-0.0511,-0.04126456308791449
-0.0452,-0.037205871330269244
-0.0382,-0.033147179572624
-0.0296,-0.02908848781497876
-0.0318,-0.02502979605733352
-0.0652,-0.07422078512600797
-0.0637,-0.07016209336836272
-0.0624,-0.06610340161071748
-0.0613,-0.062044709853072234
-0.0603,-0.05798601809542699
-0.0594,-0.053927326337781745
-0.0583,-0.0498686345801365
-0.0567,-0.04580994282249126
-0.0529,-0.04175125106484602
-0.0469,-0.03769255930720078
-0.04,-0.03363386754955554
-0.0304,-0.029575175791910293
-0.032,-0.025516484034265048
-0.0731,-0.07735939562866494
-0.0697,-0.0733007038710197
-0.0664,-0.06924201211337445
-0.0639,-0.0651833203557292
-0.0617,-0.061124628598083965
-0.0599,-0.057065936840438716
-0.0582,-0.05300724508279348
-0.056,-0.048948553325148234
-0.0514,-0.04488986156750299
-0.0453,-0.04083116980985775
-0.0376,-0.03677247805221251
-0.0305,-0.03271378629456727
-0.0459,-0.02865509453692202
-0.0708,-0.07784608360559647
-0.0678,-0.07378739184795123
-0.0654,-0.06972870009030599
