real,previsto
-0.0394,-0.05498437066348286
-0.0402,-0.0508825370669056
-0.0352,-0.04678070347032834
-0.0324,-0.04267886987375109
-0.0307,-0.03857703627717383
-0.0297,-0.034475202680596576
-0.0284,-0.030373369084019317
-0.0265,-0.026271535487442065
-0.0244,-0.022169701890864806
-0.0216,-0.018067868294287553
-0.0179,-0.013966034697710294
-0.0129,-0.009864201101133035
-0.0525,-0.0057623675045557765
-0.0415,-0.055377738209378385
-0.0377,-0.051275904612801126
-0.0341,-0.04717407101622387
-0.0321,-0.043072237419646615
-0.031,-0.03897040382306936
-0.0302,-0.034868570226492104
-0.0292,-0.030766736629914852
-0.0274,-0.026664903033337593
-0.0254,-0.02256306943676034
-0.0228,-0.018461235840183082
-0.0194,-0.014359402243605823
-0.0144,-0.010257568647028571
-0.0086,-0.006155735050451312
-0.0408,-0.05577110575527392
-0.0362,-0.05166927215869667
-0.0336,-0.04756743856211941
-0.0321,-0.04346560496554215
-0.0313,-0.03936377136896489
-0.0307,-0.03526193777238764
-0.0298,-0.031160104175810385
-0.0283,-0.02705827057923313
-0.0261,-0.02295643698265587
-0.0236,-0.018854603386078618
-0.0205,-0.014752769789501366
-0.0163,-0.010650936192924107
-0.0111,-0.006549102596346848
-0.0529,-0.07052964760040421
-0.059,-0.06642781400382695
-0.054,-0.062325980407249695
-0.0502,-0.05822414681067244
-0.048,-0.05412231321409519
-0.0465,-0.05002047961751793
-0.045,-0.04591864602094068
-0.0382,-0.04181681242436342
-0.0383,-0.03771497882778617
-0.0325,-0.03361314523120891
-0.0309,-0.029511311634631655
-0.0615,-0.0254094780380544
-0.079,-0.02130764444147714
-0.0568,-0.07092301514629974
-0.0568,-0.0668211815497225
-0.0526,-0.06271934795314524
-0.0499,-0.05861751435656798
-0.0483,-0.05451568075999072
-0.0472,-0.05041384716341347
-0.0459,-0.046312013566836216
-0.0437,-0.04221017997025896
-0.0398,-0.0381083463736817
-0.0339,-0.03400651277710444
-0.0296,-0.029904679180527187
-0.0527,-0.025802845583949935
-0.0546,-0.021701011987372676
-0.0581,-0.07131638269219528
-0.0552,-0.06721454909561803
-0.0519,-0.06311271549904077
-0.0499,-0.05901088190246351
-0.0487,-0.054909048305886256
-0.0477,-0.050807214709309
-0.0465,-0.046705381112731745
-0.0445,-0.042603547516154486
-0.0403,-0.038501713919577234
-0.0362,-0.034399880322999975
-0.0743,-0.08110580704946509
-0.0832,-0.07700397345288783
-0.0904,-0.07290213985631057
-0.0898,-0.06880030625973332
-0.0837,-0.06469847266315606
-0.078,-0.060596639066578806
-0.0717,-0.056494805470001554
-0.0596,-0.052392971873424295
-0.0393,-0.04829113827684704
-0.0225,-0.044189304680269784
-0.011,-0.040087471083692525
-0.0048,-0.03598563748711527
0.0001,-0.031883803890538014
-0.0561,-0.08149917459536062
-0.0662,-0.07739734099878336
-0.0732,-0.07329550740220611
-0.079,-0.06919367380562885
-0.085,-0.0650918402090516
-0.0831,-0.06099000661247434
-0.0752,-0.05688817301589708
-0.0591,-0.05278633941931983
-0.0365,-0.04868450582274257
-0.0207,-0.04458267222616531
-0.0124,-0.04048083862958806
-0.0064,-0.03637900503301081
-0.0006,-0.03227717143643355
-0.0482,-0.08189254214125616
-0.0553,-0.0777907085446789
-0.0621,-0.07368887494810164
-0.0671,-0.06958704135152438
-0.0726,-0.06548520775494712
-0.0777,-0.06138337415836987
-0.0759,-0.05728154056179262
-0.058,-0.05317970696521536
-0.0345,-0.04907787336863811
-0.02,-0.04497603977206085
-0.0134,-0.040874206175483596
-0.007,-0.03677237257890634
-0.0018,-0.03267053898232908
-0.0875,-0.06233468282309952
-0.0836,-0.05823284922652226
-0.0796,-0.054131015629945003
-0.0715,-0.04592734843679049
-0.0676,-0.04182551484021324
-0.0639,-0.03772368124363598
-0.0598,-0.03362184764705872
-0.0536,-0.02952001405048147
-0.0358,-0.02541818045390422
-0.017,-0.02131634685732696
-0.0048,-0.0172145132607497
0.0033,-0.013112679664172441
-0.0796,-0.05862621677241779
-0.0731,-0.05042254957926328
-0.0696,-0.04632071598268603
-0.0663,-0.04221888238610877
-0.063,-0.03811704878953152
-0.06,-0.034015215192954265
-0.0541,-0.029913381596377003
-0.0342,-0.025811547999799747
-0.017,-0.021709714403222488
-0.0058,-0.017607880806645236
0.0019,-0.013506047210067977
-0.0749,-0.06312141791489059
-0.0736,-0.059019584318313334
-0.0716,-0.054917750721736075
-0.069,-0.050815917125158816
-0.0665,-0.04671408352858156
-0.064,-0.042612249932004305
-0.0621,-0.03851041633542705
-0.06,-0.034408582738849794
-0.0541,-0.030306749142272535
-0.0333,-0.026204915545695283
-0.0172,-0.02210308194911803
-0.0068,-0.018001248352540772
0.0009,-0.013899414755963513
-0.0401,-0.05353168807473748
-0.0413,-0.04942985447816023
-0.0424,-0.04532802088158297
-0.0426,-0.04122618728500571
-0.0439,-0.03712435368842845
-0.0433,-0.0330225200918512
-0.0417,-0.028920686495273944
-0.0369,-0.02481885289869669
-0.0328,-0.02071701930211943
-0.028,-0.016615185705542178
-0.0218,-0.012513352108964926
-0.0168,-0.008411518512387667
-0.0098,-0.004309684915810408
-0.0447,-0.05392505562063302
-0.0468,-0.04982322202405576
-0.0468,-0.0457213884274785
-0.0485,-0.04161955483090125
-0.0484,-0.03751772123432399
-0.0488,-0.033415887637746736
-0.0454,-0.02931405404116948
-0.0421,-0.025212220444592225
-0.0377,-0.021110386848014966
-0.0328,-0.017008553251437714
-0.027,-0.012906719654860455
-0.0226,-0.008804886058283196
-0.0191,-0.004703052461705937
-0.0474,-0.054318423166528546
