perfil,alpha,Re,real,previsto,erro,erro_absoluto
ag04,0.0,200000,0.00755,0.008217137319029675,0.000667137319029675,0.000667137319029675
ag04,1.0,200000,0.00756,0.00822743745130481,0.0006674374513048103,0.0006674374513048103
ag04,2.0,200000,0.00815,0.008422721766896615,0.00027272176689661573,0.00027272176689661573
ag04,3.0,200000,0.0092,0.009290400846925322,9.040084692532244e-05,9.040084692532244e-05
ag04,4.0,200000,0.01065,0.010405090304664945,-0.0002449096953350549,0.0002449096953350549
ag04,5.0,200000,0.01246,0.01220272207766119,-0.00025727792233881143,0.00025727792233881143
ag04,6.0,200000,0.01491,0.014698876584845004,-0.000211123415154996,0.000211123415154996
ag04,7.0,200000,0.01941,0.019895332843752087,0.0004853328437520871,0.0004853328437520871
ag04,8.0,200000,0.02757,0.02600594093589147,-0.0015640590641085306,0.0015640590641085306
ag04,9.0,200000,0.03717,0.038461100409875,0.0012911004098749984,0.0012911004098749984
ag04,10.0,200000,0.05676,0.051403624684158426,-0.005356375315841572,0.005356375315841572
ag04,11.0,200000,0.09799,0.06484115308964182,-0.03314884691035817,0.03314884691035817
ag04,12.0,200000,0.12485,0.07474993243487991,-0.05010006756512009,0.05010006756512009
ag04,0.0,250000,0.00662,0.007418287298534104,0.0007982872985341036,0.0007982872985341036
ag04,1.0,250000,0.0068,0.007429825056470616,0.000629825056470616,0.000629825056470616
ag04,2.0,250000,0.00751,0.007727565196300013,0.000217565196300013,0.000217565196300013
ag04,3.0,250000,0.00856,0.00864383045107009,8.383045107008928e-05,8.383045107008928e-05
ag04,4.0,250000,0.00993,0.00975998198177301,-0.0001700180182269903,0.0001700180182269903
ag04,5.0,250000,0.01159,0.01158490789799408,-5.09210200591928e-06,5.09210200591928e-06
ag04,6.0,250000,0.01383,0.01376327164638926,-6.672835361073992e-05,6.672835361073992e-05
ag04,7.0,250000,0.01753,0.018791504065730734,0.0012615040657307335,0.0012615040657307335
ag04,8.0,250000,0.02354,0.024447565868474793,0.0009075658684747946,0.0009075658684747946
ag04,9.0,250000,0.03551,0.03664681869691205,0.0011368186969120467,0.0011368186969120467
ag04,10.0,250000,0.05448,0.0495287497635235,-0.004951250236476502,0.004951250236476502
ag04,11.0,250000,0.08121,0.06451539381715506,-0.016694606182844948,0.016694606182844948
ag04,0.0,300000,0.00598,0.006960056334288024,0.0009800563342880243,0.0009800563342880243
ag04,1.0,300000,0.00631,0.006975144925557868,0.0006651449255578685,0.0006651449255578685
ag04,2.0,300000,0.00708,0.0072870698518571276,0.0002070698518571272,0.0002070698518571272
ag04,3.0,300000,0.0081,0.008216469579749634,0.0001164695797496347,0.0001164695797496347
ag04,4.0,300000,0.00942,0.009323718223701278,-9.628177629872163e-05,9.628177629872163e-05
ag04,5.0,300000,0.01097,0.011121838614940753,0.00015183861494075246,0.00015183861494075246
ag04,6.0,300000,0.01303,0.013234228971977695,0.00020422897197769525,0.00020422897197769525
ag04,7.0,300000,0.01671,0.018344643784123923,0.0016346437841239236,0.0016346437841239236
ag04,8.0,300000,0.02248,0.023767845160294065,0.0012878451602940655,0.0012878451602940655
ag04,9.0,300000,0.03102,0.03562685432083563,0.004606854320835629,0.004606854320835629
ag04,10.0,300000,0.04758,0.0479282029333167,0.00034820293331670055,0.00034820293331670055
ag04,11.0,300000,0.06727,0.06178875447372074,-0.005481245526279259,0.005481245526279259
ag04,12.0,300000,0.10279,0.07153994945387948,-0.031250050546120525,0.031250050546120525
ag19,0.0,200000,0.00752,0.008378607257288829,0.0008586072572888291,0.0008586072572888291
ag19,1.0,200000,0.00748,0.008366368403272473,0.0008863684032724738,0.0008863684032724738
ag19,2.0,200000,0.0079,0.008552951924612246,0.000652951924612245,0.000652951924612245
ag19,3.0,200000,0.00901,0.009408842929067867,0.000398842929067866,0.000398842929067866
ag19,4.0,200000,0.01089,0.010725586218187992,-0.0001644137818120079,0.0001644137818120079
ag19,5.0,200000,0.01304,0.012707977957765989,-0.00033202204223401095,0.00033202204223401095
ag19,6.0,200000,0.01592,0.015430353689333813,-0.000489646310666187,0.000489646310666187
ag19,7.0,200000,0.0203,0.020618581406926375,0.00031858140692637635,0.00031858140692637635
ag19,8.0,200000,0.02791,0.02764243779280901,-0.0002675622071909925,0.0002675622071909925
ag19,9.0,200000,0.04308,0.043613774680736024,0.0005337746807360239,0.0005337746807360239
ag19,10.0,200000,0.0609,0.0642602672244885,0.0033602672244884904,0.0033602672244884904
ag19,11.0,200000,0.10916,0.08413572983090986,-0.025024270169090132,0.025024270169090132
ag19,0.0,250000,0.00659,0.0075093880803151014,0.0009193880803151011,0.0009193880803151011
ag19,1.0,250000,0.00663,0.007507224391642664,0.0008772243916426647,0.0008772243916426647
ag19,2.0,250000,0.00725,0.007804687487528932,0.000554687487528932,0.000554687487528932
ag19,3.0,250000,0.00847,0.00870600095118318,0.0002360009511831792,0.0002360009511831792
ag19,4.0,250000,0.01022,0.009946629735628768,-0.0002733702643712317,0.0002733702643712317
ag19,5.0,250000,0.01216,0.01194302559096401,-0.00021697440903599083,0.00021697440903599083
ag19,6.0,250000,0.01471,0.014384054541961915,-0.000325945458038086,0.000325945458038086
ag19,7.0,250000,0.01818,0.019237703271473887,0.0010577032714738852,0.0010577032714738852
ag19,8.0,250000,0.02458,0.02576110611328486,0.0011811061132848584,0.0011811061132848584
ag19,9.0,250000,0.03842,0.03977853837819587,0.0013585383781958699,0.0013585383781958699
ag19,10.0,250000,0.05681,0.05825320545200172,0.0014432054520017237,0.0014432054520017237
ag19,11.0,250000,0.09276,0.07963229431503681,-0.013127705684963187,0.013127705684963187
ag19,0.0,300000,0.00591,0.00710957912635791,0.0011995791263579095,0.0011995791263579095
ag19,1.0,300000,0.00611,0.007110076548796583,0.0010000765487965827,0.0010000765487965827
ag19,2.0,300000,0.00684,0.007401132052985469,0.0005611320529854691,0.0005611320529854691
ag19,3.0,300000,0.0081,0.008384468415374033,0.0002844684153740333,0.0002844684153740333
