perfil,alpha,Re,real,previsto,erro,erro_absoluto
ag11,0.0,200000,0.00769,0.00768285,-7.150000000000038e-06,7.150000000000038e-06
ag11,1.0,200000,0.00771,0.007758474999999995,4.8474999999994876e-05,4.8474999999994876e-05
ag11,2.0,200000,0.00836,0.008309675000000006,-5.032499999999343e-05,5.032499999999343e-05
ag11,3.0,200000,0.00947,0.009652599999999985,0.0001825999999999859,0.0001825999999999859
ag11,4.0,200000,0.01101,0.010915000000000001,-9.49999999999996e-05,9.49999999999996e-05
ag11,5.0,200000,0.01287,0.012886874999999989,1.687499999998912e-05,1.687499999998912e-05
ag11,6.0,200000,0.01543,0.015674524999999998,0.0002445249999999989,0.0002445249999999989
ag11,7.0,200000,0.0187,0.019099525000000016,0.00039952500000001515,0.00039952500000001515
ag11,8.0,200000,0.02342,0.023325200000000025,-9.479999999997477e-05,9.479999999997477e-05
ag11,9.0,200000,0.02944,0.02897054999999998,-0.00046945000000002055,0.00046945000000002055
ag11,10.0,200000,0.03866,0.03382490000000002,-0.004835099999999981,0.004835099999999981
ag11,11.0,200000,0.04837,0.039522450000000015,-0.008847549999999989,0.008847549999999989
ag11,12.0,200000,0.12046,0.05187107499999997,-0.06858892500000002,0.06858892500000002
ag11,0.0,250000,0.00673,0.006844624999999993,0.0001146249999999932,0.0001146249999999932
ag11,1.0,250000,0.00696,0.006941324999999997,-1.8675000000002717e-05,1.8675000000002717e-05
ag11,2.0,250000,0.00773,0.007795875,6.587499999999996e-05,6.587499999999996e-05
ag11,3.0,250000,0.00884,0.00890634999999998,6.634999999997893e-05,6.634999999997893e-05
ag11,4.0,250000,0.0103,0.01021954999999999,-8.045000000000968e-05,8.045000000000968e-05
ag11,5.0,250000,0.01198,0.012037824999999986,5.7824999999987053e-05,5.7824999999987053e-05
ag11,6.0,250000,0.01428,0.014661000000000004,0.0003810000000000046,0.0003810000000000046
ag11,7.0,250000,0.0173,0.01789937500000001,0.0005993750000000096,0.0005993750000000096
ag11,8.0,250000,0.0207,0.02152484999999998,0.0008248499999999812,0.0008248499999999812
ag11,9.0,250000,0.02551,0.026697675000000004,0.0011876750000000026,0.0011876750000000026
ag11,10.0,250000,0.03214,0.031806899999999985,-0.0003331000000000167,0.0003331000000000167
ag11,11.0,250000,0.04166,0.03657930000000009,-0.00508069999999991,0.00508069999999991
ag11,12.0,250000,0.05386,0.046609875,-0.007250124999999996,0.007250124999999996
ag11,0.0,300000,0.00609,0.0062507000000000135,0.0001607000000000136,0.0001607000000000136
ag11,1.0,300000,0.00648,0.006418575000000005,-6.14249999999943e-05,6.14249999999943e-05
ag11,2.0,300000,0.0073,0.007383974999999994,8.397499999999395e-05,8.397499999999395e-05
ag11,3.0,300000,0.00841,0.008422625,1.2624999999998748e-05,1.2624999999998748e-05
ag11,4.0,300000,0.00978,0.00971932499999999,-6.0675000000010026e-05,6.0675000000010026e-05
ag11,5.0,300000,0.01135,0.01152817500000002,0.00017817500000001998,0.00017817500000001998
ag11,6.0,300000,0.01338,0.014013625000000014,0.0006336250000000144,0.0006336250000000144
ag11,7.0,300000,0.0159,0.016876750000000006,0.0009767500000000054,0.0009767500000000054
ag11,8.0,300000,0.01969,0.02041497499999998,0.0007249749999999819,0.0007249749999999819
ag11,9.0,300000,0.02406,0.0254817,0.001421699999999998,0.001421699999999998
ag11,10.0,300000,0.02998,0.030433624999999985,0.0004536249999999853,0.0004536249999999853
ag11,11.0,300000,0.03664,0.033683600000000015,-0.002956399999999984,0.002956399999999984
ag11,12.0,300000,0.04172,0.04414290000000007,0.002422900000000068,0.002422900000000068
ag18,0.0,200000,0.00756,0.007554850000000006,-5.149999999993701e-06,5.149999999993701e-06
ag18,1.0,200000,0.00751,0.007587374999999992,7.737499999999151e-05,7.737499999999151e-05
ag18,2.0,200000,0.00799,0.00806927500000002,7.927500000001926e-05,7.927500000001926e-05
ag18,3.0,200000,0.00906,0.009221700000000017,0.00016170000000001634,0.00016170000000001634
ag18,4.0,200000,0.01077,0.010668799999999992,-0.00010120000000000788,0.00010120000000000788
ag18,5.0,200000,0.01285,0.012629050000000017,-0.00022094999999998366,0.00022094999999998366
