perfil,alpha,Re,real,previsto,erro,erro_absoluto
2032c,0.0,200000,0.7034,0.7258779999999999,0.022477999999999887,0.022477999999999887
2032c,1.0,200000,0.8143,0.8045940000000016,-0.009705999999998438,0.009705999999998438
2032c,2.0,200000,0.918,0.9069950000000035,-0.01100499999999649,0.01100499999999649
2032c,3.0,200000,1.0252,1.0215110000000032,-0.0036889999999967227,0.0036889999999967227
2032c,4.0,200000,1.1316,1.1112404999999996,-0.020359500000000308,0.020359500000000308
2032c,5.0,200000,1.2372,1.250099000000001,0.012899000000000882,0.012899000000000882
2032c,6.0,200000,1.3398,1.3302460000000003,-0.00955399999999984,0.00955399999999984
2032c,7.0,200000,1.4327,1.4236200000000037,-0.009079999999996424,0.009079999999996424
2032c,8.0,200000,1.4812,1.480166500000002,-0.0010334999999981331,0.0010334999999981331
2032c,9.0,200000,1.5261,1.5129585000000025,-0.013141499999997475,0.013141499999997475
2032c,10.0,200000,1.5156,1.5111640000000037,-0.004435999999996332,0.004435999999996332
2032c,11.0,200000,1.4739,1.4806739999999987,0.0067739999999987255,0.0067739999999987255
2032c,12.0,200000,1.432,1.4531034999999983,0.021103499999998387,0.021103499999998387
2032c,0.0,250000,0.704,0.7325289999999989,0.028528999999998916,0.028528999999998916
2032c,1.0,250000,0.8158,0.8124159999999992,-0.0033840000000007198,0.0033840000000007198
2032c,3.0,250000,1.0278,1.0339815000000032,0.006181500000003171,0.006181500000003171
2032c,4.0,250000,1.1343,1.1201939999999997,-0.014106000000000396,0.014106000000000396
2032c,5.0,250000,1.2399,1.2505775000000035,0.010677500000003448,0.010677500000003448
2032c,6.0,250000,1.342,1.333555000000003,-0.00844499999999715,0.00844499999999715
2032c,7.0,250000,1.4385,1.4307205000000016,-0.007779499999998274,0.007779499999998274
2032c,8.0,250000,1.4884,1.4828090000000043,-0.005590999999995683,0.005590999999995683
2032c,9.0,250000,1.5288,1.5172029999999972,-0.011597000000002744,0.011597000000002744
2032c,10.0,250000,1.5092,1.5089605000000006,-0.000239499999999504,0.000239499999999504
2032c,11.0,250000,1.475,1.4782699999999993,0.003269999999999218,0.003269999999999218
2032c,12.0,250000,1.4443,1.4554984999999987,0.011198499999998779,0.011198499999998779
2032c,0.0,300000,0.7052,0.735032,0.02983199999999997,0.02983199999999997
2032c,1.0,300000,0.8171,0.8116160000000009,-0.005483999999999156,0.005483999999999156
2032c,2.0,300000,0.9225,0.9095995000000023,-0.01290049999999765,0.01290049999999765
2032c,3.0,300000,1.0304,1.0271324999999984,-0.003267500000001533,0.003267500000001533
2032c,4.0,300000,1.1372,1.1135500000000018,-0.023649999999998172,0.023649999999998172
2032c,5.0,300000,1.243,1.252579999999999,0.009579999999998812,0.009579999999998812
2032c,6.0,300000,1.3456,1.3389964999999981,-0.006603500000001761,0.006603500000001761
2032c,7.0,300000,1.4438,1.4307390000000033,-0.013060999999996659,0.013060999999996659
2032c,8.0,300000,1.4949,1.4879965,-0.006903499999999951,0.006903499999999951
2032c,9.0,300000,1.5175,1.5078650000000005,-0.009634999999999616,0.009634999999999616
2032c,10.0,300000,1.4888,1.4930650000000023,0.004265000000002406,0.004265000000002406
2032c,11.0,300000,1.4611,1.467614999999996,0.00651499999999583,0.00651499999999583
2032c,12.0,300000,1.4504,1.4549030000000003,0.004503000000000368,0.004503000000000368
a18,0.0,200000,0.6005,0.6268349999999979,0.026334999999997888,0.026334999999997888
a18,1.0,200000,0.713,0.7037294999999982,-0.009270500000001736,0.009270500000001736
a18,2.0,200000,0.8216,0.8163259999999986,-0.005274000000001444,0.005274000000001444
a18,3.0,200000,0.926,0.9235904999999974,-0.002409500000002618,0.002409500000002618
a18,4.0,200000,1.0202,1.006096499999998,-0.014103500000002045,0.014103500000002045
a18,5.0,200000,1.0911,1.097838500000001,0.006738500000001091,0.006738500000001091
a18,6.0,200000,1.1554,1.1516099999999965,-0.0037900000000035128,0.0037900000000035128
a18,7.0,200000,1.2311,1.2154219999999984,-0.015678000000001635,0.015678000000001635
a18,0.0,250000,0.6035,0.6200519999999984,0.016551999999998346,0.016551999999998346
a18,1.0,250000,0.7137,0.7047564999999999,-0.008943500000000104,0.008943500000000104
a18,2.0,250000,0.8215,0.8154874999999978,-0.006012500000002197,0.006012500000002197
