perfil,alpha,Re,real,previsto,erro,erro_absoluto
ag11,0.0,200000,0.2251,0.24673250000000008,0.021632500000000082,0.021632500000000082
ag11,1.0,200000,0.353,0.3372540000000005,-0.015745999999999483,0.015745999999999483
ag11,2.0,200000,0.4516,0.4603155000000004,0.008715500000000376,0.008715500000000376
ag11,3.0,200000,0.5545,0.5430085000000004,-0.011491499999999544,0.011491499999999544
ag11,4.0,200000,0.6583,0.6433565,-0.014943499999999998,0.014943499999999998
ag11,5.0,200000,0.7621,0.7721050000000008,0.010005000000000819,0.010005000000000819
ag11,6.0,200000,0.8634,0.8535190000000005,-0.009880999999999474,0.009880999999999474
ag11,7.0,200000,0.962,0.9487330000000006,-0.013266999999999363,0.013266999999999363
ag11,8.0,200000,1.057,1.0377410000000002,-0.019258999999999693,0.019258999999999693
ag11,9.0,200000,1.1464,1.0806544999999994,-0.06574550000000068,0.06574550000000068
ag11,10.0,200000,1.2132,1.0697230000000009,-0.1434769999999992,0.1434769999999992
ag11,11.0,200000,1.2471,1.0560800000000006,-0.19101999999999952,0.19101999999999952
ag11,12.0,200000,0.9682,1.0161835000000004,0.0479835000000004,0.0479835000000004
ag11,0.0,250000,0.2404,0.2505144999999998,0.010114499999999804,0.010114499999999804
ag11,1.0,250000,0.346,0.3425455000000003,-0.003454499999999694,0.003454499999999694
ag11,2.0,250000,0.4481,0.4615820000000001,0.013482000000000105,0.013482000000000105
ag11,3.0,250000,0.5531,0.5452255000000001,-0.007874499999999895,0.007874499999999895
ag11,4.0,250000,0.6585,0.6507565000000001,-0.007743499999999903,0.007743499999999903
ag11,5.0,250000,0.7638,0.7767295000000004,0.012929500000000371,0.012929500000000371
ag11,6.0,250000,0.8664,0.8547434999999995,-0.011656500000000403,0.011656500000000403
ag11,7.0,250000,0.9654,0.9508569999999996,-0.014543000000000417,0.014543000000000417
ag11,8.0,250000,1.0627,1.0407724999999994,-0.021927500000000544,0.021927500000000544
ag11,9.0,250000,1.1536,1.0917249999999996,-0.061875000000000346,0.061875000000000346
ag11,10.0,250000,1.2311,1.0833009999999998,-0.14779900000000024,0.14779900000000024
ag11,11.0,250000,1.2749,1.0692939999999997,-0.20560600000000018,0.20560600000000018
ag11,12.0,250000,1.2522,1.0388349999999995,-0.21336500000000047,0.21336500000000047
ag11,0.0,300000,0.2412,0.25752499999999984,0.01632499999999984,0.01632499999999984
ag11,1.0,300000,0.3415,0.3529335,0.011433499999999985,0.011433499999999985
ag11,2.0,300000,0.446,0.46435649999999984,0.01835649999999983,0.01835649999999983
ag11,3.0,300000,0.5523,0.5492845,-0.00301550000000006,0.00301550000000006
