perfil,alpha,Re,real,previsto,erro,erro_absoluto
ag04,0.0,200000,-0.0378,-0.04036761547619048,-0.002567615476190478,0.002567615476190478
ag04,1.0,200000,-0.042,-0.04099538630952381,0.0010046136904761915,0.0010046136904761915
ag04,2.0,200000,-0.0368,-0.04018431091269841,-0.0033843109126984114,0.0033843109126984114
ag04,3.0,200000,-0.0337,-0.03716708571428572,-0.0034670857142857225,0.0034670857142857225
ag04,4.0,200000,-0.0317,-0.03522005337301586,-0.0035200533730158634,0.0035200533730158634
ag04,5.0,200000,-0.0303,-0.03400904226190476,-0.0037090422619047575,0.0037090422619047575
ag04,6.0,200000,-0.029,-0.03272534404761904,-0.0037253440476190357,0.0037253440476190357
ag04,7.0,200000,-0.0265,-0.029008666468253966,-0.0025086664682539665,0.0025086664682539665
ag04,8.0,200000,-0.0226,-0.024868792658730175,-0.0022687926587301767,0.0022687926587301767
ag04,9.0,200000,-0.0183,-0.02242957738095238,-0.00412957738095238,0.00412957738095238
ag04,10.0,200000,-0.0139,-0.020855954563492065,-0.006955954563492066,0.006955954563492066
ag04,11.0,200000,-0.0439,-0.022952689087301588,0.020947310912698414,0.020947310912698414
ag04,12.0,200000,-0.0414,-0.02369501051587302,0.01770498948412698,0.01770498948412698
ag04,0.0,250000,-0.0414,-0.041486033333333346,-8.603333333334628e-05,8.603333333334628e-05
ag04,1.0,250000,-0.0395,-0.04208227857142858,-0.0025822785714285784,0.0025822785714285784
ag04,2.0,250000,-0.0356,-0.040782144841269845,-0.005182144841269845,0.005182144841269845
ag04,3.0,250000,-0.0333,-0.03754108035714287,-0.004241080357142865,0.004241080357142865
ag04,4.0,250000,-0.0319,-0.0357011009920635,-0.0038011009920635025,0.0038011009920635025
ag04,5.0,250000,-0.0308,-0.0343046148809524,-0.0035046148809523975,0.0035046148809523975
ag04,6.0,250000,-0.0297,-0.03296005773809524,-0.003260057738095238,0.003260057738095238
ag04,7.0,250000,-0.0276,-0.029437640873015865,-0.001837640873015866,0.001837640873015866
ag04,8.0,250000,-0.024,-0.025359746825396833,-0.0013597468253968327,0.0013597468253968327
ag04,9.0,250000,-0.019,-0.022696755357142856,-0.0036967553571428564,0.0036967553571428564
ag04,10.0,250000,-0.0144,-0.021275408730158728,-0.006875408730158728,0.006875408730158728
ag04,11.0,250000,-0.0328,-0.022646134920634924,0.010153865079365079,0.010153865079365079
ag04,0.0,300000,-0.042,-0.04163009484126984,0.00036990515873016466,0.00036990515873016466
ag04,1.0,300000,-0.0379,-0.04199119007936508,-0.0040911900793650785,0.0040911900793650785
ag04,2.0,300000,-0.035,-0.04062277341269842,-0.005622773412698415,0.005622773412698415
ag04,3.0,300000,-0.0332,-0.03766038789682541,-0.004460387896825409,0.004460387896825409
ag04,4.0,300000,-0.0321,-0.035759018849206355,-0.003659018849206358,0.003659018849206358
ag04,5.0,300000,-0.0312,-0.03477984107142859,-0.0035798410714285925,0.0035798410714285925
ag04,6.0,300000,-0.0302,-0.03326027321428573,-0.003060273214285727,0.003060273214285727
ag04,7.0,300000,-0.0282,-0.030104546428571424,-0.001904546428571425,0.001904546428571425
ag04,8.0,300000,-0.0248,-0.02570659087301589,-0.000906590873015891,0.000906590873015891
ag04,9.0,300000,-0.0204,-0.02249380456349207,-0.00209380456349207,0.00209380456349207
ag04,10.0,300000,-0.0153,-0.02138475873015873,-0.0060847587301587295,0.0060847587301587295
ag04,11.0,300000,-0.0215,-0.022243901587301593,-0.0007439015873015944,0.0007439015873015944
ag04,12.0,300000,-0.0349,-0.023223925396825405,0.011676074603174595,0.011676074603174595
ag19,0.0,200000,-0.0511,-0.05346398950216451,-0.0023639895021645083,0.0023639895021645083
ag19,1.0,200000,-0.06,-0.05387734188311688,0.006122658116883117,0.006122658116883117
ag19,2.0,200000,-0.055,-0.052960253787878796,0.0020397462121212045,0.0020397462121212045
ag19,3.0,200000,-0.0508,-0.05035504347041849,0.00044495652958150694,0.00044495652958150694
ag19,4.0,200000,-0.0485,-0.04828594644660899,0.00021405355339101234,0.00021405355339101234
ag19,5.0,200000,-0.0471,-0.046817411525974066,0.00028258847402593684,0.00028258847402593684
ag19,6.0,200000,-0.0455,-0.04509173988095241,0.0004082601190475918,0.0004082601190475918
ag19,7.0,200000,-0.043,-0.042881643056943065,0.00011835694305693117,0.00011835694305693117
ag19,8.0,200000,-0.0391,-0.03949213154900656,-0.0003921315490065594,0.0003921315490065594
ag19,9.0,200000,-0.0335,-0.0371612613872239,-0.0036612613872238978,0.0036612613872238978
ag19,10.0,200000,-0.0304,-0.037008088172938186,-0.006608088172938186,0.006608088172938186
ag19,11.0,200000,-0.065,-0.04543311396658901,0.019566886033410995,0.019566886033410995
ag19,0.0,250000,-0.0563,-0.05400518970057719,0.0022948102994228142,0.0022948102994228142
ag19,1.0,250000,-0.0581,-0.05432058493867241,0.00377941506132759,0.00377941506132759
ag19,2.0,250000,-0.0536,-0.05304217065295815,0.0005578293470418494,0.0005578293470418494
