perfil,alpha,Re,real,previsto,erro,erro_absoluto
2032c,0.0,200000,-0.13,-0.12882305952380954,0.0011769404761904634,0.0011769404761904634
2032c,1.0,200000,-0.1292,-0.12872834285714282,0.00047165714285718474,0.00047165714285718474
2032c,2.0,200000,-0.1274,-0.12789111309523812,-0.0004911130952381104,0.0004911130952381104
2032c,3.0,200000,-0.1265,-0.12700112896825405,-0.0005011289682540498,0.0005011289682540498
2032c,4.0,200000,-0.1257,-0.1259087148809524,-0.0002087148809523931,0.0002087148809523931
2032c,5.0,200000,-0.1248,-0.1247962347222222,3.7652777777896773e-06,3.7652777777896773e-06
2032c,6.0,200000,-0.1237,-0.12332807996031754,0.00037192003968246345,0.00037192003968246345
2032c,7.0,200000,-0.121,-0.12086397857142855,0.00013602142857144228,0.00013602142857144228
2032c,8.0,200000,-0.1135,-0.11510936607142856,-0.0016093660714285585,0.0016093660714285585
2032c,9.0,200000,-0.1043,-0.10383664285714284,0.0004633571428571681,0.0004633571428571681
2032c,10.0,200000,-0.0941,-0.09674769821428572,-0.002647698214285718,0.002647698214285718
2032c,11.0,200000,-0.0934,-0.09540106011904764,-0.0020010601190476457,0.0020010601190476457
2032c,12.0,200000,-0.0953,-0.09515423273809528,0.00014576726190471123,0.00014576726190471123
2032c,0.0,250000,-0.1297,-0.1286063359126984,0.0010936640873016046,0.0010936640873016046
2032c,1.0,250000,-0.1293,-0.12853055257936505,0.00076944742063495,0.00076944742063495
2032c,3.0,250000,-0.127,-0.1269740125,2.598749999999095e-05,2.598749999999095e-05
2032c,4.0,250000,-0.1262,-0.12611544603174601,8.455396825399197e-05,8.455396825399197e-05
2032c,5.0,250000,-0.1254,-0.12497409880952377,0.0004259011904762383,0.0004259011904762383
2032c,6.0,250000,-0.1241,-0.12376748134920636,0.00033251865079364507,0.00033251865079364507
2032c,7.0,250000,-0.1221,-0.12145014960317464,0.0006498503968253577,0.0006498503968253577
2032c,8.0,250000,-0.1144,-0.11487862619047619,-0.00047862619047618626,0.00047862619047618626
2032c,9.0,250000,-0.1048,-0.10320358154761904,0.0015964184523809682,0.0015964184523809682
2032c,10.0,250000,-0.0947,-0.09628718511904763,-0.0015871851190476238,0.0015871851190476238
2032c,11.0,250000,-0.0939,-0.09526672261904762,-0.0013667226190476195,0.0013667226190476195
2032c,12.0,250000,-0.0941,-0.0949288130952381,-0.0008288130952380929,0.0008288130952380929
2032c,0.0,300000,-0.1298,-0.12889615714285707,0.000903842857142928,0.000903842857142928
2032c,1.0,300000,-0.1294,-0.1288491238095237,0.0005508761904762793,0.0005508761904762793
2032c,2.0,300000,-0.1283,-0.12830352896825392,-3.528968253924125e-06,3.528968253924125e-06
2032c,3.0,300000,-0.1276,-0.12756513551587292,3.486448412706733e-05,3.486448412706733e-05
2032c,4.0,300000,-0.1268,-0.12652726031746026,0.000272739682539741,0.000272739682539741
2032c,5.0,300000,-0.126,-0.12547009325396816,0.0005299067460318441,0.0005299067460318441
2032c,6.0,300000,-0.1248,-0.1240205575396825,0.0007794424603174976,0.0007794424603174976
2032c,7.0,300000,-0.1232,-0.12217349841269837,0.001026501587301637,0.001026501587301637
2032c,8.0,300000,-0.1154,-0.1160751583333333,-0.0006751583333333006,0.0006751583333333006
2032c,9.0,300000,-0.1037,-0.1024795125,0.001220487500000006,0.001220487500000006
2032c,10.0,300000,-0.0946,-0.09600923630952382,-0.0014092363095238175,0.0014092363095238175
2032c,11.0,300000,-0.0936,-0.09461268452380951,-0.0010126845238095095,0.0010126845238095095
2032c,12.0,300000,-0.0899,-0.0942291083333333,-0.004329108333333304,0.004329108333333304
a18,0.0,200000,-0.1242,-0.12087614861111112,0.003323851388888882,0.003323851388888882
a18,1.0,200000,-0.1223,-0.12060363134920637,0.001696368650793631,0.001696368650793631
a18,2.0,200000,-0.1201,-0.11956591626984128,0.0005340837301587159,0.0005340837301587159
a18,3.0,200000,-0.1175,-0.11712791507936503,0.0003720849206349658,0.0003720849206349658
a18,4.0,200000,-0.1132,-0.11357073515512256,-0.0003707351551225646,0.0003707351551225646
a18,5.0,200000,-0.1068,-0.10701461580086563,-0.00021461580086562515,0.00021461580086562515
a18,6.0,200000,-0.0984,-0.10004784437229432,-0.001647844372294316,0.001647844372294316
a18,7.0,200000,-0.092,-0.09707990263070261,-0.005079902630702612,0.005079902630702612
a18,0.0,250000,-0.123,-0.12090351706349209,0.0020964829365079096,0.0020964829365079096
a18,1.0,250000,-0.1212,-0.12057268313492064,0.0006273168650793581,0.0006273168650793581
a18,2.0,250000,-0.1194,-0.11938659900793652,1.3400992063483663e-05,1.3400992063483663e-05
a18,3.0,250000,-0.117,-0.11722672222222225,-0.00022672222222223926,0.00022672222222223926
a18,4.0,250000,-0.1128,-0.11393550023448772,-0.0011355002344877185,0.0011355002344877185
a18,5.0,250000,-0.1074,-0.10810503365800855,-0.0007050336580085581,0.0007050336580085581
a18,6.0,250000,-0.0999,-0.09940108425324672,0.0004989157467532868,0.0004989157467532868
a18,7.0,250000,-0.0935,-0.09498873100371855,-0.0014887310037185464,0.0014887310037185464
a18,8.0,250000,-0.0861,-0.09237535329998947,-0.006275353299989475,0.006275353299989475
a18,0.0,300000,-0.1222,-0.12024799424603172,0.0019520057539682834,0.0019520057539682834
a18,1.0,300000,-0.1206,-0.11995879603174599,0.0006412039682540116,0.0006412039682540116
a18,2.0,300000,-0.119,-0.11905838452380946,-5.8384523809462685e-05,5.8384523809462685e-05
a18,3.0,300000,-0.1168,-0.11709702797619044,-0.0002970279761904393,0.0002970279761904393
a18,4.0,300000,-0.1131,-0.11356052222222221,-0.00046052222222220385,0.00046052222222220385
a18,5.0,300000,-0.108,-0.10765698441558434,0.0003430155844156568,0.0003430155844156568
a18,6.0,300000,-0.1018,-0.09958567012987014,0.002214329870129858,0.002214329870129858
a18,7.0,300000,-0.0949,-0.09540617976190482,-0.0005061797619048264,0.0005061797619048264
a18,8.0,300000,-0.0879,-0.09272942150262026,-0.004829421502620251,0.004829421502620251
a18sm,0.0,200000,-0.1199,-0.12041629623015879,-0.0005162962301587803,0.0005162962301587803
a18sm,1.0,200000,-0.1231,-0.12050666686507944,0.002593333134920564,0.002593333134920564
a18sm,2.0,200000,-0.1222,-0.12017684007936508,0.002023159920634926,0.002023159920634926
a18sm,3.0,200000,-0.1185,-0.11840068353174603,9.931646825396545e-05,9.931646825396545e-05
a18sm,4.0,200000,-0.1156,-0.11557454424603172,2.5455753968270378e-05,2.5455753968270378e-05
a18sm,5.0,200000,-0.1108,-0.11156898264790764,-0.0007689826479076456,0.0007689826479076456
a18sm,6.0,200000,-0.103,-0.10347282003968253,-0.00047282003968253383,0.00047282003968253383
a18sm,7.0,200000,-0.0951,-0.09842293095238093,-0.003322930952380926,0.003322930952380926
a18sm,8.0,200000,-0.0892,-0.09063624841269842,-0.0014362484126984182,0.0014362484126984182
a18sm,9.0,200000,-0.084,-0.07858052777777777,0.005419472222222235,0.005419472222222235
a18sm,10.0,200000,-0.0723,-0.06529909503968256,0.007000904960317439,0.007000904960317439
a18sm,11.0,200000,-0.0408,-0.05225929246031747,-0.011459292460317468,0.011459292460317468
a18sm,12.0,200000,-0.0409,-0.05073768968253969,-0.009837689682539688,0.009837689682539688
a18sm,0.0,250000,-0.1223,-0.12054576329365084,0.001754236706349166,0.001754236706349166
a18sm,1.0,250000,-0.1225,-0.12059932559523817,0.0019006744047618263,0.0019006744047618263
a18sm,2.0,250000,-0.1207,-0.12004172738095242,0.0006582726190475785,0.0006582726190475785
a18sm,3.0,250000,-0.1177,-0.11777420555555553,-7.420555555552599e-05,7.420555555552599e-05
a18sm,4.0,250000,-0.1151,-0.11534604126984124,-0.00024604126984124897,0.00024604126984124897
a18sm,5.0,250000,-0.1109,-0.11154637927489178,-0.0006463792748917785,0.0006463792748917785
a18sm,6.0,250000,-0.1043,-0.10403131587301585,0.00026868412698415056,0.00026868412698415056
a18sm,7.0,250000,-0.0968,-0.09896177956349204,-0.0021617795634920473,0.0021617795634920473
a18sm,8.0,250000,-0.0907,-0.0912323695165945,-0.0005323695165944942,0.0005323695165944942
a18sm,9.0,250000,-0.0751,-0.076937531024531,-0.0018375310245310056,0.0018375310245310056
a18sm,10.0,250000,-0.0612,-0.0641581902777778,-0.002958190277777807,0.002958190277777807
a18sm,11.0,250000,-0.043,-0.05177129206349206,-0.008771292063492066,0.008771292063492066
a18sm,12.0,250000,-0.0389,-0.05035978928571429,-0.01145978928571429,0.01145978928571429
a18sm,0.0,300000,-0.1229,-0.11998289363275613,0.002917106367243863,0.002917106367243863
a18sm,1.0,300000,-0.1217,-0.12001058093434347,0.0016894190656565333,0.0016894190656565333
a18sm,2.0,300000,-0.1196,-0.11943201843434352,0.0001679815656564776,0.0001679815656564776
a18sm,3.0,300000,-0.1173,-0.11718104660894671,0.00011895339105329195,0.00011895339105329195
a18sm,4.0,300000,-0.1149,-0.11472617160894664,0.00017382839105335723,0.00017382839105335723
a18sm,5.0,300000,-0.111,-0.1113636389790765,-0.0003636389790764999,0.0003636389790764999
a18sm,6.0,300000,-0.1053,-0.10506634998196249,0.00023365001803751784,0.00023365001803751784
a18sm,7.0,300000,-0.0992,-0.09931584484126982,-0.00011584484126982153,0.00011584484126982153
a18sm,8.0,300000,-0.0919,-0.09262669034992782,-0.0007266903499278249,0.0007266903499278249
a18sm,9.0,300000,-0.0863,-0.08239429173881678,0.0039057082611832217,0.0039057082611832217
a63a108c,0.0,200000,-0.0025,-0.005916082142857142,-0.0034160821428571423,0.0034160821428571423
a63a108c,1.0,200000,-0.0129,-0.005818391666666667,0.007081608333333333,0.007081608333333333
a63a108c,2.0,200000,-0.0039,-0.002976345238095237,0.0009236547619047627,0.0009236547619047627
a63a108c,3.0,200000,0.0024,-0.00018578154761904767,-0.0025857815476190474,0.0025857815476190474
a63a108c,4.0,200000,0.0017,0.000937427380952381,-0.0007625726190476189,0.0007625726190476189
a63a108c,5.0,200000,0.0016,0.001477891666666667,-0.00012210833333333305,0.00012210833333333305
a63a108c,6.0,200000,0.0021,0.0017728410714285712,-0.00032715892857142865,0.00032715892857142865
