perfil,alpha,Re,real,previsto,erro,erro_absoluto
ag11,0.0,200000,-0.0394,-0.04110933845136342,-0.0017093384513634235,0.0017093384513634235
ag11,1.0,200000,-0.0402,-0.04139383031644277,-0.0011938303164427677,0.0011938303164427677
ag11,2.0,200000,-0.0352,-0.04060903224645724,-0.005409032246457238,0.005409032246457238
ag11,3.0,200000,-0.0324,-0.03847129350741851,-0.006071293507418508,0.006071293507418508
ag11,4.0,200000,-0.0307,-0.03657981195378694,-0.0058798119537869405,0.0058798119537869405
ag11,5.0,200000,-0.0297,-0.03459539567793312,-0.00489539567793312,0.00489539567793312
ag11,6.0,200000,-0.0284,-0.0330760442289192,-0.0046760442289192,0.0046760442289192
ag11,7.0,200000,-0.0265,-0.030279700601250605,-0.0037797006012506053,0.0037797006012506053
ag11,8.0,200000,-0.0244,-0.026507757409529452,-0.0021077574095294503,0.0021077574095294503
ag11,9.0,200000,-0.0216,-0.02416797458124665,-0.0025679745812466487,0.0025679745812466487
ag11,10.0,200000,-0.0179,-0.02414283659423362,-0.006242836594233622,0.006242836594233622
ag11,11.0,200000,-0.0129,-0.025031518496590525,-0.012131518496590525,0.012131518496590525
ag11,12.0,200000,-0.0525,-0.026529442306114336,0.025970557693885662,0.025970557693885662
ag11,0.0,250000,-0.0415,-0.04129033705044957,0.0002096629495504307,0.0002096629495504307
ag11,1.0,250000,-0.0377,-0.04171398857161358,-0.004013988571613586,0.004013988571613586
ag11,2.0,250000,-0.0341,-0.040720162723850276,-0.006620162723850277,0.006620162723850277
ag11,3.0,250000,-0.0321,-0.038432811075961054,-0.006332811075961058,0.006332811075961058
ag11,4.0,250000,-0.031,-0.036720718609631116,-0.005720718609631116,0.005720718609631116
ag11,5.0,250000,-0.0302,-0.03510189268370515,-0.0049018926837051495,0.0049018926837051495
ag11,6.0,250000,-0.0292,-0.03358784407860656,-0.004387844078606557,0.004387844078606557
ag11,7.0,250000,-0.0274,-0.03085982625661373,-0.0034598262566137294,0.0034598262566137294
ag11,8.0,250000,-0.0254,-0.027136638289760314,-0.0017366382897603151,0.0017366382897603151
ag11,9.0,250000,-0.0228,-0.02445824151246357,-0.0016582415124635694,0.0016582415124635694
ag11,10.0,250000,-0.0194,-0.02427682640904844,-0.004876826409048438,0.004876826409048438
ag11,11.0,250000,-0.0144,-0.025316209171193708,-0.010916209171193708,0.010916209171193708
ag11,12.0,250000,-0.0086,-0.026815744025691063,-0.018215744025691063,0.018215744025691063
ag11,0.0,300000,-0.0408,-0.04122751741267993,-0.0004275174126799272,0.0004275174126799272
ag11,1.0,300000,-0.0362,-0.0415788248862249,-0.005378824886224896,0.005378824886224896
ag11,2.0,300000,-0.0336,-0.04063183230565737,-0.007031832305657369,0.007031832305657369
ag11,3.0,300000,-0.0321,-0.03851230012025014,-0.006412300120250146,0.006412300120250146
ag11,4.0,300000,-0.0313,-0.03688545619889374,-0.005585456198893737,0.005585456198893737
ag11,5.0,300000,-0.0307,-0.03543615798460802,-0.004736157984608021,0.004736157984608021
ag11,6.0,300000,-0.0298,-0.033942962223424744,-0.004142962223424744,0.004142962223424744
ag11,7.0,300000,-0.0283,-0.03135544398148148,-0.0030554439814814843,0.0030554439814814843
ag11,8.0,300000,-0.0261,-0.027826834652194196,-0.0017268346521941945,0.0017268346521941945
ag11,9.0,300000,-0.0236,-0.02502964594368052,-0.0014296459436805194,0.0014296459436805194
ag11,10.0,300000,-0.0205,-0.024851722969895025,-0.004351722969895024,0.004351722969895024
ag11,11.0,300000,-0.0163,-0.026438806922516475,-0.010138806922516477,0.010138806922516477
ag11,12.0,300000,-0.0111,-0.02783353185637888,-0.01673353185637888,0.01673353185637888
ag18,0.0,200000,-0.0529,-0.050462368901904205,0.002437631098095798,0.002437631098095798
ag18,1.0,200000,-0.059,-0.05085392458973487,0.00814607541026513,0.00814607541026513
ag18,2.0,200000,-0.054,-0.049749343571216346,0.004250656428783653,0.004250656428783653
ag18,3.0,200000,-0.0502,-0.0472757503412981,0.0029242496587019023,0.0029242496587019023
ag18,4.0,200000,-0.048,-0.045557001122923865,0.0024429988770761357,0.0024429988770761357
ag18,5.0,200000,-0.0465,-0.04416635343773864,0.0023336465622613572,0.0023336465622613572
ag18,6.0,200000,-0.045,-0.04268432564192341,0.002315674358076586,0.002315674358076586
ag18,7.0,200000,-0.0382,-0.04015134105197635,-0.001951341051976349,0.001951341051976349
ag18,8.0,200000,-0.0383,-0.037072610852573365,0.0012273891474266357,0.0012273891474266357
ag18,9.0,200000,-0.0325,-0.03505511530784034,-0.00255511530784034,0.00255511530784034
ag18,10.0,200000,-0.0309,-0.03588226943241947,-0.004982269432419469,0.004982269432419469
ag18,11.0,200000,-0.0615,-0.04476110055916313,0.01673889944083687,0.01673889944083687
ag18,12.0,200000,-0.079,-0.047167944606782135,0.031832055393217866,0.031832055393217866
ag18,0.0,250000,-0.0568,-0.05111443347162096,0.005685566528379045,0.005685566528379045
ag18,1.0,250000,-0.0568,-0.05147545701659448,0.005324542983405525,0.005324542983405525
ag18,2.0,250000,-0.0526,-0.0499126212361712,0.002687378763828803,0.002687378763828803
ag18,3.0,250000,-0.0499,-0.047321730387205344,0.0025782696127946564,0.0025782696127946564
ag18,4.0,250000,-0.0483,-0.04582385471380468,0.0024761452861953234,0.0024761452861953234
ag18,5.0,250000,-0.0472,-0.044661557888407796,0.0025384421115922026,0.0025384421115922026
ag18,6.0,250000,-0.0459,-0.043316755291005225,0.002583244708994778,0.002583244708994778
ag18,7.0,250000,-0.0437,-0.04066732254088498,0.0030326774591150213,0.0030326774591150213
ag18,8.0,250000,-0.0398,-0.036808582599807585,0.002991417400192417,0.002991417400192417
ag18,9.0,250000,-0.0339,-0.0340869948593074,-0.0001869948593073989,0.0001869948593073989
ag18,10.0,250000,-0.0296,-0.03408469878547383,-0.004484698785473827,0.004484698785473827
ag18,11.0,250000,-0.0527,-0.042462045057720124,0.010237954942279873,0.010237954942279873
ag18,12.0,250000,-0.0546,-0.045285330838143366,0.009314669161856637,0.009314669161856637
ag18,0.0,300000,-0.0581,-0.051240959926647435,0.006859040073352564,0.006859040073352564
ag18,1.0,300000,-0.0552,-0.051523945244107756,0.0036760547558922427,0.0036760547558922427
ag18,2.0,300000,-0.0519,-0.050082381289081296,0.0018176187109187059,0.0018176187109187059
ag18,3.0,300000,-0.0499,-0.0475055946067821,0.002394405393217898,0.002394405393217898
ag18,4.0,300000,-0.0487,-0.04609507825877828,0.002604921741221719,0.002604921741221719
ag18,5.0,300000,-0.0477,-0.04496329360269362,0.0027367063973063807,0.0027367063973063807
ag18,6.0,300000,-0.0465,-0.043612274074074114,0.0028877259259258853,0.0028877259259258853
ag18,7.0,300000,-0.0445,-0.04117704173280423,0.0033229582671957664,0.0033229582671957664
ag18,8.0,300000,-0.0403,-0.03692377806360304,0.0033762219363969656,0.0033762219363969656
ag18,9.0,300000,-0.0362,-0.033587259106171614,0.0026127408938283886,0.0026127408938283886
ah79k135,0.0,200000,-0.0743,-0.08170497363516117,-0.007404973635161169,0.007404973635161169
ah79k135,1.0,200000,-0.0832,-0.08333890833703339,-0.00013890833703339434,0.00013890833703339434
ah79k135,2.0,200000,-0.0904,-0.0835867462579089,0.006813253742091088,0.006813253742091088
ah79k135,3.0,200000,-0.0898,-0.08297719969104986,0.006822800308950147,0.006822800308950147
ah79k135,4.0,200000,-0.0837,-0.07934718036685551,0.004352819633144489,0.004352819633144489
ah79k135,5.0,200000,-0.078,-0.07563310777185794,0.0023668922281420562,0.0023668922281420562
ah79k135,6.0,200000,-0.0717,-0.07220453521894779,-0.0005045352189477909,0.0005045352189477909
ah79k135,7.0,200000,-0.0596,-0.06712370639499396,-0.007523706394993959,0.007523706394993959
ah79k135,8.0,200000,-0.0393,-0.056181224013949004,-0.016881224013949002,0.016881224013949002
ah79k135,9.0,200000,-0.0225,-0.040952343656806146,-0.018452343656806147,0.018452343656806147
ah79k135,10.0,200000,-0.011,-0.03254015198412701,-0.021540151984127013,0.021540151984127013
ah79k135,11.0,200000,-0.0048,-0.026438206018518554,-0.021638206018518555,0.021638206018518555
ah79k135,12.0,200000,0.0001,-0.025355701322751348,-0.025455701322751347,0.025455701322751347
ah79k135,0.0,250000,-0.0561,-0.07930558816526606,-0.023205588165266064,0.023205588165266064
ah79k135,1.0,250000,-0.0662,-0.08142737445443983,-0.015227374454439835,0.015227374454439835
ah79k135,2.0,250000,-0.0732,-0.08281632527214068,-0.00961632527214068,0.00961632527214068
ah79k135,3.0,250000,-0.079,-0.08303121865237156,-0.004031218652371563,0.004031218652371563
ah79k135,4.0,250000,-0.085,-0.08181123934140476,0.0031887606585952466,0.0031887606585952466
ah79k135,5.0,250000,-0.0831,-0.07834158608262648,0.0047584139173735135,0.0047584139173735135
ah79k135,6.0,250000,-0.0752,-0.0745878151792652,0.0006121848207348013,0.0006121848207348013
ah79k135,7.0,250000,-0.0591,-0.0688342315934066,-0.009734231593406598,0.009734231593406598
ah79k135,8.0,250000,-0.0365,-0.05660842110389608,-0.02010842110389608,0.02010842110389608
ah79k135,9.0,250000,-0.0207,-0.041976248571336104,-0.021276248571336105,0.021276248571336105
ah79k135,10.0,250000,-0.0124,-0.03360359331640586,-0.02120359331640586,0.02120359331640586
ah79k135,11.0,250000,-0.0064,-0.026873916993654497,-0.020473916993654497,0.020473916993654497
ah79k135,12.0,250000,-0.0006,-0.025593109520109517,-0.024993109520109517,0.024993109520109517
ah79k135,0.0,300000,-0.0482,-0.075284711644102,-0.027084711644102,0.027084711644102
ah79k135,1.0,300000,-0.0553,-0.07705132559912843,-0.02175132559912843,0.02175132559912843
ah79k135,2.0,300000,-0.0621,-0.07954536252794041,-0.017445362527940406,0.017445362527940406
ah79k135,3.0,300000,-0.0671,-0.08146358864626663,-0.01436358864626662,0.01436358864626662
ah79k135,4.0,300000,-0.0726,-0.08205271483674285,-0.009452714836742857,0.009452714836742857
ah79k135,5.0,300000,-0.0777,-0.08012240152505445,-0.002422401525054449,0.002422401525054449
ah79k135,6.0,300000,-0.0759,-0.0767327402777778,-0.0008327402777777992,0.0008327402777777992
ah79k135,7.0,300000,-0.058,-0.0708142803571429,-0.012814280357142903,0.012814280357142903
ah79k135,8.0,300000,-0.0345,-0.05733882176527175,-0.022838821765271744,0.022838821765271744
ah79k135,9.0,300000,-0.02,-0.04255804433853181,-0.02255804433853181,0.02255804433853181
ah79k135,10.0,300000,-0.0134,-0.03497848471852221,-0.02157848471852221,0.02157848471852221
ah79k135,11.0,300000,-0.007,-0.028877792721167736,-0.021877792721167737,0.021877792721167737
ah79k135,12.0,300000,-0.0018,-0.02769760885873389,-0.025897608858733892,0.025897608858733892
as6093,0.0,200000,-0.1399,-0.13638060798460802,0.0035193920153919755,0.0035193920153919755
as6093,1.0,200000,-0.1369,-0.1362347564634439,0.0006652435365560871,0.0006652435365560871
as6093,2.0,200000,-0.1334,-0.13496816969095723,-0.001568169690957244,0.001568169690957244
as6093,3.0,200000,-0.1301,-0.13209647838504102,-0.001996478385041023,0.001996478385041023
as6093,4.0,200000,-0.1266,-0.12857447702621455,-0.0019744770262145606,0.0019744770262145606
as6093,5.0,200000,-0.1232,-0.12459767887806641,-0.0013976788780664107,0.0013976788780664107
