target,parametro,valor
CL,n_estimators,800
CL,max_depth,3
CL,learning_rate,0.1
CL,subsample,0.6
CL,colsample_bytree,0.8
CL,min_child_weight,7
CL,gamma,0.0
CL,reg_alpha,0.01
CL,reg_lambda,0.5
CL,objective,reg:squarederror
CL,random_state,42
CL,n_jobs,-1
CD,n_estimators,800
CD,max_depth,3
CD,learning_rate,0.1
CD,subsample,0.6
CD,colsample_bytree,0.8
CD,min_child_weight,7
CD,gamma,0.0
CD,reg_alpha,0.01
CD,reg_lambda,0.5
CD,objective,reg:squarederror
CD,random_state,42
CD,n_jobs,-1
CM,n_estimators,500
CM,max_depth,6
CM,learning_rate,0.05
CM,subsample,0.6
CM,colsample_bytree,1.0
CM,min_child_weight,3
CM,gamma,0.0
CM,reg_alpha,0.1
CM,reg_lambda,5.0
CM,objective,reg:squarederror
CM,random_state,42
CM,n_jobs,-1
