perfil,alpha,Re,real,previsto,erro,erro_absoluto
ag04,0.0,200000,0.00755,0.008370116,0.0008201163530349729,0.0008201163530349729
ag04,1.0,200000,0.00756,0.008370116,0.0008101163530349733,0.0008101163530349733
ag04,2.0,200000,0.00815,0.008397408,0.00024740782976150587,0.00024740782976150587
ag04,3.0,200000,0.0092,0.009094588,-0.00010541154146194442,0.00010541154146194442
ag04,4.0,200000,0.01065,0.01020113,-0.0004488699376583097,0.0004488699376583097
ag04,5.0,200000,0.01246,0.011830841,-0.0006291588088870054,0.0006291588088870054
ag04,6.0,200000,0.01491,0.014888656,-2.1343674361705423e-05,2.1343674361705423e-05
ag04,7.0,200000,0.01941,0.01951278,0.00010278001070022566,0.00010278001070022566
ag04,8.0,200000,0.02757,0.028404895,0.000834895216226577,0.000834895216226577
ag04,9.0,200000,0.03717,0.040542316,0.0033723156917095168,0.0033723156917095168
ag04,10.0,200000,0.05676,0.05768649,0.000926489075422289,0.000926489075422289
ag04,11.0,200000,0.09799,0.079593085,-0.018396915247440332,0.018396915247440332
ag04,12.0,200000,0.12485,0.111951254,-0.012898745691776278,0.012898745691776278
ag04,0.0,250000,0.00662,0.0071395044,0.0005195044215023517,0.0005195044215023517
ag04,1.0,250000,0.0068,0.0071395044,0.00033950442150235214,0.00033950442150235214
ag04,2.0,250000,0.00751,0.007166795,-0.00034320503309369105,0.00034320503309369105
ag04,3.0,250000,0.00856,0.00787667,-0.0006833300119638442,0.0006833300119638442
ag04,4.0,250000,0.00993,0.0090103345,-0.0009196655008196827,0.0009196655008196827
ag04,5.0,250000,0.01159,0.010652422,-0.0009375780263543125,0.0009375780263543125
ag04,6.0,250000,0.01383,0.013704556,-0.00012544395953416852,0.00012544395953416852
ag04,7.0,250000,0.01753,0.018058483,0.0005284825575351711,0.0005284825575351711
ag04,8.0,250000,0.02354,0.025734924,0.0021949237799644486,0.0021949237799644486
ag04,9.0,250000,0.03551,0.037706677,0.002196676870584488,0.002196676870584488
ag04,10.0,250000,0.05448,0.052729446,-0.0017505535590648658,0.0017505535590648658
ag04,11.0,250000,0.08121,0.07448937,-0.006720630011558537,0.006720630011558537
ag04,0.0,300000,0.00598,0.0068615475,0.0008815474738180637,0.0008815474738180637
ag04,1.0,300000,0.00631,0.0068615475,0.0005515474738180641,0.0005515474738180641
ag04,2.0,300000,0.00708,0.006888838,-0.00019116198077797925,0.00019116198077797925
ag04,3.0,300000,0.0081,0.007556685,-0.0005433152191340919,0.0005433152191340919
ag04,4.0,300000,0.00942,0.008534208,-0.000885792059898376,0.000885792059898376
ag04,5.0,300000,0.01097,0.010047004,-0.0009229963731765753,0.0009229963731765753
ag04,6.0,300000,0.01303,0.012964734,-6.526612371206275e-05,6.526612371206275e-05
ag04,7.0,300000,0.01671,0.016722145,1.2144559025765306e-05,1.2144559025765306e-05
ag04,8.0,300000,0.02248,0.0234594,0.0009793991190195084,0.0009793991190195084
ag04,9.0,300000,0.03102,0.034741603,0.0037216028380393992,0.0037216028380393992
ag04,10.0,300000,0.04758,0.048052426,0.00047242642760277065,0.00047242642760277065
ag04,11.0,300000,0.06727,0.06736066,9.0661923885349e-05,9.0661923885349e-05
ag04,12.0,300000,0.10279,0.09538951,-0.007400492289066321,0.007400492289066321
ag19,0.0,200000,0.00752,0.008506802,0.000986801910698414,0.000986801910698414
ag19,1.0,200000,0.00748,0.0084981015,0.0010181014952063564,0.0010181014952063564
ag19,2.0,200000,0.0079,0.008525393,0.0006253929719328873,0.0006253929719328873
ag19,3.0,200000,0.00901,0.009224551,0.00021455079853534634,0.00021455079853534634
ag19,4.0,200000,0.01089,0.010336901,-0.000553098938763142,0.000553098938763142
ag19,5.0,200000,0.01304,0.0126460865,-0.00039391348600387524,0.00039391348600387524
ag19,6.0,200000,0.01592,0.015798725,-0.00012127481222152722,0.00012127481222152722
ag19,7.0,200000,0.0203,0.020942707,0.0006427066147327437,0.0006427066147327437
ag19,8.0,200000,0.02791,0.029850194,0.0019401942306756965,0.0019401942306756965
ag19,9.0,200000,0.04308,0.045249213,0.0021692125332355497,0.0021692125332355497
ag19,10.0,200000,0.0609,0.06495635,0.0040563521146774265,0.0040563521146774265
ag19,11.0,200000,0.10916,0.0900152,-0.019144797239303582,0.019144797239303582
ag19,0.0,250000,0.00659,0.0073151053,0.0007251052929460999,0.0007251052929460999
ag19,1.0,250000,0.00663,0.0073064053,0.0006764053431153301,0.0006764053431153301
ag19,2.0,250000,0.00725,0.007333696,8.369588851928674e-05,8.369588851928674e-05
ag19,3.0,250000,0.00847,0.0080455495,-0.00042445049554109583,0.00042445049554109583
ag19,4.0,250000,0.01022,0.009185023,-0.0010349773254990577,0.0010349773254990577
ag19,5.0,250000,0.01216,0.011506587,-0.0006534127330780036,0.0006534127330780036
ag19,6.0,250000,0.01471,0.014725313,1.5312590599059206e-05,1.5312590599059206e-05
ag19,7.0,250000,0.01818,0.019490838,0.0013108380508422834,0.0013108380508422834
ag19,8.0,250000,0.02458,0.02716717,0.002587169377207755,0.002587169377207755
ag19,9.0,250000,0.03842,0.041949272,0.003529272155761716,0.003529272155761716
ag19,10.0,250000,0.05681,0.059521582,0.0027115819776058203,0.0027115819776058203
ag19,11.0,250000,0.09276,0.08426344,-0.008496563503742213,0.008496563503742213
ag19,0.0,300000,0.00591,0.007125542,0.0012155420334637162,0.0012155420334637162
ag19,1.0,300000,0.00611,0.007116842,0.001006842083632946,0.001006842083632946
ag19,2.0,300000,0.00684,0.0071441326,0.00030413262903690366,0.00030413262903690366
ag19,3.0,300000,0.0081,0.007813956,-0.00028604434281587557,0.00028604434281587557
ag19,4.0,300000,0.00973,0.008797291,-0.000932709265053273,0.000932709265053273
ag19,5.0,300000,0.01151,0.010972827,-0.0005371732583642,0.0005371732583642
ag19,6.0,300000,0.01377,0.014031186,0.00026118576854467467,0.00026118576854467467
ag19,7.0,300000,0.01712,0.018165838,0.0010458379733562471,0.0010458379733562471
ag19,8.0,300000,0.02401,0.0242013,0.0001912999951839446,0.0001912999951839446
ag19,9.0,300000,0.03243,0.037762288,0.005332288004159927,0.005332288004159927
ag19,10.0,300000,0.0396,0.05322737,0.013627368742227551,0.013627368742227551
ag19,11.0,300000,0.06003,0.07550395,0.01547395280122757,0.01547395280122757
ag24,0.0,200000,0.00831,0.008606523,0.00029652327537536653,0.00029652327537536653
