perfil,alpha,Re,real,previsto,erro,erro_absoluto
2032c,0.0,200000,0.01454,0.015157017,0.0006170169255137435,0.0006170169255137435
2032c,1.0,200000,0.01383,0.014037084,0.00020708383440971347,0.00020708383440971347
2032c,2.0,200000,0.01274,0.013271255,0.0005312554186582569,0.0005312554186582569
2032c,3.0,200000,0.01404,0.014132625,9.262542337179144e-05,9.262542337179144e-05
2032c,4.0,200000,0.01548,0.015062011,-0.00041798915296793054,0.00041798915296793054
2032c,5.0,200000,0.01694,0.016556405,-0.0003835954689979555,0.0003835954689979555
2032c,6.0,200000,0.01847,0.018855557,0.0003855568456649777,0.0003855568456649777
2032c,7.0,200000,0.01903,0.02085626,0.001826259390711786,0.001826259390711786
2032c,8.0,200000,0.02484,0.025553519,0.0007135189062356939,0.0007135189062356939
2032c,9.0,200000,0.02996,0.031341553,0.0013815527343749995,0.0013815527343749995
2032c,10.0,200000,0.03924,0.03983509,0.0005950916802883177,0.0005950916802883177
2032c,11.0,200000,0.05658,0.053804044,-0.0027759563195705397,0.0027759563195705397
2032c,12.0,200000,0.07604,0.07568519,-0.0003548118257522548,0.0003548118257522548
2032c,0.0,250000,0.01361,0.013523942,-8.605814039707241e-05,8.605814039707241e-05
2032c,1.0,250000,0.01289,0.012403999,-0.000486000544726849,0.000486000544726849
2032c,3.0,250000,0.01292,0.012499552,-0.0004204477798938743,0.0004204477798938743
2032c,4.0,250000,0.01419,0.013428941,-0.0007610586309432978,0.0007610586309432978
2032c,5.0,250000,0.01548,0.015022187,-0.000457813437581063,0.000457813437581063
2032c,6.0,250000,0.01667,0.017522033,0.0008520333039760582,0.0008520333039760582
2032c,7.0,250000,0.0175,0.019572282,0.002072282209992407,0.002072282209992407
2032c,8.0,250000,0.02386,0.02429252,0.0004325193160772331,0.0004325193160772331
2032c,9.0,250000,0.02919,0.030062055,0.0008720552152395242,0.0008720552152395242
2032c,10.0,250000,0.03946,0.038218226,-0.001241773716211321,0.001241773716211321
2032c,11.0,250000,0.05613,0.051624622,-0.004505377804040908,0.004505377804040908
2032c,12.0,250000,0.07346,0.07404643,0.0005864329719543482,0.0005864329719543482
2032c,0.0,300000,0.01271,0.013367239,0.0006572393858432762,0.0006572393858432762
2032c,1.0,300000,0.01228,0.012247297,-3.2703018486499036e-05,3.2703018486499036e-05
2032c,2.0,300000,0.01102,0.0114814695,0.00046146949708461733,0.00046146949708461733
2032c,3.0,300000,0.01213,0.012342849,0.00021284881502389892,0.00021284881502389892
2032c,4.0,300000,0.0133,0.013272242,-2.7758310735225e-05,2.7758310735225e-05
2032c,5.0,300000,0.01448,0.014815923,0.0003359228265285494,0.0003359228265285494
2032c,6.0,300000,0.01552,0.01731576,0.0017957602548599235,0.0017957602548599235
2032c,7.0,300000,0.01655,0.01940245,0.00285244995057583,0.00285244995057583
2032c,8.0,300000,0.02309,0.02404919,0.0009591908043622976,0.0009591908043622976
2032c,9.0,300000,0.02963,0.029571049,-5.8951084613800137e-05,5.8951084613800137e-05
2032c,10.0,300000,0.04138,0.038156502,-0.0032234980511665345,0.0032234980511665345
2032c,11.0,300000,0.05737,0.05125595,-0.0061140511584281895,0.0061140511584281895
2032c,12.0,300000,0.07048,0.074002765,0.003522765119075774,0.003522765119075774
a18,0.0,200000,0.00968,0.011679654,0.0019996540096402175,0.0019996540096402175
a18,1.0,200000,0.00948,0.011671925,0.0021919249635934824,0.0021919249635934824
a18,2.0,200000,0.0099,0.011942743,0.0020427433237433425,0.0020427433237433425
a18,3.0,200000,0.01068,0.012902116,0.002222116402983665,0.002222116402983665
a18,4.0,200000,0.01218,0.014000945,0.0018209447932243349,0.0018209447932243349
a18,5.0,200000,0.01663,0.016855724,0.0002257241559028636,0.0002257241559028636
a18,6.0,200000,0.02294,0.021750577,-0.0011894232058525071,0.0011894232058525071
a18,7.0,200000,0.03074,0.025574967,-0.005165032734870911,0.005165032734870911
a18,0.0,250000,0.00822,0.010869768,0.002649768448174,0.002649768448174
a18,1.0,250000,0.00839,0.010862039,0.002472039402127266,0.002472039402127266
a18,2.0,250000,0.00898,0.011132858,0.002152857762277126,0.002152857762277126
a18,3.0,250000,0.00988,0.012092229,0.0022122289788722993,0.0022122289788722993
a18,4.0,250000,0.01186,0.013191059,0.001331059231758117,0.001331059231758117
a18,5.0,250000,0.01665,0.016144672,-0.0005053275913000123,0.0005053275913000123
a18,6.0,250000,0.02215,0.021240257,-0.0009097432732582088,0.0009097432732582088
a18,7.0,250000,0.02846,0.02511419,-0.0033458101665973655,0.0033458101665973655
a18,8.0,250000,0.04031,0.032170244,-0.008139756438732146,0.008139756438732146
a18,0.0,300000,0.00737,0.010272591,0.0029025913748145105,0.0029025913748145105
a18,1.0,300000,0.00772,0.010264862,0.002544862328767776,0.002544862328767776
a18,2.0,300000,0.0084,0.010535681,0.0021356806889176374,0.0021356806889176374
a18,3.0,300000,0.00942,0.011495054,0.0020750537681579594,0.0020750537681579594
a18,4.0,300000,0.01161,0.012593884,0.000983884021043777,0.000983884021043777
a18,5.0,300000,0.01637,0.015497959,-0.0008720407810807219,0.0008720407810807219
a18,6.0,300000,0.02078,0.020593515,-0.0001864853340387343,0.0001864853340387343
a18,7.0,300000,0.02689,0.024342982,-0.0025470179015398033,0.0025470179015398033
a18,8.0,300000,0.03854,0.030517682,-0.008022317566871641,0.008022317566871641
a18sm,0.0,200000,0.0105,0.009779079,-0.0007209211140871054,0.0007209211140871054
a18sm,1.0,200000,0.00992,0.009776143,-0.00014385664284229278,0.00014385664284229278
a18sm,2.0,200000,0.00974,0.009834792,9.479246497154196e-05,9.479246497154196e-05
a18sm,3.0,200000,0.00996,0.010785961,0.000825960592329502,0.000825960592329502
a18sm,4.0,200000,0.01076,0.011952768,0.001192768079936504,0.001192768079936504
a18sm,5.0,200000,0.0121,0.014507613,0.0024076131448149685,0.0024076131448149685
a18sm,6.0,200000,0.0172,0.018902626,0.0017026258885860443,0.0017026258885860443
a18sm,7.0,200000,0.02282,0.023232432,0.0004124320822954178,0.0004124320822954178
a18sm,8.0,200000,0.02961,0.029586047,-2.3953065872193285e-05,2.3953065872193285e-05
a18sm,9.0,200000,0.03915,0.0356657,-0.0034843016505241367,0.0034843016505241367
a18sm,10.0,200000,0.05351,0.048706908,-0.004803092221021654,0.004803092221021654
a18sm,11.0,200000,0.06453,0.06204062,-0.0024893804478645365,0.0024893804478645365
a18sm,12.0,200000,0.08798,0.087129354,-0.0008506455230712917,0.0008506455230712917
a18sm,0.0,250000,0.00871,0.008148612,-0.0005613875454664238,0.0005613875454664238
a18sm,1.0,250000,0.00839,0.008145677,-0.0002443230742216109,0.0002443230742216109
