perfil,alpha,Re,real,previsto,erro,erro_absoluto
ag11,0.0,200000,0.00769,0.008972527,0.0012825274592638018,0.0012825274592638018
ag11,1.0,200000,0.00771,0.008963827,0.001253827043771744,0.001253827043771744
ag11,2.0,200000,0.00836,0.009014,0.0006540001848340041,0.0006540001848340041
ag11,3.0,200000,0.00947,0.009797678,0.00032767832905054167,0.00032767832905054167
ag11,4.0,200000,0.01101,0.010820372,-0.00018962796986103127,0.00018962796986103127
ag11,5.0,200000,0.01287,0.012677464,-0.00019253629714250514,0.00019253629714250514
ag11,6.0,200000,0.01543,0.014496986,-0.0009330141770839684,0.0009330141770839684
ag11,7.0,200000,0.0187,0.017426522,-0.0012734775513410582,0.0012734775513410582
ag11,8.0,200000,0.02342,0.023347696,-7.230371057987198e-05,7.230371057987198e-05
ag11,9.0,200000,0.02944,0.032678366,0.00323836570739746,0.00323836570739746
ag11,10.0,200000,0.03866,0.04574333,0.00708333131313324,0.00708333131313324
ag11,11.0,200000,0.04837,0.055312183,0.00694218275427818,0.00694218275427818
ag11,12.0,200000,0.12046,0.07672066,-0.04373933758497238,0.04373933758497238
ag11,0.0,250000,0.00673,0.0076084738,0.0008784737665951253,0.0008784737665951253
ag11,1.0,250000,0.00696,0.007599774,0.0006397738167643547,0.0006397738167643547
ag11,2.0,250000,0.00773,0.007649945,-8.005490481853474e-05,8.005490481853474e-05
ag11,3.0,250000,0.00884,0.008382332,-0.0004576684200763709,0.0004576684200763709
ag11,4.0,250000,0.0103,0.009432148,-0.0008678518116474153,0.0008678518116474153
ag11,5.0,250000,0.01198,0.011335351,-0.0006446494269371026,0.0006446494269371026
ag11,6.0,250000,0.01428,0.013169999,-0.0011100007656216614,0.0011100007656216614
ag11,7.0,250000,0.0173,0.015749495,-0.0015505045235157007,0.0015505045235157007
ag11,8.0,250000,0.0207,0.02056458,-0.00013541966378688777,0.00013541966378688777
ag11,9.0,250000,0.02551,0.029186334,0.003676334460973738,0.003676334460973738
ag11,10.0,250000,0.03214,0.040374167,0.008234167263507841,0.008234167263507841
ag11,11.0,250000,0.04166,0.049760316,0.008100315567255018,0.008100315567255018
ag11,12.0,250000,0.05386,0.06856954,0.01470954097747803,0.01470954097747803
ag11,0.0,300000,0.00609,0.007027135,0.000937135230600834,0.000937135230600834
ag11,1.0,300000,0.00648,0.0070184353,0.0005384352807700638,0.0005384352807700638
ag11,2.0,300000,0.0073,0.0070686075,-0.0002313925094902516,0.0002313925094902516
ag11,3.0,300000,0.00841,0.007745994,-0.0006640062107145794,0.0006640062107145794
ag11,4.0,300000,0.00978,0.008639674,-0.0011403262975811963,0.0011403262975811963
ag11,5.0,300000,0.01135,0.010439602,-0.0009103982731699951,0.0009103982731699951
ag11,6.0,300000,0.01338,0.012148781,-0.0012312192517518993,0.0012312192517518993
ag11,7.0,300000,0.0159,0.014360235,-0.0015397649273276338,0.0015397649273276338
