perfil,alpha,Re,real,previsto,erro,erro_absoluto
2032c,0.0,200000,0.7034,0.6930258,-0.010374172592163111,0.010374172592163111
2032c,1.0,200000,0.8143,0.84096336,0.026663363647460914,0.026663363647460914
2032c,2.0,200000,0.918,0.92111635,0.00311635208129879,0.00311635208129879
2032c,3.0,200000,1.0252,1.0424739,0.017273912239074818,0.017273912239074818
2032c,4.0,200000,1.1316,1.1517535,0.020153544807434143,0.020153544807434143
2032c,5.0,200000,1.2372,1.2152611,-0.021938898277282792,0.021938898277282792
2032c,6.0,200000,1.3398,1.3105426,-0.02925741653442393,0.02925741653442393
2032c,7.0,200000,1.4327,1.4004649,-0.03223510761260995,0.03223510761260995
2032c,8.0,200000,1.4812,1.4869586,0.00575862293243401,0.00575862293243401
2032c,9.0,200000,1.5261,1.5259986,-0.0001014076232910277,0.0001014076232910277
2032c,10.0,200000,1.5156,1.5306044,0.01500436248779291,0.01500436248779291
2032c,11.0,200000,1.4739,1.4836171,0.009717067337036145,0.009717067337036145
2032c,12.0,200000,1.432,1.4440081,0.012008111953735412,0.012008111953735412
2032c,0.0,250000,0.704,0.6946857,-0.009314302444457967,0.009314302444457967
2032c,1.0,250000,0.8158,0.84287447,0.027074467372894317,0.027074467372894317
2032c,3.0,250000,1.0278,1.0458401,0.01804014415740962,0.01804014415740962
2032c,4.0,250000,1.1343,1.1551198,0.020819776725768957,0.020819776725768957
2032c,5.0,250000,1.2399,1.2186273,-0.021272666358947756,0.021272666358947756
2032c,6.0,250000,1.342,1.3119032,-0.030096761703491293,0.030096761703491293
2032c,7.0,250000,1.4385,1.4024891,-0.03601093387603749,0.03601093387603749
2032c,8.0,250000,1.4884,1.4889828,0.0005827966690064024,0.0005827966690064024
2032c,9.0,250000,1.5288,1.5270344,-0.001765598106384214,0.001765598106384214
2032c,10.0,250000,1.5092,1.5340121,0.024812079238891505,0.024812079238891505
2032c,11.0,250000,1.475,1.4870248,0.012024784088134677,0.012024784088134677
2032c,12.0,250000,1.4443,1.4500717,0.005771692466735923,0.005771692466735923
2032c,0.0,300000,0.7052,0.69379914,-0.011400861930847217,0.011400861930847217
2032c,1.0,300000,0.8171,0.8419879,0.02488790788650508,0.02488790788650508
2032c,2.0,300000,0.9225,0.92359644,0.00109644174575807,0.00109644174575807
2032c,3.0,300000,1.0304,1.0449531,0.014553107833862322,0.014553107833862322
2032c,4.0,300000,1.1372,1.1542327,0.01703274040222169,0.01703274040222169
2032c,5.0,300000,1.243,1.2167513,-0.026248662948608503,0.026248662948608503
2032c,6.0,300000,1.3456,1.3115491,-0.03405093250274649,0.03405093250274649
2032c,7.0,300000,1.4438,1.4027878,-0.04101219539642331,0.04101219539642331
2032c,8.0,300000,1.4949,1.4885144,-0.006385576629638567,0.006385576629638567
2032c,9.0,300000,1.5175,1.526566,0.009066028594970632,0.009066028594970632
2032c,10.0,300000,1.4888,1.5335437,0.04474370594024668,0.04474370594024668
2032c,11.0,300000,1.4611,1.487727,0.026627046012878353,0.026627046012878353
2032c,12.0,300000,1.4504,1.4492383,-0.0011616996765135834,0.0011616996765135834
a18,0.0,200000,0.6005,0.58110803,-0.01939196634292606,0.01939196634292606
a18,1.0,200000,0.713,0.71224403,-0.0007559661865234046,0.0007559661865234046
a18,2.0,200000,0.8216,0.82060426,-0.0009957352638244599,0.0009957352638244599
a18,3.0,200000,0.926,0.92459273,-0.0014072666168213344,0.0014072666168213344
a18,4.0,200000,1.0202,0.99282485,-0.027375147533416744,0.027375147533416744
a18,5.0,200000,1.0911,1.0998571,0.008757091903686565,0.008757091903686565
a18,6.0,200000,1.1554,1.1582633,0.002863325691223162,0.002863325691223162
a18,7.0,200000,1.2311,1.2414554,0.01035543575286857,0.01035543575286857
a18,0.0,250000,0.6035,0.5828369,-0.02066307401657108,0.02066307401657108
a18,1.0,250000,0.7137,0.7139729,0.0002729261398315419,0.0002729261398315419
a18,2.0,250000,0.8215,0.8237887,0.0022887024879455486,0.0022887024879455486
a18,3.0,250000,0.9252,0.9277772,0.002577171134948708,0.002577171134948708
a18,4.0,250000,1.0166,0.9960093,-0.020590709781646677,0.020590709781646677
a18,5.0,250000,1.0904,1.1030414,0.012641410446166956,0.012641410446166956
a18,6.0,250000,1.161,1.1622094,0.0012093915939330735,0.0012093915939330735
a18,7.0,250000,1.2389,1.246065,0.0071650205612183715,0.0071650205612183715
a18,8.0,250000,1.3105,1.3208045,0.010304476737976076,0.010304476737976076
a18,0.0,300000,0.6041,0.5860998,-0.01800019655227658,0.01800019655227658
a18,1.0,300000,0.7135,0.71723574,0.003735743999481178,0.003735743999481178
a18,2.0,300000,0.8214,0.8270515,0.005651520347595196,0.005651520347595196
a18,3.0,300000,0.9245,0.93104005,0.006540048599243176,0.006540048599243176
a18,4.0,300000,1.0164,0.99927217,-0.017127832317352265,0.017127832317352265
a18,5.0,300000,1.0929,1.1063035,0.013403453445434588,0.013403453445434588
a18,6.0,300000,1.1715,1.1669933,-0.004506739616394029,0.004506739616394029
a18,7.0,300000,1.2442,1.2515018,0.0073017986297607695,0.0073017986297607695
a18,8.0,300000,1.3122,1.3265743,0.014374325561523404,0.014374325561523404
a18sm,0.0,200000,0.4705,0.46574122,-0.004758782863616917,0.004758782863616917
a18sm,1.0,200000,0.6053,0.58731425,-0.017985751914977977,0.017985751914977977
a18sm,2.0,200000,0.7221,0.719139,-0.002961020088195765,0.002961020088195765
a18sm,3.0,200000,0.8277,0.83395684,0.006256837654113778,0.006256837654113778
a18sm,4.0,200000,0.9321,0.94024754,0.008147535705566367,0.008147535705566367
a18sm,5.0,200000,1.0267,1.0516552,0.02495517330169683,0.02495517330169683
a18sm,6.0,200000,1.091,1.0798925,-0.011107483863830536,0.011107483863830536
a18sm,7.0,200000,1.1594,1.1449904,-0.014409555816650377,0.014409555816650377
a18sm,8.0,200000,1.2398,1.2060115,-0.033788466262817396,0.033788466262817396
a18sm,9.0,200000,1.3181,1.2557067,-0.0623933320999146,0.0623933320999146
a18sm,10.0,200000,1.3462,1.277944,-0.06825603122711188,0.06825603122711188
a18sm,11.0,200000,1.1501,1.2367277,0.08662771453857432,0.08662771453857432
a18sm,12.0,200000,1.0301,1.1508846,0.12078462829589842,0.12078462829589842
a18sm,0.0,250000,0.4901,0.4680395,-0.022060487365722636,0.022060487365722636
a18sm,1.0,250000,0.611,0.5896126,-0.021387396812438952,0.021387396812438952
a18sm,2.0,250000,0.7223,0.7228929,0.0005928804397582477,0.0005928804397582477
a18sm,3.0,250000,0.8275,0.83771074,0.010210738182067858,0.010210738182067858
a18sm,4.0,250000,0.9316,0.94400144,0.012401436233520524,0.012401436233520524
a18sm,5.0,250000,1.026,1.0554088,0.029408835411071754,0.029408835411071754
a18sm,6.0,250000,1.0954,1.0844079,-0.010992074394226004,0.010992074394226004
a18sm,7.0,250000,1.1662,1.1501694,-0.016030627441406153,0.016030627441406153
a18sm,8.0,250000,1.2442,1.2111905,-0.033009537887573215,0.033009537887573215
a18sm,9.0,250000,1.2616,1.2608856,-0.0007144037246704649,0.0007144037246704649
a18sm,10.0,250000,1.2688,1.2858636,0.017063637924194408,0.017063637924194408
a18sm,11.0,250000,1.187,1.2454993,0.0584992532730102,0.0584992532730102
a18sm,12.0,250000,1.076,1.1685368,0.0925367822647094,0.0925367822647094
a18sm,0.0,300000,0.4989,0.47235543,-0.026544574642181407,0.026544574642181407
a18sm,1.0,300000,0.6121,0.5939288,-0.018171186065673806,0.018171186065673806
a18sm,2.0,300000,0.7211,0.72720903,0.006109031581878699,0.006109031581878699
a18sm,3.0,300000,0.8272,0.84202695,0.014826948928832961,0.014826948928832961
a18sm,4.0,300000,0.9312,0.94831765,0.017117646980285617,0.017117646980285617
a18sm,5.0,300000,1.0251,1.0597242,0.03462421169281016,0.03462421169281016
a18sm,6.0,300000,1.0996,1.0902451,-0.00935487232208243,0.00935487232208243
a18sm,7.0,300000,1.1786,1.1566595,-0.02194051609039316,0.02194051609039316
a18sm,8.0,300000,1.2507,1.2180136,-0.0326863557815551,0.0326863557815551
a18sm,9.0,300000,1.3276,1.2677088,-0.059891221618652235,0.059891221618652235
a63a108c,0.0,200000,-0.0004,0.0056437845,0.006043784534186125,0.006043784534186125
a63a108c,1.0,200000,0.1667,0.14217815,-0.024521851968765246,0.024521851968765246
a63a108c,2.0,200000,0.2507,0.2419283,-0.008771705698966958,0.008771705698966958
a63a108c,3.0,200000,0.3447,0.34708616,0.00238616137504577,0.00238616137504577
a63a108c,4.0,200000,0.4535,0.42827272,-0.025227275848388686,0.025227275848388686
a63a108c,5.0,200000,0.5634,0.5484879,-0.014912098312377942,0.014912098312377942
a63a108c,6.0,200000,0.6716,0.6836082,0.01200817432403567,0.01200817432403567
a63a108c,7.0,200000,0.7777,0.75708014,-0.02061986227035517,0.02061986227035517
a63a108c,8.0,200000,0.8779,0.8596405,-0.018259520912170424,0.018259520912170424
a63a108c,9.0,200000,0.8969,0.8912004,-0.0056995767593384095,0.0056995767593384095
a63a108c,10.0,200000,0.6694,0.8208301,0.1514301067352295,0.1514301067352295
a63a108c,11.0,200000,0.644,0.74855775,0.10455774641036986,0.10455774641036986
a63a108c,12.0,200000,0.7752,0.69600433,-0.07919566888809204,0.07919566888809204
a63a108c,0.0,250000,0.044,0.027962498,-0.016037501633167264,0.016037501633167264
a63a108c,1.0,250000,0.1474,0.16449684,0.017096839046478268,0.017096839046478268
a63a108c,2.0,250000,0.2403,0.26570305,0.02540305228233336,0.02540305228233336
a63a108c,3.0,250000,0.3419,0.37086052,0.028960517024993915,0.028960517024993915
a63a108c,4.0,250000,0.4535,0.4520471,-0.0014528903961181783,0.0014528903961181783
a63a108c,5.0,250000,0.5647,0.57226217,0.007562167930603048,0.007562167930603048
a63a108c,6.0,250000,0.6736,0.7094086,0.03580858125686648,0.03580858125686648
a63a108c,7.0,250000,0.7802,0.785469,0.00526899557113647,0.00526899557113647
a63a108c,8.0,250000,0.8822,0.89317524,0.010975244331359879,0.010975244331359879
a63a108c,9.0,250000,0.9686,0.93017447,-0.038425530052185075,0.038425530052185075
a63a108c,10.0,250000,0.9741,0.8625449,-0.11155510578155514,0.11155510578155514
a63a108c,11.0,250000,0.7675,0.7901655,0.022665483951568643,0.022665483951568643
a63a108c,12.0,250000,0.7663,0.7438392,-0.02246079568862913,0.02246079568862913
a63a108c,0.0,300000,0.0478,0.017186388,-0.030613611626625063,0.030613611626625063
a63a108c,1.0,300000,0.1339,0.15372072,0.01982072160243989,0.01982072160243989
a63a108c,2.0,300000,0.2344,0.25492692,0.020526919937133792,0.020526919937133792
a63a108c,3.0,300000,0.3406,0.36008438,0.019484384679794298,0.019484384679794298
a63a108c,4.0,300000,0.4535,0.44127098,-0.012229022741317763,0.012229022741317763
a63a108c,5.0,300000,0.5656,0.5614862,-0.004113815402984611,0.004113815402984611
a63a108c,6.0,300000,0.6758,0.69966197,0.02386197013854985,0.02386197013854985
a63a108c,7.0,300000,0.7826,0.7778954,-0.004704609012603722,0.004704609012603722
a63a108c,8.0,300000,0.8857,0.88849574,0.002795743274688678,0.002795743274688678
a63a108c,9.0,300000,0.9788,0.92549497,-0.053305031108856205,0.053305031108856205
a63a108c,10.0,300000,0.9909,0.8578654,-0.13303460683822632,0.13303460683822632
a63a108c,12.0,300000,0.6276,0.75001603,0.12241603364944453,0.12241603364944453
ag03,0.0,200000,0.2093,0.21311344,0.00381344206333159,0.00381344206333159
ag03,1.0,200000,0.337,0.3308691,-0.0061308915615082005,0.0061308915615082005
ag03,2.0,200000,0.4356,0.43640792,0.0008079236984253058,0.0008079236984253058
ag03,3.0,200000,0.5372,0.55550355,0.018303547191619862,0.018303547191619862
ag03,4.0,200000,0.6394,0.64775175,0.008351748561859162,0.008351748561859162
ag03,5.0,200000,0.7416,0.746526,0.004926002883911096,0.004926002883911096
ag03,6.0,200000,0.8418,0.84957814,0.007778142166137703,0.007778142166137703
ag03,7.0,200000,0.9377,0.9592073,0.021507296371459983,0.021507296371459983
ag03,8.0,200000,1.0279,1.0377256,0.009825567817687952,0.009825567817687952
ag03,9.0,200000,1.1051,1.1022037,-0.002896273231506319,0.002896273231506319
ag03,10.0,200000,1.1414,1.1319116,-0.009488364601135224,0.009488364601135224
ag03,11.0,200000,1.0913,1.0973656,0.0060656177520752586,0.0060656177520752586
