perfil,alpha,Re,real,previsto,erro,erro_absoluto
ag11,0.0,200000,0.2251,0.20144263,-0.023657370901107783,0.023657370901107783
ag11,1.0,200000,0.353,0.3280628,-0.0249371974468231,0.0249371974468231
ag11,2.0,200000,0.4516,0.44898486,-0.0026151386260986342,0.0026151386260986342
ag11,3.0,200000,0.5545,0.56740946,0.012909455776214607,0.012909455776214607
ag11,4.0,200000,0.6583,0.6504275,-0.00787247972488403,0.00787247972488403
ag11,5.0,200000,0.7621,0.75056416,-0.011535842037200927,0.011535842037200927
ag11,6.0,200000,0.8634,0.8583624,-0.005037623310089057,0.005037623310089057
ag11,7.0,200000,0.962,0.943797,-0.01820300769805905,0.01820300769805905
ag11,8.0,200000,1.057,1.0070567,-0.04994328689575189,0.04994328689575189
ag11,9.0,200000,1.1464,1.066287,-0.08011295928955087,0.08011295928955087
ag11,10.0,200000,1.2132,1.0884802,-0.12471976585388189,0.12471976585388189
ag11,11.0,200000,1.2471,1.0806476,-0.16645241222381602,0.16645241222381602
ag11,12.0,200000,0.9682,1.0157248,0.047524778175354054,0.047524778175354054
ag11,0.0,250000,0.2404,0.20314789,-0.03725211181640625,0.03725211181640625
ag11,1.0,250000,0.346,0.32976815,-0.016231848955154393,0.016231848955154393
ag11,2.0,250000,0.4481,0.45214576,0.004045755290985109,0.004045755290985109
ag11,3.0,250000,0.5531,0.5705704,0.01747040929794308,0.01747040929794308
ag11,4.0,250000,0.6585,0.6535885,-0.004911526203155492,0.004911526203155492
ag11,5.0,250000,0.7638,0.753725,-0.010075007724761997,0.010075007724761997
ag11,6.0,250000,0.8664,0.86354935,-0.002850648307800241,0.002850648307800241
ag11,7.0,250000,0.9654,0.94964755,-0.015752454185485876,0.015752454185485876
ag11,8.0,250000,1.0627,1.0129069,-0.04979309101104734,0.04979309101104734
ag11,9.0,250000,1.1536,1.0721374,-0.0814626441955566,0.0814626441955566
ag11,10.0,250000,1.2311,1.0970712,-0.13402882919311532,0.13402882919311532
ag11,11.0,250000,1.2749,1.0900904,-0.18480960597991936,0.18480960597991936
ag11,12.0,250000,1.2522,1.0306036,-0.22159635276794432,0.22159635276794432
ag11,0.0,300000,0.2412,0.20778938,-0.03341062362194061,0.03341062362194061
ag11,1.0,300000,0.3415,0.33440965,-0.007090345859527614,0.007090345859527614
ag11,2.0,300000,0.446,0.45678726,0.010787258386611931,0.010787258386611931
ag11,3.0,300000,0.5523,0.5752122,0.022912180614471422,0.022912180614471422
ag11,4.0,300000,0.659,0.65823025,-0.0007697548866272275,0.0007697548866272275
ag11,5.0,300000,0.7652,0.75836676,-0.006833236408233634,0.006833236408233634
ag11,6.0,300000,0.8692,0.86922044,2.0435619354275403e-05,2.0435619354275403e-05
ag11,7.0,300000,0.9703,0.9559715,-0.014328520584106497,0.014328520584106497
ag11,8.0,300000,1.0651,1.0195631,-0.04553692111968988,0.04553692111968988
ag11,9.0,300000,1.1567,1.0787935,-0.07790647430419928,0.07790647430419928
ag11,10.0,300000,1.2363,1.1037276,-0.13257242088317867,0.13257242088317867
ag11,11.0,300000,1.2961,1.1021708,-0.1939291749954224,0.1939291749954224
ag11,12.0,300000,1.3331,1.0481167,-0.284983316040039,0.284983316040039
ag18,0.0,200000,0.2354,0.21811798,-0.017282017850875853,0.017282017850875853
ag18,1.0,200000,0.3852,0.3516938,-0.0335061909675598,0.0335061909675598
ag18,2.0,200000,0.4859,0.47373793,-0.012162074708938597,0.012162074708938597
ag18,3.0,200000,0.5872,0.585521,-0.001679017257690485,0.001679017257690485
ag18,4.0,200000,0.6895,0.67097175,-0.01852824878692627,0.01852824878692627
ag18,5.0,200000,0.7925,0.7685473,-0.02395270347595213,0.02395270347595213
ag18,6.0,200000,0.8934,0.87817085,-0.015229152107238741,0.015229152107238741
ag18,7.0,200000,0.9545,0.96016026,0.005660255432128891,0.005660255432128891
ag18,8.0,200000,1.0734,1.0410627,-0.03233728733062735,0.03233728733062735
ag18,9.0,200000,1.1253,1.099716,-0.02558405189514157,0.02558405189514157
ag18,10.0,200000,1.0741,1.0907799,0.01667990055084223,0.01667990055084223
ag18,11.0,200000,0.9894,1.0089321,0.01953211364746099,0.01953211364746099
ag18,12.0,200000,0.9349,0.86451006,-0.0703899406433105,0.0703899406433105
ag18,0.0,250000,0.2582,0.2210117,-0.03718830175399779,0.03718830175399779
ag18,1.0,250000,0.3807,0.35458758,-0.02611241526603697,0.02611241526603697
ag18,2.0,250000,0.4822,0.47808728,-0.004112723779678362,0.004112723779678362
ag18,3.0,250000,0.5858,0.5898703,0.0040702740669250614,0.0040702740669250614
ag18,4.0,250000,0.69,0.67532104,-0.014678957462310738,0.014678957462310738
ag18,5.0,250000,0.7946,0.7728966,-0.021703412151336643,0.021703412151336643
ag18,6.0,250000,0.8969,0.8845463,-0.012353720092773468,0.012353720092773468
ag18,7.0,250000,0.9945,0.96719915,-0.02730085325241094,0.02730085325241094
ag18,8.0,250000,1.0814,1.0481015,-0.03329845561981193,0.03329845561981193
ag18,9.0,250000,1.1332,1.1067548,-0.026445220184326157,0.026445220184326157
ag18,10.0,250000,1.1232,1.1005595,-0.02264052696228025,0.02264052696228025
ag18,11.0,250000,1.0362,1.0195636,-0.016636444282531748,0.016636444282531748
ag18,12.0,250000,0.8055,0.8840219,0.07852187824249268,0.07852187824249268
ag18,0.0,300000,0.2684,0.2265916,-0.04180839803218844,0.04180839803218844
ag18,1.0,300000,0.3765,0.3601675,-0.016332496643066408,0.016332496643066408
ag18,2.0,300000,0.4801,0.4836672,0.0035671948432922096,0.0035671948432922096
ag18,3.0,300000,0.5851,0.5954503,0.01035028209686284,0.01035028209686284
ag18,4.0,300000,0.6906,0.68090105,-0.009698949432373039,0.009698949432373039
ag18,5.0,300000,0.7961,0.7784767,-0.017623284912109405,0.017623284912109405
ag18,6.0,300000,0.8996,0.8911557,-0.008444280242919877,0.008444280242919877
ag18,7.0,300000,0.9979,0.97446144,-0.02343856372833253,0.02343856372833253
ag18,8.0,300000,1.0823,1.0556964,-0.026603631782531778,0.026603631782531778
ag18,9.0,300000,1.158,1.1143496,-0.04365039634704582,0.04365039634704582
ah79k135,0.0,200000,0.3706,0.28568688,-0.08491311964988707,0.08491311964988707
ah79k135,1.0,200000,0.5188,0.4165979,-0.10220209722518925,0.10220209722518925
ah79k135,2.0,200000,0.6601,0.566025,-0.09407498130798342,0.09407498130798342
ah79k135,3.0,200000,0.7664,0.6676971,-0.0987029279708862,0.0987029279708862
ah79k135,4.0,200000,0.8441,0.80309105,-0.041008950805664024,0.041008950805664024
ah79k135,5.0,200000,0.9297,0.9300042,0.0003041794776916795,0.0003041794776916795
ah79k135,6.0,200000,1.0177,1.0212902,0.0035901830673217283,0.0035901830673217283
ah79k135,7.0,200000,1.07,1.0645734,-0.005426592826843324,0.005426592826843324
ah79k135,8.0,200000,1.0645,1.1193992,0.05489918994903564,0.05489918994903564
ah79k135,9.0,200000,1.0285,1.0937277,0.06522770786285403,0.06522770786285403
ah79k135,10.0,200000,1.0065,1.0758467,0.06934667205810552,0.06934667205810552
ah79k135,11.0,200000,1.0203,1.0784898,0.058189780426025406,0.058189780426025406
ah79k135,12.0,200000,1.0581,1.0908103,0.032710298919677694,0.032710298919677694
ah79k135,0.0,250000,0.2905,0.28537586,-0.005124136686325054,0.005124136686325054
ah79k135,1.0,250000,0.4485,0.41653812,-0.031961880683898936,0.031961880683898936
ah79k135,2.0,250000,0.5903,0.56742066,-0.022879338550567674,0.022879338550567674
ah79k135,3.0,250000,0.7276,0.6738551,-0.05374487409591677,0.05374487409591677
ah79k135,4.0,250000,0.8684,0.8092491,-0.05915089693069453,0.05915089693069453
ah79k135,5.0,250000,0.9706,0.9352148,-0.03538518247604372,0.03538518247604372
ah79k135,6.0,250000,1.0437,1.0277653,-0.01593472595214851,0.01593472595214851
ah79k135,7.0,250000,1.069,1.071048,0.00204802131652837,0.00204802131652837
ah79k135,8.0,250000,1.0462,1.1267008,0.08050075893402098,0.08050075893402098
ah79k135,9.0,250000,1.005,1.1028541,0.09785413265228282,0.09785413265228282
ah79k135,10.0,250000,1.0183,1.0853419,0.06704193038940431,0.06704193038940431
ah79k135,11.0,250000,1.0399,1.0883895,0.04848951587676997,0.04848951587676997
ah79k135,12.0,250000,1.0638,1.0999213,0.036121345710754316,0.036121345710754316
ah79k135,0.0,300000,0.2582,0.28822958,0.030029584693908706,0.030029584693908706
ah79k135,1.0,300000,0.4038,0.41939184,0.015591840696334847,0.015591840696334847
ah79k135,2.0,300000,0.5454,0.57027453,0.02487453184127808,0.02487453184127808
ah79k135,3.0,300000,0.679,0.67670894,-0.0022910633087158683,0.0022910633087158683
ah79k135,4.0,300000,0.8153,0.8121029,-0.003197086143493677,0.003197086143493677
ah79k135,5.0,300000,0.9504,0.9380686,-0.012331371688842796,0.012331371688842796
ah79k135,6.0,300000,1.0503,1.0303136,-0.019986388969421398,0.019986388969421398
ah79k135,7.0,300000,1.0627,1.0742493,0.011549267578125022,0.011549267578125022
ah79k135,8.0,300000,1.0303,1.130705,0.10040499897003174,0.10040499897003174
ah79k135,9.0,300000,0.9953,1.1068584,0.1115583726882935,0.1115583726882935
ah79k135,10.0,300000,1.0276,1.0893462,0.06174617042541497,0.06174617042541497
ah79k135,11.0,300000,1.0465,1.09598,0.04948004817962648,0.04948004817962648
ah79k135,12.0,300000,1.0728,1.1129442,0.040144245338439966,0.040144245338439966
ah93k131,0.0,200000,0.4353,0.35709947,-0.07820052652359011,0.07820052652359011
ah93k131,1.0,200000,0.5218,0.46638265,-0.05541734747886662,0.05541734747886662
ah93k131,2.0,200000,0.6101,0.5558469,-0.05425307044982908,0.05425307044982908
ah93k131,4.0,200000,0.7908,0.75652105,-0.034278953838348336,0.034278953838348336
ah93k131,5.0,200000,0.8946,0.85509366,-0.039506342029571484,0.039506342029571484
ah93k131,6.0,200000,1.0003,0.9684678,-0.03183222799301144,0.03183222799301144
ah93k131,7.0,200000,1.1041,1.0490981,-0.05500186595916756,0.05500186595916756
ah93k131,8.0,200000,1.1833,1.1053531,-0.07794688301086428,0.07794688301086428
ah93k131,9.0,200000,1.174,1.1203325,-0.05366752052307122,0.05366752052307122
ah93k131,10.0,200000,1.1341,1.106322,-0.027777949905395616,0.027777949905395616
ah93k131,11.0,200000,1.1134,1.1023138,-0.011086243057250922,0.011086243057250922
ah93k131,12.0,200000,1.1123,1.105658,-0.006641945648193426,0.006641945648193426
ah93k131,1.0,250000,0.5257,0.47557324,-0.0501267582893371,0.0501267582893371
ah93k131,3.0,250000,0.7155,0.6667297,-0.048770311355590845,0.048770311355590845
ah93k131,4.0,250000,0.8146,0.76716703,-0.04743296823501586,0.04743296823501586
ah93k131,5.0,250000,0.9168,0.86573964,-0.05106035642623896,0.05106035642623896
ah93k131,6.0,250000,1.0199,0.9803782,-0.03952178945541385,0.03952178945541385
ah93k131,7.0,250000,1.117,1.0610083,-0.05599166584014892,0.05599166584014892
ah93k131,8.0,250000,1.1879,1.1172633,-0.07063668289184566,0.07063668289184566
ah93k131,9.0,250000,1.1601,1.1322427,-0.027857320404052643,0.027857320404052643
ah93k131,10.0,250000,1.1291,1.1196156,-0.00948444519042968,0.00948444519042968
ah93k131,11.0,250000,1.1214,1.1164591,-0.004940868759155226,0.004940868759155226
ah93k131,12.0,250000,1.1272,1.1211971,-0.006002895545959452,0.006002895545959452
ah93k131,0.0,300000,0.4187,0.37019542,-0.048504581403732316,0.048504581403732316
ah93k131,1.0,300000,0.5176,0.47972983,-0.03787016878128047,0.03787016878128047
ah93k131,2.0,300000,0.6166,0.5706496,-0.04595037612915043,0.04595037612915043
ah93k131,3.0,300000,0.716,0.6708864,-0.0451136026382446,0.0451136026382446
ah93k131,4.0,300000,0.8174,0.77132374,-0.04607625951766969,0.04607625951766969
ah93k131,5.0,300000,0.9204,0.86989635,-0.05050364770889282,0.05050364770889282
ah93k131,6.0,300000,1.0232,0.98423016,-0.03896983928680431,0.03896983928680431
ah93k131,7.0,300000,1.1211,1.0655127,-0.05558734283447264,0.05558734283447264
ah93k131,8.0,300000,1.1855,1.1225706,-0.06292936611175537,0.06292936611175537
ah93k131,9.0,300000,1.1505,1.13755,-0.01295000362396248,0.01295000362396248
ah93k131,10.0,300000,1.1276,1.1249229,-0.002677128410339291,0.002677128410339291
ah93k131,11.0,300000,1.1302,1.1271907,-0.0030092908859253864,0.0030092908859253864
ah93k131,12.0,300000,1.1399,1.137361,-0.002538950347900304,0.002538950347900304
as5046,0.0,200000,0.209,0.16807215,-0.04092785084247588,0.04092785084247588
as5046,1.0,200000,0.3208,0.2748634,-0.04593660788536069,0.04593660788536069
