perfil,alpha,Re,real,previsto,erro,erro_absoluto
2032c,0.0,200000,-0.13,-0.13022625,-0.00022625446319579634,0.00022625446319579634
2032c,1.0,200000,-0.1292,-0.13036764,-0.001167636680603018,0.001167636680603018
2032c,2.0,200000,-0.1274,-0.12983693,-0.00243693182468413,0.00243693182468413
2032c,3.0,200000,-0.1265,-0.12824501,-0.001745010972023009,0.001745010972023009
2032c,4.0,200000,-0.1257,-0.12735447,-0.0016544728755950866,0.0016544728755950866
2032c,5.0,200000,-0.1248,-0.12516935,-0.00036935169696808434,0.00036935169696808434
2032c,6.0,200000,-0.1237,-0.12068996,0.003010041666030888,0.003010041666030888
2032c,7.0,200000,-0.121,-0.11810354,0.0028964585661888087,0.0028964585661888087
2032c,8.0,200000,-0.1135,-0.1121206,0.0013794014453887976,0.0013794014453887976
2032c,9.0,200000,-0.1043,-0.1085212,-0.00422120071649551,0.00422120071649551
2032c,10.0,200000,-0.0941,-0.09980447,-0.005704468452930447,0.005704468452930447
2032c,11.0,200000,-0.0934,-0.09230709,0.0010929092407226532,0.0010929092407226532
2032c,12.0,200000,-0.0953,-0.087841555,0.007458444523811336,0.007458444523811336
2032c,0.0,250000,-0.1297,-0.13013628,-0.0004362812519073389,0.0004362812519073389
2032c,1.0,250000,-0.1293,-0.1304165,-0.0011164975881576555,0.0011164975881576555
2032c,3.0,250000,-0.127,-0.12827647,-0.0012764673233032209,0.0012764673233032209
2032c,4.0,250000,-0.1262,-0.12738593,-0.0011859292268752986,0.0011859292268752986
2032c,5.0,250000,-0.1254,-0.12520187,0.00019813396930695726,0.00019813396930695726
2032c,6.0,250000,-0.1241,-0.12094094,0.0031590614080429097,0.0031590614080429097
2032c,7.0,250000,-0.1221,-0.11834567,0.003754329597949982,0.003754329597949982
2032c,8.0,250000,-0.1144,-0.112498134,0.0019018656253814714,0.0019018656253814714
2032c,9.0,250000,-0.1048,-0.10893434,-0.004134342861175533,0.004134342861175533
2032c,10.0,250000,-0.0947,-0.10021761,-0.005517610597610467,0.005517610597610467
2032c,11.0,250000,-0.0939,-0.09272923,0.0011707667946815464,0.0011707667946815464
2032c,12.0,250000,-0.0941,-0.08817425,0.005925746297836307,0.005925746297836307
2032c,0.0,300000,-0.1298,-0.13009825,-0.0002982534885406507,0.0002982534885406507
2032c,1.0,300000,-0.1294,-0.13037847,-0.0009784698247909673,0.0009784698247909673
2032c,2.0,300000,-0.1283,-0.12980062,-0.001500617694854739,0.001500617694854739
2032c,3.0,300000,-0.1276,-0.12823665,-0.0006366514205932705,0.0006366514205932705
2032c,4.0,300000,-0.1268,-0.12745368,-0.0006536848068237344,0.0006536848068237344
2032c,5.0,300000,-0.126,-0.12522402,0.0007759759426116952,0.0007759759426116952
2032c,6.0,300000,-0.1248,-0.1210962,0.0037037987589836063,0.0037037987589836063
2032c,7.0,300000,-0.1232,-0.11850093,0.00469906694889069,0.00469906694889069
2032c,8.0,300000,-0.1154,-0.11268661,0.0027133882880210902,0.0027133882880210902
2032c,9.0,300000,-0.1037,-0.1091555,-0.005455498445034027,0.005455498445034027
2032c,10.0,300000,-0.0946,-0.10070975,-0.006109751248359677,0.006109751248359677
2032c,11.0,300000,-0.0936,-0.093116276,0.0004837240338325527,0.0004837240338325527
2032c,12.0,300000,-0.0899,-0.0884671,0.0014329012274742065,0.0014329012274742065
a18,0.0,200000,-0.1242,-0.12153551,0.0026644901752471972,0.0026644901752471972
a18,1.0,200000,-0.1223,-0.12144112,0.0008588815808296263,0.0008588815808296263
a18,2.0,200000,-0.1201,-0.11979775,0.00030224869251251063,0.00030224869251251063
a18,3.0,200000,-0.1175,-0.11757627,-7.627129554749201e-05,7.627129554749201e-05
a18,4.0,200000,-0.1132,-0.11364112,-0.00044112049341202275,0.00044112049341202275
a18,5.0,200000,-0.1068,-0.1066645,0.00013549886941910394,0.00013549886941910394
a18,6.0,200000,-0.0984,-0.0998295,-0.0014295024037361131,0.0014295024037361131
a18,7.0,200000,-0.092,-0.09410287,-0.002102866947650911,0.002102866947650911
a18,0.0,250000,-0.123,-0.121911645,0.001088355064392088,0.001088355064392088
a18,1.0,250000,-0.1212,-0.12184542,-0.0006454167246818521,0.0006454167246818521
a18,2.0,250000,-0.1194,-0.12011485,-0.0007148480176925598,0.0007148480176925598
a18,3.0,250000,-0.117,-0.11802921,-0.001029206991195672,0.001029206991195672
a18,4.0,250000,-0.1128,-0.114124745,-0.001324745130538943,0.001324745130538943
a18,5.0,250000,-0.1074,-0.10721317,0.00018683066368102574,0.00018683066368102574
a18,6.0,250000,-0.0999,-0.10050222,-0.0006022227764129612,0.0006022227764129612
a18,7.0,250000,-0.0935,-0.09454528,-0.0010452824234962466,0.0010452824234962466
a18,8.0,250000,-0.0861,-0.08722549,-0.0011254893183708231,0.0011254893183708231
a18,0.0,300000,-0.1222,-0.12246596,-0.000265960681438443,0.000265960681438443
a18,1.0,300000,-0.1206,-0.122419156,-0.0018191561341285717,0.0018191561341285717
a18,2.0,300000,-0.119,-0.120843746,-0.0018437457680702263,0.0018437457680702263
a18,3.0,300000,-0.1168,-0.11890586,-0.002105857205390929,0.002105857205390929
a18,4.0,300000,-0.1131,-0.11515645,-0.0020564493775367676,0.0020564493775367676
a18,5.0,300000,-0.108,-0.10825033,-0.00025032740831375244,0.00025032740831375244
a18,6.0,300000,-0.1018,-0.101892576,-9.257562160491783e-05,9.257562160491783e-05
a18,7.0,300000,-0.0949,-0.09588382,-0.0009838164806365984,0.0009838164806365984
a18,8.0,300000,-0.0879,-0.08858694,-0.0006869413614273012,0.0006869413614273012
a18sm,0.0,200000,-0.1199,-0.12113462,-0.0012346164345741206,0.0012346164345741206
a18sm,1.0,200000,-0.1231,-0.121715605,0.0013843947410583507,0.0013843947410583507
a18sm,2.0,200000,-0.1222,-0.12056322,0.001636783492565158,0.001636783492565158
a18sm,3.0,200000,-0.1185,-0.11741836,0.0010816363096237125,0.0010816363096237125
a18sm,4.0,200000,-0.1156,-0.11240521,0.003194789266586298,0.003194789266586298
a18sm,5.0,200000,-0.1108,-0.1047433,0.006056698131561275,0.006056698131561275
a18sm,6.0,200000,-0.103,-0.09827262,0.00472737836837768,0.00472737836837768
a18sm,7.0,200000,-0.0951,-0.09310303,0.0019969711661338846,0.0019969711661338846
a18sm,8.0,200000,-0.0892,-0.084137104,0.00506289554834366,0.00506289554834366
a18sm,9.0,200000,-0.084,-0.07843891,0.0055610921382904105,0.0055610921382904105
a18sm,10.0,200000,-0.0723,-0.06842678,0.0038732195973396333,0.0038732195973396333
a18sm,11.0,200000,-0.0408,-0.055920526,-0.015120526385307309,0.015120526385307309
a18sm,12.0,200000,-0.0409,-0.055035748,-0.014135747587680818,0.014135747587680818
