perfil,alpha,Re,real,previsto,erro,erro_absoluto
ag11,0.0,200000,-0.0394,-0.041398346,-0.0019983464241027857,0.0019983464241027857
ag11,1.0,200000,-0.0402,-0.044908226,-0.004708225536346436,0.004708225536346436
ag11,2.0,200000,-0.0352,-0.04265628,-0.0074562801003456095,0.0074562801003456095
ag11,3.0,200000,-0.0324,-0.038513243,-0.006113243198394777,0.006113243198394777
ag11,4.0,200000,-0.0307,-0.03738635,-0.006686350333690642,0.006686350333690642
ag11,5.0,200000,-0.0297,-0.036461204,-0.006761204290390014,0.006761204290390014
ag11,6.0,200000,-0.0284,-0.034238074,-0.005838073974847792,0.005838073974847792
ag11,7.0,200000,-0.0265,-0.03188609,-0.005386089593172074,0.005386089593172074
ag11,8.0,200000,-0.0244,-0.029050149,-0.004650149023532866,0.004650149023532866
ag11,9.0,200000,-0.0216,-0.025335003,-0.003735002690553664,0.003735002690553664
ag11,10.0,200000,-0.0179,-0.02280894,-0.004908939218521119,0.004908939218521119
ag11,11.0,200000,-0.0129,-0.024752555,-0.011852555415034294,0.011852555415034294
ag11,12.0,200000,-0.0525,-0.03262181,0.019878191649913786,0.019878191649913786
ag11,0.0,250000,-0.0415,-0.04211091,-0.0006109087765216806,0.0006109087765216806
ag11,1.0,250000,-0.0377,-0.04357551,-0.005875510382652285,0.005875510382652285
ag11,2.0,250000,-0.0341,-0.041234426,-0.007134426200389864,0.007134426200389864
ag11,3.0,250000,-0.0321,-0.0382602,-0.006160199129581455,0.006160199129581455
ag11,4.0,250000,-0.031,-0.037287056,-0.00628705644607544,0.00628705644607544
ag11,5.0,250000,-0.0302,-0.036574632,-0.006374631929397582,0.006374631929397582
ag11,6.0,250000,-0.0292,-0.03460164,-0.005401639956235885,0.005401639956235885
ag11,7.0,250000,-0.0274,-0.03231099,-0.004910988754034042,0.004910988754034042
ag11,8.0,250000,-0.0254,-0.029548699,-0.004148699036240579,0.004148699036240579
ag11,9.0,250000,-0.0228,-0.026062192,-0.0032621923953294746,0.0032621923953294746
ag11,10.0,250000,-0.0194,-0.022601448,-0.003201447999477386,0.003201447999477386
ag11,11.0,250000,-0.0144,-0.023292283,-0.008892282596230507,0.008892282596230507
ag11,12.0,250000,-0.0086,-0.03162937,-0.023029368662834167,0.023029368662834167
ag11,0.0,300000,-0.0408,-0.042309843,-0.0015098430037498445,0.0015098430037498445
ag11,1.0,300000,-0.0362,-0.043437563,-0.007237562882900235,0.007237562882900235
ag11,2.0,300000,-0.0336,-0.040761065,-0.007161064738035204,0.007161064738035204
ag11,3.0,300000,-0.0321,-0.038385548,-0.006285547697544101,0.006285547697544101
ag11,4.0,300000,-0.0313,-0.037593555,-0.006293554705381392,0.006293554705381392
ag11,5.0,300000,-0.0307,-0.037216317,-0.006516316908597945,0.006516316908597945
ag11,6.0,300000,-0.0298,-0.03529967,-0.005499669951200485,0.005499669951200485
ag11,7.0,300000,-0.0283,-0.03308371,-0.004783710819482805,0.004783710819482805
ag11,8.0,300000,-0.0261,-0.03023255,-0.00413255057632923,0.00413255057632923
ag11,9.0,300000,-0.0236,-0.026887525,-0.0032875248730182653,0.0032875248730182653
ag11,10.0,300000,-0.0205,-0.02348775,-0.002987750440835952,0.002987750440835952
ag11,11.0,300000,-0.0163,-0.02267243,-0.006372429680824281,0.006372429680824281
ag11,12.0,300000,-0.0111,-0.029522488,-0.0184224878937006,0.0184224878937006
ag18,0.0,200000,-0.0529,-0.05334179,-0.00044179103374480944,0.00044179103374480944
ag18,1.0,200000,-0.059,-0.05665247,0.002347528576850888,0.002347528576850888
