perfil,Re,Mach,alpha,CL_real,CL_pred,CL_erro,CD_real,CD_pred,CD_erro,CM_real,CM_pred,CM_erro
ag04,250000,0.1,5.0,0.7294,0.7292207,0.00017931165695195261,0.01159,0.011394922,0.0001950783097743984,-0.0308,-0.0345396,0.0037395989716053
ag19,250000,0.1,5.0,0.8009,0.7875575,0.013342517280578559,0.01216,0.01165726,0.000502739641666413,-0.0478,-0.045959745,0.0018402553975582145
ag24,250000,0.1,5.0,0.8346,0.83660877,0.0020087675094604407,0.01111,0.011306913,0.000196912638247013,-0.0588,-0.055396315,0.0034036852896213513
ag25,250000,0.1,5.0,0.8466,0.8619347,0.015334721469879131,0.01129,0.011588999,0.00029899907022714646,-0.0605,-0.06430836,0.003808360219001772
ag54,250000,0.1,5.0,0.7576,0.75890476,0.001304755115508982,0.01107,0.010714827,0.0003551728945970535,-0.0376,-0.03828321,0.0006832102477550492
ah79k143,250000,0.1,5.0,0.9932,1.0614874,0.06828743629455569,0.01461,0.015693951,0.0010839513981342318,-0.0881,-0.11425932,0.02615931751728058
ah93k131,250000,0.1,5.0,0.9168,0.90732044,0.009479560184478708,0.01522,0.01717328,0.0019532790768146523,-0.0663,-0.068935476,0.0026354762434959433
e174,250000,0.1,5.0,0.9538,0.9471655,0.006634510803222637,0.01118,0.011996844,0.0008168438521027558,-0.0802,-0.0810639,0.0008638964176178043
e201,250000,0.1,5.0,0.9184,0.88221383,0.03618616905212402,0.01165,0.011689349,3.9349077641963326e-05,-0.0786,-0.069685005,0.008914995348453525
e214,250000,0.1,5.0,1.1051,1.174616,0.06951597919464114,0.01158,0.0121887205,0.0006087205168604851,-0.1302,-0.13594481,0.00574481348991393
e228,250000,0.1,5.0,0.6048,0.60955435,0.004754350376129146,0.01097,0.01140523,0.00043522956848144473,-0.0027,0.004195286,0.006895285961031914
e230,250000,0.1,5.0,0.5242,0.60214305,0.0779430492401123,0.01201,0.013325863,0.0013158625864982607,0.0189,0.0051973765,0.013702623521536589
e374,250000,0.1,5.0,0.8309,0.79038835,0.04051165428161618,0.01065,0.012118416,0.0014684159070253375,-0.0527,-0.04410255,0.008597450447082516
fx63137,250000,0.1,5.0,1.4207,1.2701815,0.15051846332550056,0.01468,0.016245956,0.0015659556013345715,-0.1946,-0.18062769,0.013972311234474177
fx68h120,250000,0.1,5.0,0.7819,0.7308974,0.05100257339477543,0.01401,0.0215903,0.007580299904346466,-0.0331,-0.024907699,0.008192301145195958
fx73cl2152,250000,0.1,5.0,1.4695,1.5953393,0.125839298248291,0.01988,0.017933208,0.001946791504621504,-0.2009,-0.23836672,0.037466723060607915
hs1430,250000,0.1,5.0,0.5861,0.86774707,0.2816470684051514,0.03064,0.022328185,0.00831181508243084,-0.0139,-0.059306975,0.04540697545409203
jx-gs-15,250000,0.1,5.0,0.7102,0.70874965,0.0014503480911255417,0.01124,0.010989348,0.000250651595890522,-0.0279,-0.026124224,0.0017757759332656872
lrn1015,250000,0.1,5.0,1.0433,0.94501,0.098289993572235,0.01602,0.018764937,0.0027449372965097432,-0.0907,-0.082752906,0.007947094213962558
mh33,250000,0.1,5.0,0.6727,0.70821804,0.03551803808212284,0.01196,0.010888027,0.001071972972750664,-0.0231,-0.037433803,0.014333803081512452
mh60,250000,0.1,5.0,0.6905,0.7097696,0.019269606590270993,0.01062,0.011037384,0.0004173841598629959,-0.011,-0.023213025,0.012213025182485581
npl9510,250000,0.1,5.0,0.7432,0.8941158,0.15091580562591556,0.02891,0.015564213,0.013345787424445154,-0.0691,-0.070411935,0.0013119354486465507
rg8,250000,0.1,5.0,0.875,1.0159463,0.14094626903533936,0.01111,0.012838359,0.0017283589908480643,-0.077,-0.09876552,0.021765522241592408
s1221,250000,0.1,5.0,1.2406,1.2903541,0.04975413265228279,0.01663,0.016263647,0.0003663529950380315,-0.1629,-0.17441572,0.011515722489357005
s2091,250000,0.1,5.0,0.9621,0.9661117,0.0040117196083069295,0.01141,0.010793555,0.0006164454033970833,-0.076,-0.07825567,0.002255668282508852
s4096,250000,0.1,5.0,0.8482,0.8286147,0.019585288238525345,0.01799,0.011189601,0.006800398615896701,-0.0588,-0.051835146,0.006964854198694227
s8064,250000,0.1,5.0,0.7479,0.6618358,0.08606421031951905,0.01086,0.0134605095,0.002600509479045868,-0.0408,-0.019897604,0.020902395638823512
s8065,250000,0.1,5.0,0.7276,0.7154242,0.01217581996917727,0.01108,0.012254888,0.0011748881918191914,-0.0384,-0.03075037,0.007649630346894261
sa7026,250000,0.1,5.0,0.9891,0.9687831,0.020316919422149637,0.01036,0.011740117,0.0013801173338294035,-0.0948,-0.069966,0.024833996701240535
sg6051,250000,0.1,5.0,0.9418,0.8983661,0.04343390636444089,0.0112,0.012655129,0.001455128724873066,-0.0869,-0.06477959,0.022120412909984594
