airfoil_id,arquivo_original,formato_dat,arquivo_cst,ordem_cst,chord_original,Au0,Au1,Au2,Au3,Au4,Au5,Au6,Al0,Al1,Al2,Al3,Al4,Al5,Al6,DeltaTE_upper,DeltaTE_lower,RMSE_upper,RMSE_lower,MaxError_upper,MaxError_lower
2032c,2032c.dat,selig,2032c_cst.dat,6,1.0000000000,0.1581959608,0.5258894021,-0.0520598893,0.5747885601,-0.0011907997,0.3545173484,0.1794280464,-0.0514495151,0.1297256723,0.0203739288,0.2405027382,0.0099169207,0.1834549132,0.0994410562,0.0016000000,-0.0016000000,0.0003949368,0.0003110009,0.0009948175,0.0007273224
a18,a18.dat,selig,a18_cst.dat,6,1.0001213608,0.1278571450,0.2076476049,0.1151057592,0.2919312051,0.1028585817,0.2565603902,0.2235192563,-0.1056645387,-0.0076146008,-0.0083740416,0.0463324506,0.0381648739,0.0817200189,0.0629348897,0.0030692550,-0.0030692550,0.0003591942,0.0002674617,0.0007052586,0.0006767366
a18sm,a18sm.dat,selig,a18sm_cst.dat,6,0.9995100021,0.1333383349,0.1838026549,0.1589580571,0.2322534935,0.1578608954,0.2209657468,0.2382460768,-0.1081593377,0.0046739877,-0.0403964053,0.0938477755,-0.0100171803,0.1063401531,0.0515668515,0.0030665026,-0.0030665026,0.0001826065,0.0002048767,0.0007369377,0.0011633570
a63a108c,a63a108c.dat,lednicer,a63a108c_cst.dat,6,0.9992892299,0.1758499382,0.0204400842,0.2433597257,-0.0561627022,0.2174524800,0.0612388397,0.0282419498,-0.1442573971,0.0150263749,-0.2582639817,0.1047857629,-0.2399976252,0.0295697562,-0.0892222816,0.0035024771,-0.0035024771,0.0011160078,0.0012498291,0.0042516492,0.0045323883
ag03,ag03.dat,selig,ag03_cst.dat,6,0.9994674883,0.1291820577,0.1726951382,0.0748575889,0.1826857294,0.0667181605,0.1349295472,0.0922747635,-0.0781334933,-0.0066970086,-0.0491873627,0.0003668526,-0.0346812239,-0.0091345687,-0.0189040883,0.0006053221,-0.0006053221,0.0001565998,0.0002253231,0.0005597929,0.0016008041
ag04,ag04.dat,selig,ag04_cst.dat,6,0.9993731100,0.1205649429,0.1688141442,0.0652997043,0.1765423946,0.0574387730,0.1261982005,0.0826627503,-0.0902442849,-0.0331945064,-0.0488985581,-0.0011489425,-0.0172661734,0.0004367704,-0.0139483085,0.0006704197,-0.0006704197,0.0001599037,0.0001901458,0.0006237187,0.0012725307
ag08,ag08.dat,selig,ag08_cst.dat,6,0.9995482939,0.1137196021,0.1627479683,0.0591149483,0.1620723870,0.0613709176,0.1200390443,0.0921855139,-0.0918502204,-0.0082538374,-0.0602043609,0.0384408027,-0.0331684898,0.0099627398,-0.0098966716,0.0007998596,-0.0007998596,0.0001569690,0.0001814134,0.0007844208,0.0010783241
ag09,ag09.dat,selig,ag09_cst.dat,6,0.9993390000,0.1145794569,0.1450251918,0.0608108011,0.1359721724,0.0625261502,0.0962296738,0.0768662760,-0.0899349733,0.0337670897,-0.0546049137,0.0508718251,-0.0395470900,0.0188412325,-0.0084116138,0.0009771459,-0.0009771459,0.0002253184,0.0002397667,0.0016434152,0.0015132185
ag10,ag10.dat,selig,ag10_cst.dat,6,0.9993940568,0.1217765552,0.1184664954,0.0815396224,0.0830524043,0.0843953427,0.0733816792,0.0772893678,-0.0997209449,0.0513286548,-0.0942491454,0.1130372210,-0.0977829147,0.0509457344,-0.0211059309,0.0018095954,-0.0018095954,0.0003004979,0.0004004814,0.0021800709,0.0022586242
ag11,ag11.dat,selig,ag11_cst.dat,6,0.9992520547,0.1464472001,0.1577692722,0.0941842189,0.1619393909,0.0799626662,0.1258540531,0.0934897194,-0.0756163867,0.0545297490,-0.1155937784,0.0947663233,-0.0943446712,0.0351475283,-0.0257593860,0.0011613594,-0.0011613594,0.0001794911,0.0004925967,0.0010364379,0.0026269989
