perfil,arquivo,formato_original,acao,status,erro
2032c,2032c.dat,selig,copiado,OK,
a18,a18.dat,selig,copiado,OK,
a18sm,a18sm.dat,selig,copiado,OK,
a63a108c,a63a108c.dat,lednicer,convertido_para_selig,OK,
ag03,ag03.dat,selig,copiado,OK,
ag04,ag04.dat,selig,copiado,OK,
ag08,ag08.dat,selig,copiado,OK,
ag09,ag09.dat,selig,copiado,OK,
ag10,ag10.dat,selig,copiado,OK,
ag11,ag11.dat,selig,copiado,OK,
ag12,ag12.dat,selig,copiado,OK,
ag13,ag13.dat,selig,copiado,OK,
ag14,ag14.dat,selig,copiado,OK,
ag16,ag16.dat,selig,copiado,OK,
ag17,ag17.dat,selig,copiado,OK,
ag18,ag18.dat,selig,copiado,OK,
ag19,ag19.dat,selig,copiado,OK,
ag23,ag23.dat,selig,copiado,OK,
ag24,ag24.dat,selig,copiado,OK,
ag25,ag25.dat,selig,copiado,OK,
ag26,ag26.dat,selig,copiado,OK,
ag27,ag27.dat,selig,copiado,OK,
ag52,ag52.dat,selig,copiado,OK,
ag53,ag53.dat,selig,copiado,OK,
ag54,ag54.dat,selig,copiado,OK,
ah21-7,ah21-7.dat,selig,copiado,OK,
ah21-9,ah21-9.dat,selig,copiado,OK,
ah63k127,ah63k127.dat,selig,copiado,OK,
ah79k132,ah79k132.dat,selig,copiado,OK,
ah79k135,ah79k135.dat,selig,copiado,OK,
ah79k143,ah79k143.dat,selig,copiado,OK,
ah81k144,ah81k144.dat,selig,copiado,OK,
ah85l120,ah85l120.dat,selig,copiado,OK,
ah88k130,ah88k130.dat,selig,copiado,OK,
ah88k136,ah88k136.dat,selig,copiado,OK,
ah93k130,ah93k130.dat,selig,copiado,OK,
ah93k131,ah93k131.dat,selig,copiado,OK,
ah93k132,ah93k132.dat,selig,copiado,OK,
as5045,as5045.dat,selig,copiado,OK,
as5046,as5046.dat,selig,copiado,OK,
as5048,as5048.dat,selig,copiado,OK,
as6091,as6091.dat,selig,copiado,OK,
as6092,as6092.dat,selig,copiado,OK,
as6093,as6093.dat,selig,copiado,OK,
as6094,as6094.dat,selig,copiado,OK,
as6095,as6095.dat,selig,copiado,OK,
bacnlf,bacnlf.dat,selig,copiado,OK,
clarky,clarky.dat,lednicer,convertido_para_selig,OK,
clarkyh,clarkyh.dat,lednicer,convertido_para_selig,OK,
clarkz,clarkz.dat,lednicer,convertido_para_selig,OK,
e168,e168.dat,selig,copiado,OK,
e169,e169.dat,selig,copiado,OK,
e171,e171.dat,selig,copiado,OK,
e174,e174.dat,selig,copiado,OK,
e176,e176.dat,selig,copiado,OK,
e193,e193.dat,selig,copiado,OK,
e197,e197.dat,selig,copiado,OK,
e201,e201.dat,selig,copiado,OK,
e205,e205.dat,selig,copiado,OK,
e207,e207.dat,selig,copiado,OK,
e210,e210.dat,selig,copiado,OK,
e212,e212.dat,selig,copiado,OK,
e214,e214.dat,selig,copiado,OK,
e216,e216.dat,selig,copiado,OK,
