  
       XFOIL         Version 6.99
  
 Calculated polar for: A18 (original)                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.100     Re =     0.300 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.6041   0.00737   0.00271  -0.1222   0.8493   1.0000
   1.000   0.7135   0.00772   0.00276  -0.1206   0.7760   1.0000
   2.000   0.8214   0.00840   0.00318  -0.1190   0.6937   1.0000
   3.000   0.9245   0.00942   0.00385  -0.1168   0.5759   1.0000
   4.000   1.0164   0.01161   0.00513  -0.1131   0.3411   1.0000
   5.000   1.0929   0.01637   0.00820  -0.1080   0.0378   1.0000
   6.000   1.1715   0.02078   0.01290  -0.1018   0.0206   1.0000
   7.000   1.2442   0.02689   0.01948  -0.0949   0.0164   1.0000
   8.000   1.3122   0.03854   0.03221  -0.0879   0.0151   1.0000
