  
       XFOIL         Version 6.99
  
 Calculated polar for: AG09                                            
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.100     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.1470   0.00710   0.00207  -0.0282   1.0000   1.0000
   1.000   0.2956   0.00731   0.00216  -0.0360   0.9551   1.0000
   2.000   0.4095   0.00775   0.00213  -0.0333   0.7610   1.0000
   3.000   0.5087   0.00921   0.00257  -0.0292   0.5162   1.0000
   4.000   0.6135   0.01097   0.00363  -0.0277   0.3323   1.0000
   5.000   0.7193   0.01279   0.00514  -0.0267   0.2008   1.0000
   6.000   0.8208   0.01623   0.00811  -0.0254   0.0542   1.0000
   7.000   0.9153   0.02280   0.01513  -0.0222   0.0267   1.0000
   8.000   0.9989   0.03437   0.02828  -0.0182   0.0243   1.0000
